X,Y,Nearest Task
2859,246,CAFELEF
2876,246,CAFELEF
2895,246,CAFELEF
2913,246,CAFELEF
2930,246,CAFELEF
2948,246,CAFELEF
2967,246,CAFELEF
2984,246,CAFELEF
3002,246,CAFELEF
3019,246,CAFELEF
3036,246,CAFELEF
3053,246,CAFELEF
3072,246,CAFELEF
3090,246,CAFELEF
3109,246,CAFELEF
3127,246,CAFELEF
3144,246,CAFELEF
3162,246,CAFELEF
3180,246,CAFELEF
3199,246,CAFELEF
3216,246,CAFELEF
3234,246,CAFELEF
3252,246,CAFELEF
3270,246,CAFELEF
3291,246,CAFELEF
3309,246,CAFERIGHT
3327,246,CAFERIGHT
3344,246,CAFERIGHT
3363,246,CAFERIGHT
3380,246,CAFERIGHT
3401,246,CAFERIGHT
3419,246,CAFERIGHT
3438,246,CAFERIGHT
3458,246,CAFERIGHT
3476,246,CAFERIGHT
3493,246,CAFERIGHT
3511,246,CAFERIGHT
3528,246,CAFERIGHT
3546,246,CAFERIGHT
3565,246,CAFERIGHT
3584,246,CAFERIGHT
3602,246,CAFERIGHT
3620,246,CAFERIGHT
3649,246,CAFERIGHT
3672,246,CAFERIGHT
3690,246,CAFERIGHT
3710,246,CAFERIGHT
3728,246,CAFERIGHT
3747,246,CAFERIGHT
3765,246,CAFERIGHT
3784,246,CAFERIGHT
3802,246,CAFERIGHT
3802,266,CAFERIGHT
3802,285,CAFERIGHT
3802,305,CAFERIGHT
3802,322,CAFERIGHT
3802,341,CAFERIGHT
3821,341,CAFERIGHT
3840,341,CAFERIGHT
3857,341,CAFERIGHT
3876,341,CAFERIGHT
3894,341,CAFERIGHT
3913,341,CAFERIGHT
