X,Y,Nearest Task
2859,246,CAFELEF
2843,246,CAFELEF
2823,246,CAFELEF
2811,258,CAFELEF
2811,275,CAFELEF
2811,292,CAFELEF
2811,309,CAFELEF
2811,325,CAFELEF
2811,343,CAFELEF
2811,359,CAFELEF
2811,377,CAFELEF
2811,394,CAFELEF
2811,410,CAFELEF
2811,427,CAFELEF
2811,444,CAFELEF
2811,461,CAFELEF
2811,478,CAFELEF
2811,494,CAFELEF
2811,511,CAFELEF
2811,528,CAFELEF
2811,545,CAFELEF
2811,562,CAFELEF
2811,579,CAFELEF
2811,596,CAFELEF
2811,613,CAFELEF
2811,631,CAFELEF
2811,649,CAFELEF
2811,666,CAFELEF
2811,683,CAFELEF
2799,695,CAFELEF
2782,695,CAFELEF
2763,695,CAFELEF
2747,695,CAFELEF
2730,695,CAFELEF
2713,695,CAFELEF
2696,695,CAFELEF
2679,695,CAFELEF
2661,695,CAFELEF
2644,695,CAFELEF
2627,695,CAFELEF
2610,695,CAFELEF
2593,695,CAFELEF
2576,695,CAFELEF
2555,695,CAFELEF
2538,695,CAFELEF
2519,695,CAFELEF
2501,695,CAFELEF
2483,695,CAFELEF
2466,695,CAFELEF
2449,695,CAFELEF
2430,695,CAFELEF
2412,695,CAFELEF
2394,695,CAFELEF
2376,695,CAFELEF
2358,695,CAFELEF
2339,695,CAFELEF
2322,695,CAFELEF
2305,695,CAFELEF
2287,695,CAFELEF
2270,695,CAFELEF
2251,695,CAFELEF
2234,695,MED
2216,695,MED
2195,695,MED
2176,695,MED
2158,695,MED
2139,695,MED
2122,695,MED
2104,695,MED
2086,695,MED
2067,695,MED
2049,695,MED
2031,695,MED
2014,695,MED
1995,695,MED
1979,695,MED
1962,695,MED
1944,695,MED
1926,695,MED
1909,695,MED
1891,695,MED
1874,695,MED
1856,695,MED
1838,695,REACUP
1812,695,REACUP
1793,695,REACUP
1776,695,REACUP
1758,695,REACUP
1740,695,REACUP
1722,695,REACUP
1704,695,REACUP
1687,695,REACUP
1669,695,REACUP
1652,695,REACUP
1637,709,REACUP
1625,722,REACUP
1612,734,REACUP
1600,747,REACUP
1587,760,REACUP
1575,772,REACUP
1572,785,REACUP
1572,797,REACUP
1572,809,REACUP
1572,822,REACUP
1572,840,REACUP
1572,857,REACUP
1572,875,REACUP
1572,893,REACUP
1572,911,REACUP
1572,928,REACUP
1572,945,REACUP
1572,963,REACUP
1560,975,REACUP
1547,976,REACUP
1529,976,REACUP
1510,976,REACUP
1492,976,REACUP
1475,976,REACUP
1458,976,REACUP
1440,976,REACUP
1423,976,REACUP
1405,976,REACUP
1393,988,REACUP
1393,1010,REACUP
1393,1028,REACUP
1393,1045,REACUP
1393,1063,REACUP
1393,1081,REACUP
1393,1099,REACUP
1393,1116,REACUP
1393,1135,REACUP
1393,1153,REACUP
1393,1171,REACUP
1393,1188,REACUP
1393,1205,REACUP
1393,1223,REACUP
1393,1241,REACUP
1393,1259,REACUP
1393,1277,REACUP
1393,1294,REACUP
1393,1313,REACUP
1393,1334,REACUP
1393,1352,REACUP
1393,1371,REACUP
1393,1389,REACUP
1393,1407,REACUP
1393,1425,REACUP
1393,1443,REACUP
1393,1461,REACUP
1393,1479,REACDOWN
1393,1497,REACDOWN
1393,1515,REACDOWN
1405,1528,REACDOWN
1423,1528,REACDOWN
1440,1528,REACDOWN
1458,1528,REACDOWN
1476,1528,REACDOWN
1494,1528,REACDOWN
1514,1528,REACDOWN
1532,1528,REACDOWN
1550,1528,REACDOWN
1568,1528,REACDOWN
1587,1528,REACDOWN
1604,1528,REACDOWN
1622,1528,REACDOWN
1640,1528,REACDOWN
1658,1528,ELEC
1682,1528,ELEC
1706,1528,ELEC
1727,1528,ELEC
1748,1528,ELEC
1766,1528,ELEC
1786,1528,ELEC
1804,1528,ELEC
1823,1528,ELEC
1841,1528,ELEC
1863,1528,ELEC
1885,1528,ELEC
1898,1540,ELEC
1898,1559,ELEC
1898,1577,ELEC
1898,1595,ELEC
1898,1614,ELEC
1898,1632,ELEC

