X,Y,Nearest Task
2859,246,CAFELEF
2859,265,CAFELEF
2859,283,CAFELEF
2859,293,CAFELEF
2848,305,CAFELEF
2836,317,CAFELEF
2823,329,CAFELEF
2811,341,CAFELEF
2799,354,CAFELEF
2799,371,CAFELEF
2799,389,CAFELEF
2799,406,CAFELEF
2799,423,CAFELEF
2799,441,CAFELEF
2799,461,CAFELEF
2799,479,CAFELEF
2799,496,CAFELEF
2799,514,CAFELEF
2799,531,CAFELEF
2799,548,CAFELEF
2799,565,CAFELEF
2799,583,CAFELEF
2799,601,CAFELEF
2799,618,CAFELEF
2799,634,CAFELEF
2799,651,CAFELEF
2787,663,CAFELEF
2770,663,CAFELEF
2750,663,CAFELEF
2720,663,CAFELEF
2699,663,CAFELEF
2680,663,CAFELEF
2661,663,CAFELEF
2643,663,CAFELEF
2626,663,CAFELEF
2609,663,CAFELEF
2591,663,CAFELEF
2574,663,CAFELEF
2557,663,CAFELEF
2539,663,CAFELEF
2521,663,CAFELEF
2502,663,CAFELEF
2483,663,CAFELEF
2465,663,CAFELEF
2446,663,CAFELEF
2424,663,CAFELEF
2406,663,CAFELEF
2385,663,CAFELEF
2365,663,CAFELEF
2343,663,CAFELEF
2323,663,CAFELEF
2303,663,CAFELEF
2279,663,CAFELEF
2258,663,CAFELEF
2237,663,CAFELEF
2217,663,CAFELEF
2196,663,CAFELEF
2177,663,CAFELEF
2156,663,CAFELEF
2134,663,CAFELEF
2109,663,CAFELEF
2089,663,CAFELEF
2068,663,CAFELEF
2045,663,CAFELEF
2025,663,CAFELEF
2003,663,CAFELEF
1984,663,CAFELEF
1965,663,MED
1942,663,MED
1923,663,MED
1903,663,MED
1884,663,MED
1865,663,MED
1845,663,REACUP
1826,663,REACUP
1805,663,REACUP
1784,663,REACUP
1761,663,REACUP
1739,663,REACUP
1720,663,REACUP
1701,663,REACUP
1679,663,REACUP
1665,677,REACUP
1665,699,REACUP
1665,718,REACUP
1665,736,REACUP
1652,736,REACUP
1638,736,REACUP
1625,749,REACUP
1612,763,REACUP
1597,777,REACUP
1578,777,REACUP
1572,777,REACUP
1572,791,REACUP
1572,805,REACUP
1572,820,REACUP
