X,Y,Nearest Task
2859,246,CAFELEF
2859,264,CAFELEF
2859,281,CAFELEF
2859,293,CAFELEF
2847,306,CAFELEF
2835,317,CAFELEF
2823,329,CAFELEF
2811,341,CAFELEF
2799,353,CAFELEF
2788,365,CAFELEF
2776,377,CAFELEF
2763,389,CAFELEF
2763,406,CAFELEF
2763,423,CAFELEF
2763,441,CAFELEF
2763,459,CAFELEF
2763,477,CAFELEF
2763,495,CAFELEF
2763,513,CAFELEF
2763,530,CAFELEF
2763,546,CAFELEF
2763,564,CAFELEF
2763,581,CAFELEF
2775,593,CAFELEF
2788,606,CAFELEF
2800,618,CAFELEF
2813,631,CAFELEF
2826,643,CAFELEF
2839,656,CAFELEF
2851,668,CAFELEF
2865,683,CAFELEF
2877,695,CAFELEF
2890,708,CAFELEF
2903,720,CAFELEF
2915,733,CAFELEF
2927,745,CAFELEF
2944,745,CAFELEF
2962,745,CAFELEF
2981,745,CAFELEF
3000,745,CAFELEF
3018,745,CAFELEF
3037,745,CAFELEF
3056,745,CAFELEF
3074,745,CAFELEF
3092,745,CAFELEF
3110,745,CAFELEF
3127,745,CAFELEF
3145,745,CAFELEF
3158,758,CAFELEF
3158,777,CAFELEF
3158,795,CAFELEF
3158,813,MED
3158,831,MED
3158,849,MED
3158,867,MED
3175,867,MED
3195,867,MED
3213,867,MED
3232,867,MED
3250,867,MED
3268,867,MED
3286,867,O2
3304,867,O2
3316,879,O2
3316,897,O2
3316,915,O2
3316,934,O2
3316,956,O2
3316,980,O2
3316,1000,O2
3316,1019,O2
3316,1037,O2
3316,1055,O2
3316,1073,O2
3316,1091,O2
3316,1109,O2
3316,1127,O2
3316,1145,O2
3316,1164,O2
3316,1183,O2
3316,1202,O2
3316,1220,O2
3316,1238,O2
3316,1257,O2
3316,1275,MED
3316,1294,MED
3316,1313,MED
3316,1331,MED
3316,1351,MED
3316,1369,MED
3316,1388,MED
3316,1406,MED
3316,1426,MED
3316,1444,MED
3316,1462,MED
3316,1480,MED
3316,1498,MED
3316,1517,MED
3316,1536,MED
3316,1555,MED
3316,1576,MED
3316,1594,MED
3316,1614,MED
3316,1633,MED
3316,1651,MED
3316,1671,MED
3316,1690,MED
3316,1709,MED
3316,1728,MED
3316,1745,MED
3316,1764,MED
3316,1782,MED
3316,1801,MED
3316,1824,MED
3316,1842,MED
3316,1861,ELEC
3316,1879,ELEC
3316,1897,ELEC
3316,1919,ELEC
3316,1937,ELEC
3330,1950,ELEC
3348,1950,STOR
3366,1950,STOR
3385,1950,STOR
3404,1950,STOR
3422,1950,STOR
3444,1950,STOR
3462,1950,STOR
3480,1950,STOR
3493,1963,STOR
3493,1983,STOR
3493,2001,STOR
3493,2022,STOR
3493,2040,STOR
3493,2058,STOR
3493,2076,STOR
3493,2094,STOR
3493,2112,STOR
3493,2130,STOR
3493,2148,STOR
3493,2168,STOR
3493,2186,STOR
3493,2205,STOR
3493,2223,STOR
3493,2242,STOR
3493,2260,STOR
3493,2278,STOR
3493,2297,STOR
3493,2316,STOR
3493,2334,STOR
3493,2353,STOR
3493,2371,STOR
3493,2393,STOR
3493,2421,STOR
3493,2442,STOR
3493,2462,STOR
3493,2484,STOR
3493,2503,STOR
3493,2524,STOR
3493,2542,STOR
3493,2561,STOR
3493,2580,STOR
3493,2599,STOR
3493,2617,STOR
3493,2635,STOR
3493,2654,STOR
3493,2674,STOR
3493,2693,STOR
3493,2712,STOR
3493,2731,STOR
3493,2749,STOR
3493,2767,STOR
3493,2786,STOR
3493,2804,STOR
