X,Y,Nearest Task
2859,246,CAFELEF
2859,262,CAFELEF
2847,274,CAFELEF
2835,286,CAFELEF
2824,297,CAFELEF
2812,309,CAFELEF
2800,321,CAFELEF
2789,332,CAFELEF
2789,349,CAFELEF
2789,366,CAFELEF
2789,383,CAFELEF
2789,400,CAFELEF
2789,417,CAFELEF
2789,439,CAFELEF
2789,456,CAFELEF
2789,473,CAFELEF
2789,490,CAFELEF
2789,508,CAFELEF
2789,525,CAFELEF
2789,543,CAFELEF
2789,561,CAFELEF
2789,578,CAFELEF
2789,596,CAFELEF
2789,614,CAFELEF
2789,631,CAFELEF
2789,649,CAFELEF
2789,666,CAFELEF
2789,683,CAFELEF
2773,698,CAFELEF
2753,698,CAFELEF
2734,698,CAFELEF
2716,698,CAFELEF
2698,698,CAFELEF
2680,698,CAFELEF
2662,698,CAFELEF
2645,698,CAFELEF
2628,698,CAFELEF
2611,698,CAFELEF
2594,698,CAFELEF
2577,698,CAFELEF
2559,698,CAFELEF
2542,698,CAFELEF
2522,698,CAFELEF
2504,698,CAFELEF
2487,698,CAFELEF
2470,698,CAFELEF
2452,698,CAFELEF
2433,698,CAFELEF
2414,698,CAFELEF
2396,698,CAFELEF
2374,698,CAFELEF
2349,698,CAFELEF
2327,698,CAFELEF
2310,698,CAFELEF
2291,698,CAFELEF
2273,698,CAFELEF
2254,698,MED
2236,698,MED
2219,698,MED
2200,698,MED
2182,698,MED
2164,698,MED
2146,698,MED
2129,698,MED
2111,698,MED
2093,698,MED
2076,698,MED
2058,698,MED
2039,698,MED
2020,698,MED
2003,698,MED
1986,698,MED
1969,698,MED
1951,698,MED
1933,698,MED
1915,698,MED
1897,698,MED
1880,698,MED
1862,698,MED
1844,698,REACUP
1825,698,REACUP
1807,698,REACUP
1789,698,REACUP
1769,698,REACUP
1751,698,REACUP
1733,698,REACUP
1714,698,REACUP
1697,698,REACUP
1679,698,REACUP
1663,698,REACUP
1646,698,REACUP
1628,698,REACUP
1615,711,REACUP
1615,728,REACUP
1615,746,REACUP
1615,763,REACUP
1615,781,REACUP
1615,799,REACUP
1615,816,REACUP
1615,833,REACUP
1615,850,REACUP
1615,867,REACUP
1615,884,REACUP
1615,901,REACUP
1615,917,REACUP
1615,934,REACUP
1615,951,REACUP
1597,951,REACUP
1579,951,REACUP
1560,951,REACUP
1542,951,REACUP
1524,951,REACUP
1507,951,REACUP
1487,951,REACUP
1469,951,REACUP
1451,951,REACUP
1433,951,REACUP
1415,951,REACUP
1399,951,REACUP
1399,969,REACUP
1399,987,REACUP
1399,1004,REACUP
1399,1022,REACUP
1399,1040,REACUP
1399,1062,REACUP
1399,1080,REACUP
1399,1097,REACUP
1399,1115,REACUP
1399,1133,REACUP
1399,1151,REACUP
1399,1168,REACUP
1399,1185,REACUP
1399,1203,REACUP
1399,1221,REACUP
1399,1239,REACUP
1399,1257,REACUP
1399,1275,REACUP
1399,1293,REACUP
1399,1310,REACUP
1399,1329,REACUP
1399,1356,REACUP
1399,1378,REACUP
1399,1397,REACUP
1399,1415,REACUP
1399,1433,REACUP
1399,1451,REACUP
1399,1468,REACDOWN
1399,1486,REACDOWN
1399,1503,REACDOWN
1399,1522,REACDOWN
1399,1540,REACDOWN
1399,1558,REACDOWN
1399,1576,REACDOWN
1399,1595,REACDOWN
1399,1614,REACDOWN
1399,1632,REACDOWN
1399,1649,REACDOWN
1399,1668,REACDOWN
1399,1685,REACDOWN
1399,1703,REACDOWN
1399,1721,REACDOWN
1399,1740,REACDOWN
1399,1759,REACDOWN
1399,1777,REACDOWN
1399,1795,REACDOWN
1399,1814,REACDOWN
1399,1832,REACDOWN
1399,1850,REACDOWN
1399,1869,REACDOWN
1399,1887,REACDOWN
1399,1905,REACDOWN
1399,1923,REACDOWN
1399,1945,REACDOWN
1399,1962,REACDOWN
1399,1981,REACDOWN
1399,1999,REACDOWN
1417,1999,REACDOWN
1431,2013,REACDOWN
1449,2013,REACDOWN
1468,2013,REACDOWN
1486,2013,REACDOWN
1504,2013,REACDOWN
1522,2013,REACDOWN
1540,2013,REACDOWN
1558,2013,REACDOWN
1577,2013,REACDOWN
1595,2013,REACDOWN
1613,2013,REACDOWN
1626,2027,REACDOWN
1626,2047,REACDOWN
1626,2066,REACDOWN
1626,2084,REACDOWN
1626,2103,REACDOWN
1626,2121,REACDOWN
1626,2140,REACDOWN
1626,2158,REACDOWN
1626,2177,REACDOWN
1626,2196,REACDOWN
1626,2215,REACDOWN
1626,2234,REACDOWN
1626,2252,REACDOWN
1626,2271,REACDOWN
1626,2290,REACDOWN
1626,2308,REACDOWN
1626,2327,REACDOWN
1626,2346,REACDOWN
1626,2365,REACDOWN
1626,2387,REACDOWN
1626,2407,REACDOWN
1612,2420,REACDOWN
1592,2420,REACDOWN
1574,2420,REACDOWN
1556,2420,REACDOWN
1538,2420,REACDOWN
1519,2420,REACDOWN
1501,2420,REACDOWN
1482,2420,REACDOWN
1463,2420,REACDOWN
1445,2420,REACDOWN
1427,2420,REACDOWN
1409,2420,REACDOWN
1390,2420,REACDOWN
1371,2420,REACDOWN
1371,2402,REACDOWN
1349,2402,REACDOWN
1324,2402,REACDOWN
1304,2402,REACDOWN
