X,Y,Nearest Task
2859,246,CAFELEF
2859,262,CAFELEF
2859,279,CAFELEF
2859,293,CAFELEF
2848,305,CAFELEF
2835,317,CAFELEF
2823,329,CAFELEF
2812,341,CAFELEF
2799,353,CAFELEF
2788,365,CAFELEF
2775,377,CAFELEF
2763,389,CAFELEF
2763,407,CAFELEF
2763,424,CAFELEF
2763,442,CAFELEF
2763,459,CAFELEF
2763,476,CAFELEF
2763,492,CAFELEF
2763,509,CAFELEF
2763,526,CAFELEF
2763,543,CAFELEF
2763,560,CAFELEF
2763,577,CAFELEF
2763,602,CAFELEF
2763,625,CAFELEF
2763,642,CAFELEF
2763,660,CAFELEF
2752,671,CAFELEF
2738,685,CAFELEF
2721,685,CAFELEF
2703,685,CAFELEF
2687,685,CAFELEF
2670,685,CAFELEF
2653,685,CAFELEF
2634,685,CAFELEF
2617,685,CAFELEF
2599,685,CAFELEF
2579,685,CAFELEF
2561,685,CAFELEF
2544,685,CAFELEF
2521,685,CAFELEF
2503,685,CAFELEF
2486,685,CAFELEF
2469,685,CAFELEF
2448,685,CAFELEF
2431,685,CAFELEF
2413,685,CAFELEF
2395,685,CAFELEF
2379,685,CAFELEF
2362,685,CAFELEF
2350,697,CAFELEF
2337,710,MED
2337,727,MED
2337,745,MED
2337,763,MED
2337,781,MED
2337,799,MED
2337,815,MED
2337,833,MED
2337,850,MED
2337,868,MED
2337,884,MED
2337,902,MED
2337,919,MED
2337,936,MED
2337,954,MED
2337,972,MED
2337,990,MED
2337,1009,MED
2337,1026,MED
2337,1044,MED
2337,1062,MED
2337,1079,MED
2337,1097,MED
2337,1114,MED
2337,1136,MED
2337,1154,MED
2337,1172,MED
2337,1190,MED
2337,1208,MED
2337,1226,MED
2337,1244,MED
2337,1262,MED
2337,1280,MED
2337,1298,MED
2337,1319,MED
2337,1336,MED
2337,1354,MED
2337,1372,MED
2337,1389,MED
2337,1407,MED
2337,1424,MED
2349,1437,ELEC
2367,1437,MED
2384,1437,MED
2402,1437,MED
2419,1437,MED
2436,1437,MED
2454,1437,MED
2474,1437,MED
2492,1437,MED
2509,1437,MED
2527,1437,MED
2544,1437,MED
w
