X,Y,Nearest Task
2859,246,CAFELEF
2877,246,CAFELEF
2895,246,CAFELEF
2912,246,CAFELEF
2929,246,CAFELEF
2945,246,CAFELEF
2963,246,CAFELEF
2980,246,CAFELEF
2997,246,CAFELEF
3014,246,CAFELEF
3031,246,CAFELEF
3048,246,CAFELEF
3065,246,CAFELEF
3081,246,CAFELEF
3099,246,CAFELEF
3116,246,CAFELEF
3136,246,CAFELEF
3152,246,CAFELEF
3169,246,CAFELEF
3186,246,CAFELEF
3204,246,CAFELEF
3221,246,CAFELEF
3238,246,CAFELEF
3256,246,CAFELEF
3273,246,CAFELEF
3286,259,CAFELEF
3286,276,CAFELEF
3286,294,CAFELEF
3286,311,CAFELEF
3286,328,CAFELEF
3286,345,CAFELEF
3286,362,CAFELEF
3286,379,CAFELEF
3286,396,CAFELEF
3286,413,CAFELEF
3286,431,CAFELEF
3286,449,CAFELEF
3286,468,CAFELEF
3286,486,CAFELEF
3286,503,CAFELEF
3286,520,CAFELEF
3304,520,CAFERIGHT
3322,520,CAFERIGHT
3339,520,CAFERIGHT
3356,520,CAFERIGHT
3373,520,CAFERIGHT
3391,520,CAFERIGHT
3408,520,CAFERIGHT
3425,520,CAFERIGHT
3443,520,CAFERIGHT
3456,520,CAFERIGHT
3456,531,CAFERIGHT
3456,548,CAFERIGHT
3456,564,CAFERIGHT
3456,581,CAFERIGHT
3456,593,CAFERIGHT
3467,593,CAFERIGHT
3484,593,CAFERIGHT
3502,593,CAFERIGHT
3519,593,CAFERIGHT
3536,593,CAFERIGHT
3553,593,CAFERIGHT
3569,593,CAFERIGHT
3587,593,CAFERIGHT
3604,593,CAFERIGHT
3621,593,CAFERIGHT
3639,593,CAFERIGHT
3656,593,CAFERIGHT
3673,593,CAFERIGHT
3690,593,CAFERIGHT
3708,593,CAFERIGHT
3726,593,CAFERIGHT
3744,593,CAFERIGHT
3760,593,CAFERIGHT
3777,593,CAFERIGHT
3795,593,CAFERIGHT
3812,593,CAFERIGHT
3829,593,CAFERIGHT
3842,605,CAFERIGHT
3842,626,CAFERIGHT
3842,643,CAFERIGHT
3842,661,CAFERIGHT
3855,673,CAFERIGHT
3872,673,CAFERIGHT
3890,673,CAFERIGHT
3907,673,CAFERIGHT
3924,673,CAFERIGHT
3942,673,CAFERIGHT
3959,673,CAFERIGHT
3977,673,CAFERIGHT
3994,673,CAFERIGHT
4011,673,CAFERIGHT
4028,673,CAFERIGHT
4045,673,CAFERIGHT
4065,673,CAFERIGHT
4082,673,O2
4100,673,O2
4117,673,O2
4135,673,O2
4152,673,O2
4169,673,O2
4187,673,O2
4204,673,O2
4223,673,O2
4240,673,O2
4258,673,O2
4277,673,O2
4295,673,O2
4312,673,O2
4330,673,O2
4349,673,O2
4368,673,O2
4385,673,O2
4397,685,O2
4410,698,O2
4423,711,O2
4423,728,O2
4423,736,O2
4440,736,O2
4458,736,O2
4476,736,O2
4494,736,O2
4515,736,O2
4527,748,O2
4539,760,O2
4539,778,O2
4539,795,O2
4539,812,O2
4539,829,O2
4539,846,O2
4539,863,O2
4539,881,O2
4539,898,O2
4539,915,O2
4539,933,O2
4539,950,O2
4539,968,O2
4539,988,O2
4539,1012,O2
4539,1032,O2
4539,1050,O2
4539,1070,O2
4539,1087,O2
4539,1105,O2
4539,1122,O2
4539,1139,O2
4539,1157,O2
4539,1174,O2
4539,1193,O2
4552,1205,O2
4565,1218,O2
4582,1218,O2
4600,1218,O2
4618,1218,O2
4636,1218,O2
4664,1218,O2
4683,1218,O2
4700,1218,O2
4718,1218,O2
4736,1218,O2
4754,1218,O2
4773,1218,O2
4790,1218,O2
4808,1218,NAVI
4826,1218,NAVI
4838,1231,NAVI
4838,1250,NAVI
4838,1268,NAVI
4838,1286,NAVI
4838,1304,NAVI
4838,1323,NAVI
4838,1341,NAVI
4857,1341,NAVI
4876,1341,NAVI
4895,1341,NAVI
4912,1341,NAVI
4930,1341,NAVI
4948,1341,NAVI
4966,1341,NAVI
4983,1341,NAVI
5001,1341,NAVI
5019,1341,NAVI
5037,1341,NAVI
5055,1341,NAVI
5072,1341,NAVI
5090,1341,NAVI
5108,1341,NAVI
5126,1341,NAVI
5144,1341,NAVI
5162,1341,NAVI
5181,1341,NAVI
5199,1341,NAVI
5217,1341,NAVI
5235,1341,NAVI
5253,1341,NAVI
5272,1341,NAVI
5290,1341,NAVI
5309,1341,NAVI
5328,1341,NAVI
5347,1341,NAVI
5365,1341,NAVI
5384,1341,NAVI
5397,1328,NAVI
5397,1310,NAVI
5397,1292,NAVI
5397,1274,NAVI
5397,1255,NAVI
5397,1238,NAVI
5397,1217,NAVI
5397,1199,NAVI
5397,1181,NAVI
5397,1175,NAVI
5420,1175,NAVI
