X,Y,Nearest Task
2859,246,CAFELEF
2876,246,CAFELEF
2894,246,CAFELEF
2912,246,CAFELEF
2928,246,CAFELEF
2947,246,CAFELEF
2964,246,CAFELEF
2982,246,CAFELEF
2999,246,CAFELEF
3016,246,CAFELEF
3033,246,CAFELEF
3050,246,CAFELEF
3070,246,CAFELEF
3087,246,CAFELEF
3104,246,CAFELEF
3121,246,CAFELEF
3140,246,CAFELEF
3157,246,CAFELEF
3174,246,CAFELEF
3195,246,CAFELEF
3212,246,CAFELEF
3231,246,CAFELEF
3250,246,CAFELEF
3263,259,CAFELEF
3263,277,CAFELEF
3263,294,CAFELEF
3263,310,CAFELEF
3263,327,CAFELEF
3263,344,CAFELEF
3263,361,CAFELEF
3263,378,CAFELEF
3263,394,CAFELEF
3263,411,CAFELEF
3263,431,CAFELEF
3263,448,CAFELEF
3263,464,CAFELEF
3263,481,CAFELEF
3263,498,CAFELEF
3263,515,CAFELEF
3263,531,CAFELEF
3275,543,CAFELEF
3292,543,CAFERIGHT
3309,543,CAFERIGHT
3327,543,CAFERIGHT
3344,543,CAFERIGHT
3362,543,CAFERIGHT
3380,543,CAFERIGHT
3397,543,CAFERIGHT
3414,543,CAFERIGHT
3432,543,CAFERIGHT
3451,543,CAFERIGHT
3468,543,CAFERIGHT
3486,543,CAFERIGHT
3504,543,CAFERIGHT
3522,543,CAFERIGHT
3539,543,CAFERIGHT
3557,543,CAFERIGHT
3574,543,CAFERIGHT
3592,543,CAFERIGHT
3610,543,CAFERIGHT
3629,543,CAFERIGHT
3647,543,CAFERIGHT
3665,543,CAFERIGHT
3690,543,CAFERIGHT
3713,543,CAFERIGHT
3732,543,CAFERIGHT
3749,543,CAFERIGHT
3767,543,CAFERIGHT
3784,543,CAFERIGHT
3801,543,CAFERIGHT
3820,543,CAFERIGHT
3838,543,CAFERIGHT
3856,543,CAFERIGHT
3877,543,CAFERIGHT
3895,543,CAFERIGHT
3912,543,CAFERIGHT
3925,556,CAFERIGHT
3938,568,CAFERIGHT
3938,586,CAFERIGHT
3938,604,CAFERIGHT
3938,622,CAFERIGHT
3938,640,CAFERIGHT
3938,657,CAFERIGHT
3938,675,CAFERIGHT
3938,692,CAFERIGHT
3955,692,O2
3972,692,O2
3989,692,O2
4007,692,O2
4024,692,O2
4042,692,O2
4059,692,O2
4077,692,O2
4095,692,O2
4115,692,O2
4132,692,O2
4149,692,O2
4167,692,O2
4184,692,O2
4202,692,O2
4220,692,O2
4239,692,O2
4256,692,O2
4273,692,O2
4292,692,O2
4310,692,O2
4329,692,O2
4347,692,O2
4364,692,O2
4382,692,O2
4400,692,O2
4418,692,O2
4436,692,O2
4450,705,O2
4450,723,O2
4450,736,O2
4467,736,O2
4485,736,O2
4504,736,O2
4522,736,O2
4541,736,O2
4553,749,O2
4566,761,O2
4578,773,O2
4591,786,O2
4608,786,O2
4621,786,O2
4621,801,O2
4621,819,O2
4621,838,O2
4621,855,O2
4621,873,O2
4621,891,O2
4621,909,O2
4621,928,O2
4621,946,O2
4621,963,O2
4621,981,O2
4621,999,O2
4621,1017,O2
4621,1034,O2
4621,1053,O2
4621,1071,O2
4621,1090,O2
4621,1108,O2
4621,1126,O2
4621,1148,O2
4621,1166,O2
4621,1193,O2
4605,1209,O2
4592,1222,O2
4575,1222,O2
4557,1222,O2
4539,1222,O2
4521,1222,O2
4503,1222,O2
4486,1222,O2
4467,1222,O2
4449,1222,O2
4431,1222,O2
4413,1222,O2
4394,1222,O2
4376,1222,O2
4358,1222,O2
4340,1222,O2
4322,1222,O2
4304,1222,O2
4286,1222,O2
4268,1222,O2
4250,1222,O2
4250,1241,O2
4250,1260,O2
4250,1278,O2
4250,1296,O2
4231,1296,O2
4213,1296,O2
4195,1296,O2
4178,1296,O2
4161,1296,O2
4143,1296,O2
4125,1296,O2
4106,1296,O2
4088,1296,O2
4070,1296,O2
4052,1296,O2
4034,1296,O2
4017,1296,O2
