X,Y,Nearest Task
2859,246,CAFELEF
2859,262,CAFELEF
2859,281,CAFELEF
2842,281,CAFELEF
2825,281,CAFELEF
2807,281,CAFELEF
2790,281,CAFELEF
2773,281,CAFELEF
2755,281,CAFELEF
2746,292,CAFELEF
2734,304,CAFELEF
2727,317,CAFELEF
2727,328,CAFELEF
2727,345,CAFELEF
2727,362,CAFELEF
2727,379,CAFELEF
2727,396,CAFELEF
2727,412,CAFELEF
2727,429,CAFELEF
2727,445,CAFELEF
2727,462,CAFELEF
2727,479,CAFELEF
2727,495,CAFELEF
2727,513,CAFELEF
2727,530,CAFELEF
2727,549,CAFELEF
2727,568,CAFELEF
2727,586,CAFELEF
2727,604,CAFELEF
2727,622,CAFELEF
2727,639,CAFELEF
2727,657,CAFELEF
2727,674,CAFELEF
2710,674,CAFELEF
2690,674,CAFELEF
2673,674,CAFELEF
2656,674,CAFELEF
2638,674,CAFELEF
2620,674,CAFELEF
2602,674,CAFELEF
2585,674,CAFELEF
2567,674,CAFELEF
2550,674,CAFELEF
2532,674,CAFELEF
2515,674,CAFELEF
2498,674,CAFELEF
2479,674,CAFELEF
2462,674,CAFELEF
2445,674,CAFELEF
2426,674,CAFELEF
2407,674,CAFELEF
2390,674,CAFELEF
2371,674,CAFELEF
2354,674,CAFELEF
2337,674,CAFELEF
2318,674,CAFELEF
2298,674,CAFELEF
2276,674,CAFELEF
2259,674,CAFELEF
2241,674,CAFELEF
2224,674,CAFELEF
2206,674,CAFELEF
2188,674,CAFELEF
2170,674,CAFELEF
2150,674,CAFELEF
2130,674,CAFELEF
2112,674,CAFELEF
2094,674,CAFELEF
2076,674,CAFELEF
2054,674,MED
2036,674,MED
2018,674,MED
1999,674,MED
1978,674,MED
1954,674,MED
1935,674,MED
1917,674,MED
1895,674,MED
1878,674,MED
1859,674,MED
1841,674,REACUP
1823,674,REACUP
1806,674,REACUP
1789,674,REACUP
1771,674,REACUP
1754,674,REACUP
1736,674,REACUP
1717,674,REACUP
1700,674,REACUP
1682,674,REACUP
1665,674,REACUP
1648,674,REACUP
1627,674,REACUP
1627,692,REACUP
1627,709,REACUP
1627,726,REACUP
1627,743,REACUP
1627,760,REACUP
1627,777,REACUP
1627,794,REACUP
1627,815,REACUP
1627,832,REACUP
1627,850,REACUP
1627,868,REACUP
1627,885,REACUP
1627,903,REACUP
1612,917,REACUP
1600,930,REACUP
1587,942,REACUP
1574,955,REACUP
1562,968,REACUP
1544,968,REACUP
1526,968,REACUP
1507,968,REACUP
1490,968,REACUP
1471,968,REACUP
1454,968,REACUP
1436,968,REACUP
1418,968,REACUP
1401,968,REACUP
1383,968,REACUP
1370,980,REACUP
1370,999,REACUP
1370,1018,REACUP
1370,1035,REACUP
1370,1053,REACUP
1370,1071,REACUP
1370,1090,REACUP
1370,1109,REACUP
1370,1127,REACUP
1370,1145,REACUP
1370,1164,REACUP
1370,1182,REACUP
1370,1201,REACUP
1370,1220,REACUP
1370,1238,REACUP
1370,1258,REACUP
1370,1276,REACUP
1370,1294,REACUP
1370,1312,REACUP
1370,1331,REACUP
1370,1349,REACUP
1370,1367,REACUP
1370,1387,REACUP
1370,1405,REACUP
1370,1425,REACUP
1370,1443,REACUP
1370,1461,REACUP
1354,1477,REACDOWN
1335,1477,REACDOWN
1318,1477,REACDOWN
1300,1477,REACDOWN
1282,1477,REACDOWN
1264,1477,REACDOWN
1246,1477,REACDOWN
1227,1477,REACDOWN
1210,1477,REACDOWN
1192,1477,REACDOWN
1174,1477,REACDOWN
1153,1477,REACDOWN
1129,1477,REACDOWN
1108,1477,REACDOWN
1090,1477,REACDOWN
1072,1477,REACDOWN
1051,1477,REACDOWN
1033,1477,REACDOWN
1013,1477,REACDOWN
996,1477,REACDOWN
978,1477,REACDOWN
960,1477,REACDOWN
942,1477,REACDOWN
924,1477,REACDOWN
905,1477,REACDOWN
886,1477,REACDOWN
