X,Y,Nearest Task
2859,246,CAFELEF
2876,246,CAFELEF
2894,246,CAFELEF
2912,246,CAFELEF
2929,246,CAFELEF
2948,246,CAFELEF
2966,246,CAFELEF
2983,246,CAFELEF
3000,246,CAFELEF
3017,246,CAFELEF
3035,246,CAFELEF
3055,246,CAFELEF
3072,246,CAFELEF
3089,246,CAFELEF
3106,246,CAFELEF
3123,246,CAFELEF
3141,246,CAFELEF
3158,246,CAFELEF
3176,246,CAFELEF
3194,246,CAFELEF
3212,246,CAFELEF
3230,246,CAFELEF
3248,246,CAFELEF
3265,246,CAFELEF
3283,246,CAFELEF
3295,257,CAFELEF
3295,275,CAFELEF
3295,292,CAFELEF
3295,312,CAFELEF
3295,329,CAFERIGHT
3295,346,CAFERIGHT
3295,363,CAFERIGHT
3295,380,CAFERIGHT
3295,397,CAFERIGHT
3295,414,CAFERIGHT
3295,431,CAFERIGHT
3295,457,CAFERIGHT
3295,480,CAFERIGHT
3295,497,CAFERIGHT
3295,514,CAFERIGHT
3295,535,CAFERIGHT
3295,553,CAFERIGHT
3312,553,CAFERIGHT
3332,553,CAFERIGHT
3349,553,CAFERIGHT
3367,553,CAFERIGHT
3384,553,CAFERIGHT
3401,553,CAFERIGHT
3419,553,CAFERIGHT
3435,553,CAFERIGHT
3457,553,CAFERIGHT
3474,553,CAFERIGHT
3492,553,CAFERIGHT
3509,553,CAFERIGHT
3526,553,CAFERIGHT
3545,553,CAFERIGHT
3557,566,CAFERIGHT
3570,578,CAFERIGHT
3570,596,CAFERIGHT
3570,614,CAFERIGHT
3570,631,CAFERIGHT
3570,650,CAFERIGHT
3570,668,CAFERIGHT
3570,685,CAFERIGHT
3570,706,CAFERIGHT
3570,724,CAFERIGHT
3570,741,CAFERIGHT
3570,762,O2
3570,779,O2
3570,797,O2
3557,809,O2
3533,834,O2
3520,847,O2
3508,859,O2
3494,873,O2
3481,885,O2
3469,897,O2
3455,897,O2
3443,909,O2
3431,921,O2
3419,933,O2
3406,946,O2
3391,960,O2
3379,972,O2
3367,984,O2
3355,996,O2
3343,1009,O2
3343,1026,O2
3343,1045,O2
3343,1063,O2
3343,1081,O2
3343,1098,O2
3343,1115,O2
3343,1132,O2
3343,1149,O2
3343,1165,O2
3343,1182,O2
3343,1199,O2
3343,1216,O2
3343,1233,O2
3343,1250,O2
3343,1267,O2
3343,1285,O2
3343,1302,O2
3343,1321,O2
3343,1338,O2
3343,1355,O2
3343,1372,O2
3343,1390,O2
3343,1406,O2
3343,1423,O2
3343,1441,O2
3343,1459,O2
3343,1476,O2
3343,1493,O2
3343,1510,O2
3343,1527,MED
3343,1544,MED
3343,1561,MED
3343,1581,MED
3343,1598,MED
3343,1615,MED
3343,1632,MED
3343,1649,MED
3343,1668,MED
3343,1685,MED
3343,1703,MED
3343,1720,MED
3343,1738,MED
3343,1755,MED
3343,1773,MED
3343,1791,MED
3343,1816,MED
3343,1843,MED
3343,1861,ELEC
3343,1879,ELEC
3343,1896,ELEC
3343,1914,ELEC
3343,1931,ELEC
3343,1948,STOR
3343,1966,STOR
3343,1983,STOR
3343,2000,STOR
3360,2000,STOR
3378,2000,STOR
3396,2000,STOR
3414,2000,STOR
3434,2000,STOR
3453,2000,STOR
3471,2000,STOR
3489,2000,STOR
3501,2012,STOR
3502,2025,STOR
3502,2044,STOR
3502,2063,STOR
3502,2082,STOR
3502,2101,STOR
3502,2119,STOR
3502,2136,STOR
3502,2155,STOR
3502,2174,STOR
3502,2192,STOR
3502,2211,STOR
3502,2230,STOR
3502,2249,STOR
3502,2267,STOR
3502,2287,STOR
3502,2305,STOR
3521,2305,STOR
3539,2305,STOR
3557,2305,STOR
3578,2305,COMM
3596,2305,COMM
3615,2305,COMM
3633,2305,COMM
3651,2305,COMM
3669,2305,COMM
3687,2305,COMM
3705,2305,COMM
3723,2305,COMM
3741,2305,COMM
3760,2305,COMM
3779,2305,COMM
3797,2305,COMM
3815,2305,COMM
3837,2305,COMM
3855,2305,COMM
3873,2305,COMM
3891,2305,COMM
3910,2305,RIGHTCOM
3929,2305,RIGHTCOM
3947,2305,RIGHTCOM
3967,2305,RIGHTCOM
3986,2305,RIGHTCOM
3999,2318,RIGHTCOM
3999,2337,RIGHTCOM
3999,2355,RIGHTCOM
3999,2372,RIGHTCOM
3999,2390,RIGHTCOM
3999,2408,RIGHTCOM
3999,2426,RIGHTCOM
3999,2444,RIGHTCOM
3999,2461,RIGHTCOM
3999,2479,COMM
3999,2497,COMM
3999,2515,COMM
3999,2533,COMM
3999,2551,COMM
3999,2569,COMM
3999,2586,COMM
3999,2604,COMM
3999,2622,COMM
3999,2640,COMM
4012,2654,COMM
4030,2654,COMM
4049,2654,COMM
4067,2654,COMM
4095,2654,COMM
4116,2654,RIGHTCOM
4116,2672,COMM
4098,2672,COMM
4079,2672,COMM
4079,2691,COMM
4079,2709,COMM
4079,2726,COMM
4079,2744,COMM
4079,2763,COMM
4079,2780,COMM
4079,2798,COMM
4079,2800,COMM
