X,Y,Nearest Task
2859,246,CAFELEF
2842,246,CAFELEF
2825,246,CAFELEF
2808,246,CAFELEF
2798,258,CAFELEF
2785,270,CAFELEF
2773,283,CAFELEF
2761,295,CAFELEF
2761,311,CAFELEF
2761,329,CAFELEF
2761,346,CAFELEF
2761,364,CAFELEF
2761,381,CAFELEF
2761,399,CAFELEF
2761,418,CAFELEF
2761,436,CAFELEF
2761,454,CAFELEF
2761,471,CAFELEF
2761,489,CAFELEF
2761,506,CAFELEF
2761,524,CAFELEF
2761,542,CAFELEF
2761,563,CAFELEF
2761,580,CAFELEF
2761,598,CAFELEF
2761,615,CAFELEF
2761,634,CAFELEF
2761,651,CAFELEF
2761,668,CAFELEF
2749,680,CAFELEF
2736,693,CAFELEF
2718,693,CAFELEF
2700,693,CAFELEF
2679,693,CAFELEF
2663,693,CAFELEF
2643,693,CAFELEF
2626,693,CAFELEF
2609,693,CAFELEF
2592,693,CAFELEF
2574,693,CAFELEF
2555,693,CAFELEF
2538,693,CAFELEF
2521,693,CAFELEF
2502,693,CAFELEF
2485,693,CAFELEF
2466,693,CAFELEF
2448,693,CAFELEF
2430,693,CAFELEF
2411,693,CAFELEF
2394,693,CAFELEF
2377,693,CAFELEF
2358,693,CAFELEF
2340,693,CAFELEF
2322,693,CAFELEF
2305,693,CAFELEF
2287,693,CAFELEF
2270,693,CAFELEF
2252,693,CAFELEF
2234,693,CAFELEF
2213,693,MED
2195,693,MED
2178,693,MED
2161,693,MED
2143,693,MED
2121,693,MED
2100,693,MED
2081,693,MED
2063,693,MED
2046,693,MED
2029,693,MED
2011,693,MED
1992,693,MED
1974,693,MED
1956,693,MED
1939,693,MED
1921,693,MED
1904,693,MED
1887,693,MED
1865,693,MED
1847,693,REACUP
1830,693,REACUP
1813,693,REACUP
1795,693,REACUP
1778,693,REACUP
1760,693,REACUP
1742,693,REACUP
1724,693,REACUP
1705,693,REACUP
1687,693,REACUP
1669,693,REACUP
1655,678,REACUP
1655,660,REACUP
1655,643,REACUP
1655,626,REACUP
1655,621,REACUP
1643,621,REACUP
1625,621,REACUP
1607,621,REACUP
1587,621,REACUP
1572,621,REACUP
1572,609,REACUP
1572,597,REACUP
1559,584,REACUP
1559,567,REACUP
1547,555,REACUP
1534,542,REACUP
1521,529,REACUP
1503,529,REACUP
1485,529,REACUP
1466,529,REACUP
1449,529,REACUP
1431,529,REACUP
1413,529,REACUP
1396,529,REACUP
1378,529,REACUP
1360,529,REACUP
1342,529,REACUP
1323,529,REACUP
1305,529,REACUP
