X,Y,Nearest Task
2859,246,CAFELEF
2876,246,CAFELEF
2894,246,CAFELEF
2912,246,CAFELEF
2929,246,CAFELEF
2948,246,CAFELEF
2966,246,CAFELEF
2984,246,CAFELEF
3001,246,CAFELEF
3018,246,CAFELEF
3035,246,CAFELEF
3053,246,CAFELEF
3070,246,CAFELEF
3088,246,CAFELEF
3104,246,CAFELEF
3124,246,CAFELEF
3141,246,CAFELEF
3159,246,CAFELEF
3189,246,CAFELEF
3211,246,CAFELEF
3232,246,CAFELEF
3249,246,CAFELEF
3267,246,CAFELEF
3284,246,CAFELEF
3301,246,CAFERIGHT
3319,246,CAFERIGHT
3337,246,CAFERIGHT
3358,246,CAFERIGHT
3376,246,CAFERIGHT
3394,246,CAFERIGHT
3411,246,CAFERIGHT
3429,246,CAFERIGHT
3447,246,CAFERIGHT
3464,246,CAFERIGHT
3481,246,CAFERIGHT
3500,246,CAFERIGHT
3518,246,CAFERIGHT
3536,246,CAFERIGHT
3555,246,CAFERIGHT
3573,246,CAFERIGHT
3590,246,CAFERIGHT
3608,246,CAFERIGHT
3626,246,CAFERIGHT
3644,246,CAFERIGHT
3662,246,CAFERIGHT
3680,246,CAFERIGHT
3698,246,CAFERIGHT
3715,246,CAFERIGHT
3735,246,CAFERIGHT
3753,246,CAFERIGHT
3771,246,CAFERIGHT
3789,246,CAFERIGHT
3801,258,CAFERIGHT
3814,271,CAFERIGHT
3814,289,CAFERIGHT
3814,307,CAFERIGHT
3814,325,CAFERIGHT
3814,344,CAFERIGHT
3814,365,CAFERIGHT
3814,383,CAFERIGHT
3814,401,CAFERIGHT
3814,419,CAFERIGHT
3814,437,CAFERIGHT
3814,454,CAFERIGHT
3814,475,CAFERIGHT
3814,493,CAFERIGHT
3814,511,CAFERIGHT
3814,530,CAFERIGHT
3814,549,CAFERIGHT
3814,568,CAFERIGHT
3814,586,CAFERIGHT
3814,604,CAFERIGHT
3814,624,CAFERIGHT
3814,643,CAFERIGHT
3814,661,CAFERIGHT
3814,679,CAFERIGHT
3826,692,CAFERIGHT
3844,692,CAFERIGHT
3865,692,CAFERIGHT
3882,692,CAFERIGHT
3899,692,CAFERIGHT
3916,692,CAFERIGHT
3934,692,CAFERIGHT
3952,692,CAFERIGHT
3970,692,O2
3987,692,O2
4006,692,O2
4024,692,O2
4043,692,O2
4060,692,O2
4078,692,O2
4096,692,O2
4114,692,O2
4132,692,O2
4150,692,O2
4169,692,O2
4186,692,O2
4205,692,O2
4222,692,O2
4240,692,O2
4258,692,O2
4277,692,O2
4295,692,O2
4312,692,O2
4330,692,O2
4348,692,O2
4361,679,O2
4375,665,O2
4392,648,O2
4392,628,O2
4392,617,CAFERIGHT
4410,617,O2
4429,617,O2
4437,617,O2
4437,604,CAFERIGHT
4437,587,CAFERIGHT
4437,569,CAFERIGHT
4437,552,CAFERIGHT
4437,535,CAFERIGHT
4437,521,CAFERIGHT
4449,509,CAFERIGHT
4467,509,CAFERIGHT
4486,509,CAFERIGHT
4504,509,CAFERIGHT
4504,490,CAFERIGHT
4504,473,CAFERIGHT
4504,455,CAFERIGHT
4504,437,CAFERIGHT
