X,Y,Nearest Task
3854,366,CAFERIGHT
3854,348,CAFERIGHT
3854,329,CAFERIGHT
3854,311,CAFERIGHT
3854,294,CAFERIGHT
3854,276,CAFERIGHT
3854,261,CAFERIGHT
3842,261,CAFERIGHT
3829,248,CAFERIGHT
3812,248,CAFERIGHT
3795,248,CAFERIGHT
3778,248,CAFERIGHT
3761,248,CAFERIGHT
3744,248,CAFERIGHT
3727,248,CAFERIGHT
3710,248,CAFERIGHT
3691,248,CAFERIGHT
3673,248,CAFERIGHT
3655,248,CAFERIGHT
3639,248,CAFERIGHT
3621,248,CAFERIGHT
3604,248,CAFERIGHT
3586,248,CAFERIGHT
3568,248,CAFERIGHT
3549,248,CAFERIGHT
3529,248,CAFERIGHT
3511,248,CAFERIGHT
3494,248,CAFERIGHT
3475,248,CAFERIGHT
3457,248,CAFERIGHT
3440,248,CAFERIGHT
3421,248,CAFERIGHT
3402,248,CAFERIGHT
3383,248,CAFERIGHT
3366,248,CAFERIGHT
3348,248,CAFERIGHT
3329,248,CAFERIGHT
3312,248,CAFERIGHT
3294,248,CAFELEF
3276,248,CAFELEF
3258,248,CAFELEF
3240,248,CAFELEF
3222,248,CAFELEF
3198,248,CAFELEF
3173,248,CAFELEF
3152,248,CAFELEF
3133,248,CAFELEF
3115,248,CAFELEF
3097,248,CAFELEF
3079,248,CAFELEF
3061,248,CAFELEF
3043,248,CAFELEF
3025,248,CAFELEF
3007,248,CAFELEF
2989,248,CAFELEF
2969,248,CAFELEF
2950,248,CAFELEF
2932,248,CAFELEF
2912,248,CAFELEF
2895,248,CAFELEF
2878,248,CAFELEF
2860,248,CAFELEF
2841,248,CAFELEF
2841,228,CAFELEF
2841,210,CAFELEF
2829,210,CAFELEF
