X,Y,Nearest Task
3854,366,CAFERIGHT
3854,384,CAFERIGHT
3854,402,CAFERIGHT
3854,420,CAFERIGHT
3854,437,CAFERIGHT
3854,453,CAFERIGHT
3854,470,CAFERIGHT
3854,487,CAFERIGHT
3854,504,CAFERIGHT
3854,522,CAFERIGHT
3854,540,CAFERIGHT
3854,557,CAFERIGHT
3854,574,CAFERIGHT
3854,592,CAFERIGHT
3841,605,CAFERIGHT
3824,605,CAFERIGHT
3807,605,CAFERIGHT
3791,605,CAFERIGHT
3773,605,CAFERIGHT
3757,605,CAFERIGHT
3740,605,CAFERIGHT
3723,605,CAFERIGHT
3705,605,CAFERIGHT
3687,605,CAFERIGHT
3669,605,CAFERIGHT
3651,605,CAFERIGHT
3634,605,CAFERIGHT
3616,605,CAFERIGHT
3598,605,CAFERIGHT
3586,593,CAFERIGHT
3572,579,CAFERIGHT
3554,560,CAFERIGHT
3540,547,CAFERIGHT
3524,547,CAFERIGHT
3507,547,CAFERIGHT
3490,547,CAFERIGHT
3473,547,CAFERIGHT
3456,547,CAFERIGHT
3439,547,CAFERIGHT
3423,547,CAFERIGHT
3407,547,CAFERIGHT
3391,547,CAFERIGHT
3374,547,CAFERIGHT
3356,547,CAFERIGHT
3338,547,CAFERIGHT
3320,547,CAFERIGHT
3302,547,CAFERIGHT
3285,547,CAFELEF
3268,547,CAFELEF
3250,547,CAFELEF
3233,547,CAFELEF
3215,547,CAFELEF
3198,547,CAFELEF
3181,547,CAFELEF
3164,547,CAFELEF
3147,547,CAFELEF
3130,547,CAFELEF
3111,547,CAFELEF
3098,560,CAFELEF
3084,574,CAFELEF
3072,586,CAFELEF
3060,599,CAFELEF
3047,611,CAFELEF
3029,611,CAFELEF
3011,611,CAFELEF
2994,611,CAFELEF
2976,611,CAFELEF
2959,611,CAFELEF
2942,611,CAFELEF
2924,611,CAFELEF
2902,611,CAFELEF
2878,611,CAFELEF
2857,611,CAFELEF
2840,611,CAFELEF
2828,624,CAFELEF
2815,637,CAFELEF
2803,649,CAFELEF
2791,661,CAFELEF
2778,673,CAFELEF
2760,673,CAFELEF
2742,673,CAFELEF
2724,673,CAFELEF
2706,673,CAFELEF
2688,673,CAFELEF
2671,673,CAFELEF
2654,673,CAFELEF
2636,673,CAFELEF
2618,673,CAFELEF
2600,673,CAFELEF
2582,673,CAFELEF
2565,673,CAFELEF
2547,673,CAFELEF
2529,673,CAFELEF
2512,673,CAFELEF
2494,673,CAFELEF
2476,673,CAFELEF
2459,673,CAFELEF
2442,673,CAFELEF
2424,673,CAFELEF
2407,673,CAFELEF
2389,673,CAFELEF
2372,673,CAFELEF
2353,673,CAFELEF
2335,673,CAFELEF
2318,673,CAFELEF
2300,673,CAFELEF
2283,673,CAFELEF
2266,673,CAFELEF
2248,673,CAFELEF
2230,673,CAFELEF
2212,673,CAFELEF
2194,673,CAFELEF
2177,673,CAFELEF
2159,673,CAFELEF
2142,673,CAFELEF
2124,673,CAFELEF
2106,673,CAFELEF
2086,673,CAFELEF
2068,673,CAFELEF
2051,673,MED
2034,673,MED
2016,673,MED
2000,673,MED
1983,673,MED
1965,673,MED
1947,673,MED
1930,673,MED
1911,673,MED
1893,673,MED
1876,673,MED
1859,673,MED
1841,673,REACUP
1821,673,REACUP
1802,673,REACUP
1784,673,REACUP
1766,673,REACUP
1748,673,REACUP
1730,673,REACUP
1713,673,REACUP
1696,673,REACUP
1678,673,REACUP
1659,673,REACUP
1642,673,REACUP
1624,673,REACUP
1624,692,REACUP
1624,711,REACUP
1624,733,REACUP
1624,751,REACUP
1624,769,REACUP
1624,791,REACUP
1624,809,REACUP
1624,827,REACUP
1624,845,REACUP
1624,863,REACUP
1624,881,REACUP
1611,894,REACUP
1598,907,REACUP
1585,920,REACUP
1572,934,REACUP
1554,934,REACUP
1536,934,REACUP
1519,934,REACUP
1501,934,REACUP
1482,934,REACUP
1464,934,REACUP
1444,934,REACUP
1419,934,REACUP
1395,934,REACUP
1377,934,REACUP
1364,946,REACUP
1351,959,REACUP
1339,972,REACUP
1326,973,REACUP
1340,973,REACUP
1352,973,REACUP
1366,986,REACUP
1379,999,REACUP
1379,1017,REACUP
1379,1035,REACUP
1379,1053,REACUP
1379,1070,REACUP
1379,1087,REACUP
1379,1104,REACUP
1379,1122,REACUP
1379,1140,REACUP
1379,1158,REACUP
1379,1176,REACUP
1379,1193,REACUP
1379,1210,REACUP
1379,1228,REACUP
1379,1245,REACUP
1392,1258,REACUP
1405,1271,REACUP
1405,1290,REACUP
1405,1309,REACUP
1405,1327,REACUP
1405,1346,REACUP
1405,1366,REACUP
1405,1385,REACUP
1405,1403,REACUP
1405,1421,REACUP
1405,1440,REACUP
1405,1459,REACUP
1423,1459,REACUP
1442,1459,REACUP
1460,1459,REACUP
1478,1459,REACUP
1496,1459,REACUP
1516,1459,REACUP
1534,1459,REACUP
1552,1459,REACUP
1570,1459,REACUP
1588,1459,REACUP
1606,1459,REACUP
1624,1459,REACUP
1642,1459,ELEC
1661,1459,ELEC
1680,1459,ELEC
1699,1459,ELEC
1717,1459,ELEC
1736,1459,ELEC
1755,1459,ELEC
1773,1459,ELEC
1791,1459,ELEC
1809,1459,ELEC
1828,1459,ELEC
1847,1459,ELEC
1853,1459,ELEC
1853,1472,ELEC
1853,1490,ELEC
1853,1510,ELEC
1853,1528,ELEC
1853,1546,ELEC
1853,1565,ELEC
1853,1584,ELEC
1853,1603,ELEC
1853,1625,ELEC
1866,1638,ELEC
1885,1638,ELEC
1903,1638,ELEC
1921,1638,ELEC
1941,1638,ELEC
