X,Y,Nearest Task
3854,366,CAFERIGHT
3854,383,CAFERIGHT
3854,401,CAFERIGHT
3854,420,CAFERIGHT
3854,438,CAFERIGHT
3854,455,CAFERIGHT
3854,474,CAFERIGHT
3854,492,CAFERIGHT
3854,510,CAFERIGHT
3854,527,CAFERIGHT
3854,544,CAFERIGHT
3854,562,CAFERIGHT
3854,579,CAFERIGHT
3854,597,CAFERIGHT
3854,614,CAFERIGHT
3854,632,CAFERIGHT
3854,649,CAFERIGHT
3854,668,CAFERIGHT
3854,691,CAFERIGHT
3854,711,O2
3854,729,O2
3854,749,O2
3854,768,O2
3854,786,O2
3854,803,O2
3854,822,O2
3854,840,O2
3854,858,O2
3854,877,O2
3854,895,O2
3854,912,O2
3854,933,O2
3854,951,O2
3854,969,O2
3854,987,O2
3854,1012,O2
3854,1037,O2
3854,1055,O2
3854,1072,O2
3854,1089,O2
3854,1107,O2
3854,1125,O2
3841,1138,O2
3829,1150,O2
3812,1150,O2
3794,1150,O2
3777,1150,O2
3770,1150,O2
3770,1163,O2
3756,1176,O2
3744,1189,O2
3731,1201,O2
3714,1201,O2
3697,1201,O2
3679,1201,O2
3662,1201,O2
3643,1201,O2
3626,1201,O2
3609,1201,O2
3592,1201,O2
3574,1201,O2
3556,1201,O2
3539,1201,O2
3521,1201,O2
3504,1201,O2
3487,1201,O2
3471,1201,O2
3452,1201,O2
3431,1201,O2
3414,1201,O2
3396,1201,O2
3379,1201,O2
3368,1190,O2
3354,1177,O2
3341,1164,O2
3329,1151,O2
3329,1134,O2
3329,1116,O2
3329,1099,O2
3329,1081,O2
3329,1065,O2
3329,1045,O2
3329,1028,O2
3329,1010,O2
3329,992,O2
3329,974,O2
3316,962,O2
3303,949,O2
3291,937,O2
3279,925,MED
3267,913,MED
3255,901,MED
3243,889,MED
3226,889,MED
3207,889,MED
3189,889,MED
3171,889,MED
3154,889,MED
3142,877,MED
3129,864,MED
3117,851,MED
3099,851,MED
3080,851,MED
3062,851,MED
3044,851,MED
3026,851,MED
3009,851,MED
2992,851,MED
2975,851,MED
2957,851,MED
2940,851,MED
2922,851,MED
2904,851,MED
2889,836,MED
2871,819,MED
2858,805,MED
2845,792,MED
2832,780,MED
2820,768,MED
2803,768,MED
2785,768,MED
2767,768,MED
2748,768,MED
2727,768,MED
2710,768,MED
2706,768,MED
2706,755,MED
2706,743,CAFELEF
2706,730,CAFELEF
2693,717,CAFELEF
2681,705,CAFELEF
2663,705,CAFELEF
2645,705,CAFELEF
2627,705,CAFELEF
2609,705,CAFELEF
2591,705,CAFELEF
2574,705,CAFELEF
2556,705,CAFELEF
2538,705,CAFELEF
2520,705,CAFELEF
2502,705,CAFELEF
2484,705,CAFELEF
2465,705,CAFELEF
2447,705,CAFELEF
2430,705,CAFELEF
2412,705,CAFELEF
2391,705,CAFELEF
2373,705,CAFELEF
2356,705,CAFELEF
2343,692,CAFELEF
2331,680,CAFELEF
2313,680,CAFELEF
2292,680,CAFELEF
2272,680,CAFELEF
2255,680,CAFELEF
2237,680,CAFELEF
2219,680,CAFELEF
2201,680,CAFELEF
2183,680,CAFELEF
2165,680,CAFELEF
2147,680,CAFELEF
2130,680,CAFELEF
2112,680,MED
2094,680,MED
2075,680,MED
2057,680,MED
2039,680,MED
2022,680,MED
2003,680,MED
1985,680,MED
1965,680,MED
1946,680,MED
1927,680,MED
1909,680,MED
1891,680,MED
1873,680,MED
1856,680,REACUP
1838,680,REACUP
1820,680,REACUP
1802,680,REACUP
1784,680,REACUP
1766,680,REACUP
1743,680,REACUP
1720,680,REACUP
1701,680,REACUP
1683,680,REACUP
1664,680,REACUP
1646,680,REACUP
1628,680,REACUP
1610,680,REACUP
1597,693,REACUP
1597,712,REACUP
1597,730,REACUP
1597,749,REACUP
1597,768,REACUP
1597,786,REACUP
1597,805,REACUP
1597,823,REACUP
1597,842,REACUP
1597,861,REACUP
1597,879,REACUP
1597,898,REACUP
1597,916,REACUP
1597,935,REACUP
1583,948,REACUP
1570,962,REACUP
1551,962,REACUP
1532,962,REACUP
1512,962,REACUP
1492,962,REACUP
1473,962,REACUP
1461,975,REACUP
1447,988,REACUP
1429,988,REACUP
1409,988,REACUP
1391,988,REACUP
1373,988,REACUP
1362,988,REACUP
1362,1001,REACUP
1362,1014,REACUP
1362,1027,REACUP
1362,1040,REACUP
1362,1053,REACUP
1362,1065,REACUP
1362,1079,REACUP
1362,1092,REACUP
1362,1105,REACUP
1362,1117,REACUP
1362,1131,REACUP
1362,1144,REACUP
1362,1156,REACUP
1362,1169,REACUP
1362,1184,REACUP
1362,1197,REACUP
1362,1210,REACUP
1362,1227,REACUP
1362,1246,REACUP
1362,1266,REACUP
1362,1285,REACUP
1362,1303,REACUP
1362,1322,REACUP
1375,1335,REACUP
1388,1348,REACUP
1401,1361,REACUP
1414,1374,REACUP
1414,1393,REACUP
1414,1411,REACUP
1414,1430,REACUP
1414,1449,REACUP
1414,1467,REACUP
1414,1486,REACDOWN
1414,1505,REACDOWN
1414,1525,REACDOWN
1414,1544,REACDOWN
1414,1563,REACDOWN
1414,1581,REACDOWN
1414,1599,REACDOWN
1414,1618,REACDOWN
1414,1636,REACDOWN
1414,1655,REACDOWN
1414,1674,REACDOWN
1414,1692,REACDOWN
1414,1711,REACDOWN
1414,1738,REACDOWN
1414,1760,REACDOWN
1414,1779,REACDOWN
1414,1798,REACDOWN
1414,1816,REACDOWN
1414,1835,REACDOWN
1414,1854,REACDOWN
1414,1872,REACDOWN
1414,1891,REACDOWN
1414,1911,REACDOWN
1414,1930,REACDOWN
1414,1949,REACDOWN
1414,1974,REACDOWN
1414,1994,REACDOWN
1414,2018,REACDOWN
1414,2037,REACDOWN
1433,2037,REACDOWN
1452,2037,REACDOWN
1471,2037,REACDOWN
1489,2037,REACDOWN
1507,2037,REACDOWN
1526,2037,REACDOWN
1545,2037,REACDOWN
1564,2037,REACDOWN
1583,2037,REACDOWN
1602,2037,REACDOWN
1616,2051,REACDOWN
1616,2070,REACDOWN
1616,2089,REACDOWN
1616,2107,REACDOWN
1616,2126,REACDOWN
1616,2144,REACDOWN
1616,2162,REACDOWN
1616,2181,REACDOWN
1616,2200,REACDOWN
1616,2219,REACDOWN
1616,2238,REACDOWN
1635,2238,REACDOWN
1653,2238,REACDOWN
1672,2238,REACDOWN
1690,2238,REACDOWN
1710,2238,REACDOWN
1729,2238,REACDOWN
1747,2238,ELEC
1766,2238,ELEC
1785,2238,ELEC
1804,2238,ELEC
1822,2238,ELEC
1841,2238,ELEC
1860,2238,ELEC
1878,2238,ELEC
1898,2238,ELEC
1917,2238,ELEC
1937,2238,ELEC
1956,2238,ELEC
1976,2238,ELEC
1989,2251,ELEC
1989,2270,ELEC
1989,2288,ELEC
1989,2307,ELEC
1989,2326,ELEC
1989,2344,ELEC
1989,2363,ELEC
1989,2383,ELEC
1989,2402,ELEC
1989,2421,ELEC
1989,2441,ELEC
1989,2460,ELEC
1989,2481,ELEC
1989,2499,ELEC
1989,2518,ELEC
1989,2538,ELEC
1989,2557,ELEC
1989,2577,ELEC
2002,2590,ELEC
2022,2590,ELEC
2041,2590,ELEC
2060,2590,ELEC
2079,2590,ELEC
2097,2590,ELEC
2120,2590,ELEC
2146,2590,ELEC
2166,2590,ELEC
2184,2590,ELEC
2204,2590,ELEC
2222,2590,ELEC
2242,2590,ELEC
