X,Y,Nearest Task
3854,366,CAFERIGHT
3854,383,CAFERIGHT
3854,402,CAFERIGHT
3854,419,CAFERIGHT
3854,436,CAFERIGHT
3854,454,CAFERIGHT
3854,472,CAFERIGHT
3854,490,CAFERIGHT
3854,507,CAFERIGHT
3854,524,CAFERIGHT
3854,541,CAFERIGHT
3854,558,CAFERIGHT
3854,575,CAFERIGHT
3854,593,CAFERIGHT
3854,610,CAFERIGHT
3854,628,CAFERIGHT
3854,646,CAFERIGHT
3854,664,CAFERIGHT
3854,682,CAFERIGHT
3854,700,CAFERIGHT
3854,718,O2
3854,744,O2
3854,767,O2
3854,786,O2
3854,807,O2
3854,824,O2
3854,842,O2
3854,860,O2
3854,878,O2
3854,895,O2
3854,913,O2
3854,931,O2
3854,950,O2
3854,968,O2
3854,986,O2
3854,1003,O2
3854,1022,O2
3854,1041,O2
3854,1058,O2
3854,1076,O2
3854,1094,O2
3854,1111,O2
3854,1129,O2
3854,1144,O2
3841,1157,O2
3829,1169,O2
3811,1169,O2
3793,1169,O2
3775,1169,O2
3758,1169,O2
3740,1169,O2
3722,1169,O2
3701,1169,O2
3683,1169,O2
3666,1169,O2
3649,1169,O2
3631,1169,O2
3614,1169,O2
3596,1169,O2
3579,1169,O2
3558,1169,O2
3539,1169,O2
3521,1169,O2
3504,1169,O2
3486,1169,O2
3469,1169,O2
3451,1169,O2
3433,1169,O2
3415,1169,O2
3398,1169,O2
3385,1182,O2
3385,1201,O2
3385,1218,O2
3385,1236,O2
3385,1253,O2
3385,1272,O2
3385,1290,O2
3385,1307,O2
3385,1319,O2
3372,1332,O2
3357,1347,O2
3345,1359,O2
3345,1376,O2
3345,1394,O2
3345,1412,O2
3345,1430,O2
3345,1448,O2
3345,1466,O2
3345,1483,O2
3345,1501,O2
3345,1519,O2
3345,1537,O2
3345,1555,MED
3345,1573,MED
3345,1592,MED
3345,1610,MED
3345,1630,MED
3345,1647,MED
3345,1667,MED
3345,1684,MED
3345,1708,MED
3345,1729,MED
3345,1749,MED
3345,1770,MED
3345,1788,MED
3345,1805,MED
3345,1822,MED
3345,1840,MED
3345,1857,MED
3345,1876,ELEC
3345,1894,ELEC
3345,1912,ELEC
3345,1930,ELEC
3345,1947,STOR
3357,1959,STOR
3371,1972,STOR
3383,1985,STOR
3396,1998,STOR
3410,2012,STOR
3422,2024,STOR
3422,2042,STOR
3422,2065,STOR
3422,2082,STOR
3422,2100,STOR
3422,2118,STOR
3422,2137,STOR
3422,2155,STOR
3422,2173,STOR
3440,2173,STOR
3453,2186,STOR
3466,2199,STOR
3466,2218,STOR
3466,2236,STOR
3466,2255,STOR
3466,2273,STOR
3466,2291,STOR
3466,2310,STOR
3466,2328,STOR
3466,2346,STOR
3466,2364,STOR
3466,2382,STOR
3466,2401,STOR
3466,2420,STOR
3466,2438,STOR
3466,2462,STOR
3466,2481,STOR
3466,2499,STOR
3466,2517,STOR
3466,2535,STOR
3466,2553,STOR
3466,2571,STOR
3466,2590,STOR
3466,2608,STOR
3466,2627,STOR
3466,2645,STOR
3466,2663,STOR
3466,2682,STOR
3466,2700,STOR
3466,2718,STOR
3466,2737,STOR
3466,2756,STOR
3466,2774,STOR
3466,2793,STOR
3466,2811,STOR
