X,Y,Nearest Task
3854,366,CAFERIGHT
3854,383,CAFERIGHT
3854,400,CAFERIGHT
3854,423,CAFERIGHT
3854,440,CAFERIGHT
3854,457,CAFERIGHT
3854,475,CAFERIGHT
3854,493,CAFERIGHT
3854,510,CAFERIGHT
3854,528,CAFERIGHT
3854,545,CAFERIGHT
3842,558,CAFERIGHT
3829,570,CAFERIGHT
3817,582,CAFERIGHT
3799,582,CAFERIGHT
3782,582,CAFERIGHT
3765,582,CAFERIGHT
3746,582,CAFERIGHT
3728,582,CAFERIGHT
3710,582,CAFERIGHT
3693,582,CAFERIGHT
3675,582,CAFERIGHT
3658,582,CAFERIGHT
3640,582,CAFERIGHT
3623,582,CAFERIGHT
3607,582,CAFERIGHT
3590,582,CAFERIGHT
3573,582,CAFERIGHT
3556,582,CAFERIGHT
3539,582,CAFERIGHT
3527,570,CAFERIGHT
3514,557,CAFERIGHT
3500,543,CAFERIGHT
3483,543,CAFERIGHT
3466,543,CAFERIGHT
3449,543,CAFERIGHT
3432,543,CAFERIGHT
3415,543,CAFERIGHT
3398,543,CAFERIGHT
3381,543,CAFERIGHT
3364,543,CAFERIGHT
3347,543,CAFERIGHT
3331,543,CAFERIGHT
3314,543,CAFERIGHT
3297,543,CAFERIGHT
3280,543,CAFELEF
3262,543,CAFELEF
3244,543,CAFELEF
3226,543,CAFELEF
3208,543,CAFELEF
3191,543,CAFELEF
3174,543,CAFELEF
3157,543,CAFELEF
3139,543,CAFELEF
3122,543,CAFELEF
3105,543,CAFELEF
3087,543,CAFELEF
3070,543,CAFELEF
3052,543,CAFELEF
3034,543,CAFELEF
3016,543,CAFELEF
2998,543,CAFELEF
2980,543,CAFELEF
2963,543,CAFELEF
2946,543,CAFELEF
2928,543,CAFELEF
2911,543,CAFELEF
2894,543,CAFELEF
2876,543,CAFELEF
2857,543,CAFELEF
2840,543,CAFELEF
2823,543,CAFELEF
2807,543,CAFELEF
2807,560,CAFELEF
2807,578,CAFELEF
2807,602,CAFELEF
2807,624,CAFELEF
2807,642,CAFELEF
2807,659,CAFELEF
2807,676,CAFELEF
2807,693,CAFELEF
2807,710,CAFELEF
2807,727,CAFELEF
2790,727,CAFELEF
2772,727,CAFELEF
2755,727,CAFELEF
2739,727,CAFELEF
2722,727,CAFELEF
2704,727,CAFELEF
2686,727,CAFELEF
2673,714,CAFELEF
2661,701,CAFELEF
2648,689,CAFELEF
2636,676,CAFELEF
2619,676,CAFELEF
2602,676,CAFELEF
2584,676,CAFELEF
2566,676,CAFELEF
2548,676,CAFELEF
2531,676,CAFELEF
2513,676,CAFELEF
2495,676,CAFELEF
2478,676,CAFELEF
2459,676,CAFELEF
2442,676,CAFELEF
2423,676,CAFELEF
2405,676,CAFELEF
2387,676,CAFELEF
2371,676,CAFELEF
2353,676,CAFELEF
2336,676,CAFELEF
2319,676,CAFELEF
2300,676,CAFELEF
2282,676,CAFELEF
2264,676,CAFELEF
2246,676,CAFELEF
2227,676,CAFELEF
2210,676,CAFELEF
2193,676,CAFELEF
2174,676,CAFELEF
2156,676,CAFELEF
2138,676,CAFELEF
2120,676,CAFELEF
2102,676,CAFELEF
2085,676,CAFELEF
2067,676,MED
2049,676,MED
2031,676,MED
2014,676,MED
1994,676,MED
1976,676,MED
1958,676,MED
1940,676,MED
1920,676,MED
1902,676,MED
1885,676,MED
1867,676,MED
1849,676,REACUP
1831,676,REACUP
1813,676,REACUP
1795,676,REACUP
1778,676,REACUP
1761,676,REACUP
1744,676,REACUP
1726,676,REACUP
1707,676,REACUP
1689,676,REACUP
1668,676,REACUP
1650,676,REACUP
1638,689,REACUP
1638,708,REACUP
1638,726,REACUP
1638,736,REACUP
1623,750,REACUP
1605,750,REACUP
1587,750,REACUP
1574,763,REACUP
1572,776,REACUP
1572,788,REACUP
1572,800,REACUP
1572,813,REACUP
1572,826,REACUP
1572,839,REACUP
1572,852,REACUP
1572,865,REACUP
1559,877,REACUP
1546,891,REACUP
1527,891,REACUP
1509,891,REACUP
1491,891,REACUP
1474,891,REACUP
1456,891,REACUP
1438,891,REACUP
1420,891,REACUP
1402,891,REACUP
1384,891,REACUP
1371,904,REACUP
1357,917,REACUP
1344,931,REACUP
1331,944,REACUP
1318,957,REACUP
1305,970,REACUP
1291,973,REACUP
1278,973,REACUP
1297,973,REACUP
1316,973,REACUP
1335,973,REACUP
1353,973,REACUP
1371,973,REACUP
1389,973,REACUP
1408,973,REACUP
1429,973,REACUP
1448,973,REACUP
1461,986,REACUP
1475,999,REACUP
1486,1012,REACUP
1486,1025,REACUP
1486,1044,REACUP
1486,1063,REACUP
1486,1082,REACUP
1486,1101,REACUP
1486,1120,REACUP
1486,1139,REACUP
1486,1158,REACUP
1486,1176,REACUP
1486,1195,REACUP
1486,1215,REACUP
1486,1237,REACUP
1486,1257,REACUP
1486,1278,REACUP
1486,1298,REACUP
1486,1319,REACUP
1486,1338,REACUP
1486,1357,REACUP
1473,1370,REACUP
1459,1384,REACUP
1446,1397,REACUP
1427,1397,REACUP
1409,1397,REACUP
1390,1397,REACUP
1371,1397,REACUP
1362,1397,REACUP
1362,1410,REACUP
1362,1423,REACUP
1349,1436,REACUP
1335,1450,REACUP
1335,1468,REACDOWN
1335,1487,REACDOWN
1335,1506,REACDOWN
1353,1506,REACDOWN
1372,1506,REACDOWN
1391,1506,REACDOWN
1409,1506,REACDOWN
1429,1506,REACDOWN
1448,1506,REACDOWN
1476,1506,REACDOWN
1498,1506,REACDOWN
1512,1519,REACDOWN
1512,1538,REACDOWN
1512,1544,REACDOWN
1498,1544,REACDOWN
1485,1557,REACDOWN
1472,1571,REACDOWN
1457,1585,REACDOWN
1457,1604,REACDOWN
1457,1622,REACDOWN
1457,1641,REACDOWN
1444,1655,REACDOWN
1444,1674,REACDOWN
1444,1692,REACDOWN
1444,1711,REACDOWN
1444,1730,REACDOWN
1444,1749,REACDOWN
1444,1767,REACDOWN
1444,1786,REACDOWN
1444,1806,REACDOWN
1444,1825,REACDOWN
1444,1844,REACDOWN
1444,1864,REACDOWN
1444,1883,REACDOWN
1444,1901,REACDOWN
1444,1920,REACDOWN
1444,1939,REACDOWN
1444,1958,REACDOWN
1444,1978,REACDOWN
1444,1997,REACDOWN
1444,2016,REACDOWN
1457,2030,REACDOWN
1471,2040,REACDOWN
1484,2040,REACDOWN
1498,2040,REACDOWN
1512,2040,REACDOWN
1526,2054,REACDOWN
1540,2056,REACDOWN
1554,2070,REACDOWN
1567,2072,REACDOWN
1581,2085,REACDOWN
1595,2100,REACDOWN
1609,2113,REACDOWN
1609,2132,REACDOWN
1609,2153,REACDOWN
1609,2174,REACDOWN
1609,2194,REACDOWN
1609,2214,REACDOWN
1609,2234,REACDOWN
1609,2253,REACDOWN
1609,2272,REACDOWN
1609,2292,REACDOWN
1609,2311,REACDOWN
1609,2330,REACDOWN
1609,2349,REACDOWN
1609,2369,REACDOWN
1609,2388,REACDOWN
1595,2402,REACDOWN
1575,2402,REACDOWN
1556,2402,REACDOWN
1537,2402,REACDOWN
1518,2402,REACDOWN
1498,2402,REACDOWN
1479,2402,REACDOWN
1460,2402,REACDOWN
1435,2402,REACDOWN
1410,2402,REACDOWN
1391,2402,REACDOWN
1372,2402,REACDOWN
1351,2402,REACDOWN
1332,2402,REACDOWN
1312,2402,REACDOWN
1292,2402,REACDOWN
1273,2402,REACDOWN
