X,Y,Nearest Task
3854,366,CAFERIGHT
3854,383,CAFERIGHT
3854,402,CAFERIGHT
3854,419,CAFERIGHT
3854,437,CAFERIGHT
3854,456,CAFERIGHT
3854,474,CAFERIGHT
3854,492,CAFERIGHT
3854,509,CAFERIGHT
3854,526,CAFERIGHT
3854,548,CAFERIGHT
3854,565,CAFERIGHT
3854,583,CAFERIGHT
3854,601,CAFERIGHT
3842,614,CAFERIGHT
3825,614,CAFERIGHT
3807,614,CAFERIGHT
3790,614,CAFERIGHT
3773,614,CAFERIGHT
3755,614,CAFERIGHT
3739,614,CAFERIGHT
3722,614,CAFERIGHT
3704,614,CAFERIGHT
3687,614,CAFERIGHT
3669,614,CAFERIGHT
3652,614,CAFERIGHT
3635,614,CAFERIGHT
3619,614,CAFERIGHT
3603,614,CAFERIGHT
3586,614,CAFERIGHT
3568,614,CAFERIGHT
3550,614,CAFERIGHT
3537,601,CAFERIGHT
3525,589,CAFERIGHT
3512,576,CAFERIGHT
3499,563,CAFERIGHT
3479,563,CAFERIGHT
3456,563,CAFERIGHT
3436,563,CAFERIGHT
3419,563,CAFERIGHT
3402,563,CAFERIGHT
3383,563,CAFERIGHT
3366,563,CAFERIGHT
3348,563,CAFERIGHT
3331,563,CAFERIGHT
3314,563,CAFERIGHT
3297,563,CAFERIGHT
3280,563,CAFELEF
3261,563,CAFELEF
3243,563,CAFELEF
3225,563,CAFELEF
3208,563,CAFELEF
3190,563,CAFELEF
3173,563,CAFELEF
3153,563,CAFELEF
3135,563,CAFELEF
3118,563,CAFELEF
3099,563,CAFELEF
3082,563,CAFELEF
3065,563,CAFELEF
3048,563,CAFELEF
3030,563,CAFELEF
3012,563,CAFELEF
2995,563,CAFELEF
2977,563,CAFELEF
2959,563,CAFELEF
2942,563,CAFELEF
2923,563,CAFELEF
2907,563,CAFELEF
2889,563,CAFELEF
2872,563,CAFELEF
2855,563,CAFELEF
2839,563,CAFELEF
2822,563,CAFELEF
2805,563,CAFELEF
2792,576,CAFELEF
2792,593,CAFELEF
2792,613,CAFELEF
2792,631,CAFELEF
2792,648,CAFELEF
2792,666,CAFELEF
2792,684,CAFELEF
2792,701,CAFELEF
2792,719,CAFELEF
2774,719,CAFELEF
2756,719,CAFELEF
2737,719,CAFELEF
2719,719,CAFELEF
2702,719,CAFELEF
2684,719,CAFELEF
2665,719,CAFELEF
2647,719,CAFELEF
2629,719,CAFELEF
2612,719,CAFELEF
2595,719,CAFELEF
2578,719,CAFELEF
2560,719,CAFELEF
2540,719,CAFELEF
2522,719,CAFELEF
2504,719,CAFELEF
2487,719,CAFELEF
2469,719,CAFELEF
2451,719,MED
2434,719,MED
2416,719,MED
2391,719,MED
2373,719,MED
2355,719,MED
2338,719,MED
2320,719,MED
2302,719,MED
2287,734,MED
2287,751,MED
2287,769,MED
2287,786,MED
2287,802,MED
2287,819,MED
2287,836,MED
2287,852,MED
2287,870,MED
2287,887,MED
2287,904,MED
2287,921,MED
2287,939,MED
2287,956,MED
2287,973,MED
2287,998,MED
2287,1020,MED
2287,1038,MED
2287,1055,MED
2287,1074,MED
2287,1092,MED
2287,1109,MED
2287,1126,MED
2287,1143,MED
2287,1160,MED
2287,1177,MED
2287,1194,MED
2287,1211,MED
2287,1228,MED
2287,1247,MED
2287,1265,MED
2287,1282,MED
2287,1300,MED
2287,1318,MED
2287,1335,MED
2287,1352,MED
2287,1370,MED
2287,1388,MED
2299,1400,MED
2317,1400,MED
2335,1400,MED
2353,1400,MED
2371,1400,MED
2388,1400,MED
2407,1400,MED
2425,1400,MED
2442,1400,MED
2460,1400,MED
2478,1400,MED
2496,1400,MED
2514,1400,MED
2532,1400,MED
2550,1400,MED
