X,Y,Nearest Task
3854,366,CAFERIGHT
3854,383,CAFERIGHT
3854,402,CAFERIGHT
3854,421,CAFERIGHT
3854,439,CAFERIGHT
3854,456,CAFERIGHT
3854,474,CAFERIGHT
3854,492,CAFERIGHT
3854,510,CAFERIGHT
3854,528,CAFERIGHT
3854,545,CAFERIGHT
3854,563,CAFERIGHT
3854,580,CAFERIGHT
3854,597,CAFERIGHT
3854,615,CAFERIGHT
3854,633,CAFERIGHT
3854,651,CAFERIGHT
3854,669,CAFERIGHT
3873,669,CAFERIGHT
3891,669,CAFERIGHT
3908,669,CAFERIGHT
3927,669,CAFERIGHT
3947,669,CAFERIGHT
3964,669,CAFERIGHT
3981,669,CAFERIGHT
3999,669,CAFERIGHT
4016,669,CAFERIGHT
4034,669,CAFERIGHT
4052,669,CAFERIGHT
4069,669,CAFERIGHT
4087,669,CAFERIGHT
4105,669,O2
4122,669,O2
4140,669,O2
4157,669,O2
4176,669,O2
4194,669,O2
4213,669,O2
4233,669,O2
4251,669,O2
4268,669,O2
4288,669,O2
4306,669,O2
4324,669,O2
4343,669,O2
4360,669,O2
4378,669,O2
4391,682,O2
4391,700,O2
4391,718,O2
4391,735,O2
4391,736,O2
4404,736,O2
4422,736,O2
4445,736,O2
4470,736,O2
4484,736,O2
4497,749,O2
4497,766,O2
4497,784,O2
4497,801,O2
4497,819,O2
4497,837,O2
4497,855,O2
4497,873,O2
4497,893,O2
4497,910,O2
4497,927,O2
4497,946,O2
4497,965,O2
4497,984,O2
4497,1002,O2
4497,1022,O2
4497,1040,O2
4497,1057,O2
4497,1075,O2
4497,1092,O2
4497,1110,O2
4497,1128,O2
4497,1153,O2
4497,1171,O2
4497,1189,O2
4497,1206,O2
4497,1224,O2
4497,1242,O2
4515,1242,O2
4533,1242,O2
4550,1242,O2
4568,1242,O2
4588,1242,O2
4606,1242,O2
4625,1242,O2
4644,1242,O2
4662,1242,O2
4679,1242,O2
4697,1242,O2
4714,1242,O2
4732,1242,O2
4751,1242,O2
4768,1242,O2
4786,1242,O2
4805,1242,NAVI
4823,1242,NAVI
4841,1242,NAVI
4854,1255,NAVI
4854,1273,NAVI
4854,1291,NAVI
4854,1310,NAVI
4854,1328,NAVI
4854,1346,NAVI
4854,1364,NAVI
4854,1382,NAVI
4866,1395,NAVI
4884,1395,NAVI
4902,1395,NAVI
4920,1395,NAVI
4937,1395,NAVI
4957,1395,NAVI
4975,1395,NAVI
4992,1395,NAVI
5010,1395,NAVI
5030,1395,NAVI
5048,1395,NAVI
5066,1395,NAVI
5084,1395,NAVI
5102,1395,NAVI
5121,1395,NAVI
5139,1395,NAVI
5157,1395,NAVI
5175,1395,NAVI
5193,1395,NAVI
5211,1395,NAVI
5229,1395,NAVI
5248,1395,NAVI
5266,1395,NAVI
5285,1395,NAVI
5303,1395,NAVI
5321,1395,NAVI
5340,1395,NAVI
5358,1395,NAVI
5377,1395,NAVI
5397,1395,NAVI
5422,1395,NAVI
5422,1372,NAVI
5422,1353,NAVI
5422,1334,NAVI
5422,1312,NAVI
5422,1294,NAVI
5422,1275,NAVI
5422,1257,NAVI
5422,1239,NAVI
5422,1221,NAVI
5422,1203,NAVI
5422,1185,NAVI
5422,1175,NAVI
