X,Y,Nearest Task
3854,366,CAFERIGHT
3854,384,CAFERIGHT
3854,402,CAFERIGHT
3854,420,CAFERIGHT
3854,438,CAFERIGHT
3854,456,CAFERIGHT
3854,473,CAFERIGHT
3854,492,CAFERIGHT
3854,510,CAFERIGHT
3854,527,CAFERIGHT
3854,544,CAFERIGHT
3854,562,CAFERIGHT
3854,580,CAFERIGHT
3854,598,CAFERIGHT
3854,616,CAFERIGHT
3854,634,CAFERIGHT
3854,652,CAFERIGHT
3854,671,CAFERIGHT
3873,671,CAFERIGHT
3891,671,CAFERIGHT
3908,671,CAFERIGHT
3925,671,CAFERIGHT
3943,671,CAFERIGHT
3960,671,CAFERIGHT
3977,671,CAFERIGHT
3994,671,CAFERIGHT
4011,671,CAFERIGHT
4029,671,CAFERIGHT
4047,671,CAFERIGHT
4064,671,CAFERIGHT
4083,671,O2
4100,671,O2
4117,671,O2
4134,671,O2
4152,671,O2
4170,671,O2
4189,671,O2
4207,671,O2
4225,671,O2
4243,671,O2
4260,671,O2
4277,671,O2
4295,671,O2
4312,671,O2
4330,671,O2
4349,671,O2
4367,671,O2
4367,688,O2
4367,706,O2
4367,723,O2
4367,736,O2
4379,736,O2
4396,736,O2
4414,736,O2
4432,736,O2
4450,736,O2
4468,736,O2
4486,736,O2
4504,736,O2
4522,736,O2
4541,736,O2
4553,749,O2
4553,767,O2
4553,785,O2
4553,804,O2
4553,821,O2
4553,839,O2
4553,858,O2
4553,876,O2
4553,893,O2
4553,911,O2
4553,929,O2
4553,947,O2
4553,966,O2
4553,984,O2
4553,1002,O2
4553,1020,O2
4553,1038,O2
4553,1056,O2
4553,1075,O2
4553,1102,O2
4553,1127,O2
4553,1145,O2
4553,1163,O2
4553,1182,O2
4553,1201,O2
4553,1219,O2
4553,1237,O2
4535,1237,O2
4517,1237,O2
4499,1237,O2
4482,1237,O2
4464,1237,O2
4446,1237,O2
4426,1237,O2
4408,1237,O2
4390,1237,O2
4372,1237,O2
4355,1237,O2
4337,1237,O2
4319,1237,O2
4301,1237,O2
4282,1237,O2
4263,1237,O2
4246,1237,O2
4227,1237,O2
4209,1237,O2
4191,1237,O2
4174,1237,O2
4155,1237,O2
4142,1250,O2
4142,1270,O2
4142,1288,O2
4124,1288,O2
4105,1288,O2
4086,1288,O2
4068,1288,O2
4050,1288,O2
4032,1288,O2
