X,Y,Nearest Task
3854,366,CAFERIGHT
3854,385,CAFERIGHT
3854,403,CAFERIGHT
3854,421,CAFERIGHT
3854,439,CAFERIGHT
3854,457,CAFERIGHT
3854,474,CAFERIGHT
3854,491,CAFERIGHT
3854,511,CAFERIGHT
3854,528,CAFERIGHT
3854,546,CAFERIGHT
3854,564,CAFERIGHT
3842,576,CAFERIGHT
3829,589,CAFERIGHT
3817,601,CAFERIGHT
3800,601,CAFERIGHT
3782,601,CAFERIGHT
3764,601,CAFERIGHT
3746,601,CAFERIGHT
3729,601,CAFERIGHT
3711,601,CAFERIGHT
3693,601,CAFERIGHT
3675,601,CAFERIGHT
3658,601,CAFERIGHT
3640,601,CAFERIGHT
3622,601,CAFERIGHT
3605,601,CAFERIGHT
3587,601,CAFERIGHT
3569,601,CAFERIGHT
3556,588,CAFERIGHT
3544,576,CAFERIGHT
3531,563,CAFERIGHT
3520,552,CAFERIGHT
3502,552,CAFERIGHT
3484,552,CAFERIGHT
3467,552,CAFERIGHT
3443,552,CAFERIGHT
3422,552,CAFERIGHT
3402,552,CAFERIGHT
3384,552,CAFERIGHT
3367,552,CAFERIGHT
3350,552,CAFERIGHT
3333,552,CAFERIGHT
3314,552,CAFERIGHT
3297,552,CAFERIGHT
3280,552,CAFELEF
3263,552,CAFELEF
3246,552,CAFELEF
3227,552,CAFELEF
3209,552,CAFELEF
3191,552,CAFELEF
3174,552,CAFELEF
3155,552,CAFELEF
3138,552,CAFELEF
3121,552,CAFELEF
3104,552,CAFELEF
3086,552,CAFELEF
3068,552,CAFELEF
3050,552,CAFELEF
3032,552,CAFELEF
3014,552,CAFELEF
2997,552,CAFELEF
2979,552,CAFELEF
2962,552,CAFELEF
2945,552,CAFELEF
2924,552,CAFELEF
2905,552,CAFELEF
2887,552,CAFELEF
2870,552,CAFELEF
2849,552,CAFELEF
2831,552,CAFELEF
2814,552,CAFELEF
2796,552,CAFELEF
2796,570,CAFELEF
2796,588,CAFELEF
2796,608,CAFELEF
2796,626,CAFELEF
2796,644,CAFELEF
2777,644,CAFELEF
2759,644,CAFELEF
2739,644,CAFELEF
2720,644,CAFELEF
2702,644,CAFELEF
2684,644,CAFELEF
2665,644,CAFELEF
2648,644,CAFELEF
2630,644,CAFELEF
2612,644,CAFELEF
2594,644,CAFELEF
2577,644,CAFELEF
2558,644,CAFELEF
2540,644,CAFELEF
2520,644,CAFELEF
2500,644,CAFELEF
2482,644,CAFELEF
2465,644,CAFELEF
2447,644,CAFELEF
2429,644,CAFELEF
2410,644,CAFELEF
2393,644,CAFELEF
2374,644,CAFELEF
2356,644,CAFELEF
2339,644,CAFELEF
2322,644,CAFELEF
2303,644,CAFELEF
2285,644,CAFELEF
2266,644,CAFELEF
2248,644,CAFELEF
2229,644,CAFELEF
2208,644,CAFELEF
2183,644,CAFELEF
2162,644,CAFELEF
2143,644,CAFELEF
2125,644,CAFELEF
2107,644,CAFELEF
2089,644,CAFELEF
2070,644,CAFELEF
2052,644,CAFELEF
2033,644,CAFELEF
2016,644,CAFELEF
1998,644,CAFELEF
1980,644,CAFELEF
1961,644,CAFELEF
1943,644,CAFELEF
1925,644,CAFELEF
1907,644,CAFELEF
1889,644,CAFELEF
1871,644,CAFELEF
1853,644,REACUP
1835,644,REACUP
1818,644,REACUP
1798,644,REACUP
1780,644,REACUP
1760,644,REACUP
1740,644,REACUP
1721,644,REACUP
1702,644,REACUP
1683,644,REACUP
1664,644,REACUP
1646,644,REACUP
1627,644,REACUP
1608,644,REACUP
1590,644,REACUP
1590,663,REACUP
1590,681,REACUP
1590,700,REACUP
1590,719,REACUP
1590,736,REACUP
1590,755,REACUP
1590,773,REACUP
1590,791,REACUP
1590,809,REACUP
1590,827,REACUP
1590,845,REACUP
1590,863,REACUP
1590,881,REACUP
1590,899,REACUP
1590,918,REACUP
1590,936,REACUP
1577,949,REACUP
1559,949,REACUP
1540,949,REACUP
1522,949,REACUP
1504,949,REACUP
1486,949,REACUP
1468,949,REACUP
1449,949,REACUP
1430,949,REACUP
1412,949,REACUP
1412,968,REACUP
1412,987,REACUP
1412,1005,REACUP
1412,1023,REACUP
1412,1041,REACUP
1412,1058,REACUP
1412,1076,REACUP
1412,1094,REACUP
1412,1112,REACUP
1412,1131,REACUP
1412,1150,REACUP
1412,1167,REACUP
1412,1185,REACUP
1412,1203,REACUP
1412,1222,REACUP
1412,1240,REACUP
1412,1258,REACUP
1412,1276,REACUP
1412,1295,REACUP
1412,1315,REACUP
1412,1333,REACUP
1412,1352,REACUP
1412,1371,REACUP
1412,1390,REACUP
1412,1408,REACUP
1412,1427,REACUP
1412,1446,REACUP
1412,1464,REACUP
1412,1483,REACDOWN
1412,1502,REACDOWN
1399,1515,REACDOWN
1380,1515,REACDOWN
1362,1515,REACDOWN
1344,1515,REACDOWN
1321,1515,REACDOWN
1298,1515,REACDOWN
1279,1515,REACDOWN
1262,1515,REACDOWN
1243,1515,REACDOWN
1226,1515,REACDOWN
1206,1515,REACDOWN
1188,1515,REACDOWN
1169,1515,REACDOWN
1151,1515,REACDOWN
1133,1515,REACDOWN
1113,1515,REACDOWN
1089,1515,REACDOWN
1070,1515,REACDOWN
1051,1515,REACDOWN
1033,1515,REACDOWN
1013,1515,REACDOWN
994,1515,REACDOWN
976,1515,REACDOWN
957,1515,REACDOWN
938,1515,REACDOWN
918,1515,REACDOWN
899,1515,REACDOWN
880,1515,REACDOWN
861,1515,REACDOWN
