X,Y,Nearest Task
3854,366,CAFERIGHT
3854,384,CAFERIGHT
3854,402,CAFERIGHT
3854,420,CAFERIGHT
3854,437,CAFERIGHT
3854,455,CAFERIGHT
3854,474,CAFERIGHT
3854,492,CAFERIGHT
3854,510,CAFERIGHT
3854,527,CAFERIGHT
3854,545,CAFERIGHT
3854,563,CAFERIGHT
3854,582,CAFERIGHT
3854,600,CAFERIGHT
3854,618,CAFERIGHT
3854,636,CAFERIGHT
3854,654,CAFERIGHT
3854,671,CAFERIGHT
3854,691,CAFERIGHT
3854,710,O2
3854,738,O2
3854,764,O2
3854,784,O2
3854,802,O2
3854,820,O2
3854,838,O2
3854,856,O2
3854,875,O2
3854,894,O2
3854,912,O2
3854,930,O2
3854,948,O2
3854,966,O2
3854,985,O2
3854,1004,O2
3854,1021,O2
3854,1039,O2
3854,1057,O2
3854,1076,O2
3854,1095,O2
3854,1114,O2
3854,1133,O2
3841,1146,O2
3823,1146,O2
3806,1146,O2
3788,1146,O2
3770,1146,O2
3770,1160,O2
3755,1175,O2
3742,1187,O2
3730,1200,O2
3716,1213,O2
3699,1213,O2
3682,1213,O2
3664,1213,O2
3647,1213,O2
3630,1213,O2
3612,1213,O2
3599,1226,O2
3581,1226,O2
3562,1226,O2
3544,1226,O2
3526,1226,O2
3508,1226,O2
3490,1226,O2
3473,1226,O2
3455,1226,O2
3439,1226,O2
3422,1226,O2
3404,1226,O2
3386,1226,O2
3364,1226,O2
3346,1226,O2
3329,1226,O2
3312,1226,O2
3299,1239,MED
3299,1257,MED
3299,1277,MED
3299,1294,MED
3299,1312,MED
3299,1328,MED
3299,1345,MED
3312,1358,MED
3324,1370,MED
3337,1383,O2
3350,1396,O2
3366,1412,O2
3373,1424,O2
3373,1443,O2
3373,1462,O2
3373,1480,O2
3373,1498,O2
3373,1516,O2
3373,1535,O2
3373,1553,O2
3373,1575,O2
3373,1593,O2
3373,1612,O2
3361,1624,O2
3348,1637,MED
3348,1655,MED
3348,1673,MED
3348,1691,MED
3348,1709,MED
3348,1733,MED
3348,1755,MED
3348,1778,MED
3348,1796,MED
3348,1814,MED
3348,1832,MED
3348,1851,MED
3348,1869,ELEC
3348,1888,ELEC
3348,1906,ELEC
3348,1926,ELEC
3348,1944,STOR
3348,1962,STOR
3348,1980,STOR
3362,1993,STOR
3380,1993,STOR
3398,1993,STOR
3416,1993,STOR
3434,1993,STOR
3452,1993,STOR
3471,1993,STOR
3489,1993,STOR
3501,2006,STOR
3501,2025,STOR
3501,2044,STOR
3501,2062,STOR
3501,2081,STOR
3501,2099,STOR
3501,2118,STOR
3501,2136,STOR
3501,2155,STOR
3501,2174,STOR
3501,2192,STOR
3501,2210,STOR
3501,2228,STOR
3501,2247,STOR
3501,2265,STOR
3514,2278,STOR
3532,2278,STOR
3551,2278,STOR
3568,2278,COMM
3586,2278,COMM
3604,2278,COMM
3622,2278,COMM
3640,2278,COMM
3659,2278,COMM
3677,2278,COMM
3695,2278,COMM
3712,2278,COMM
3730,2278,COMM
3748,2278,COMM
3767,2278,COMM
3785,2278,COMM
3803,2278,COMM
3821,2278,COMM
3840,2278,COMM
3860,2278,COMM
3878,2278,COMM
3896,2278,RIGHTCOM
3915,2278,RIGHTCOM
3933,2278,RIGHTCOM
3952,2278,RIGHTCOM
3970,2278,RIGHTCOM
3982,2291,RIGHTCOM
3996,2304,RIGHTCOM
3996,2324,RIGHTCOM
3996,2343,RIGHTCOM
3996,2361,RIGHTCOM
3996,2380,RIGHTCOM
3996,2399,RIGHTCOM
3996,2418,RIGHTCOM
3996,2436,RIGHTCOM
3996,2454,RIGHTCOM
3996,2473,COMM
3996,2492,COMM
3996,2510,COMM
3996,2529,COMM
3996,2548,COMM
3996,2567,COMM
3996,2586,COMM
3996,2605,COMM
3996,2624,COMM
3996,2646,COMM
4010,2660,COMM
4023,2673,COMM
4041,2673,COMM
4059,2673,COMM
4078,2673,COMM
4093,2688,COMM
4093,2708,COMM
4093,2727,COMM
4093,2746,COMM
4093,2765,COMM
4093,2784,COMM
