X,Y,Nearest Task
3854,366,CAFERIGHT
3854,385,CAFERIGHT
3854,403,CAFERIGHT
3854,420,CAFERIGHT
3854,438,CAFERIGHT
3854,455,CAFERIGHT
3854,473,CAFERIGHT
3854,490,CAFERIGHT
3854,508,CAFERIGHT
3854,526,CAFERIGHT
3854,544,CAFERIGHT
3842,556,CAFERIGHT
3825,556,CAFERIGHT
3808,556,CAFERIGHT
3791,556,CAFERIGHT
3774,556,CAFERIGHT
3756,556,CAFERIGHT
3737,556,CAFERIGHT
3720,556,CAFERIGHT
3701,556,CAFERIGHT
3683,556,CAFERIGHT
3665,556,CAFERIGHT
3647,556,CAFERIGHT
3629,556,CAFERIGHT
3611,556,CAFERIGHT
3594,556,CAFERIGHT
3577,556,CAFERIGHT
3559,556,CAFERIGHT
3541,556,CAFERIGHT
3524,556,CAFERIGHT
3505,556,CAFERIGHT
3488,556,CAFERIGHT
3470,556,CAFERIGHT
3453,556,CAFERIGHT
3434,556,CAFERIGHT
3417,556,CAFERIGHT
3399,556,CAFERIGHT
3381,556,CAFERIGHT
3357,556,CAFERIGHT
3336,556,CAFERIGHT
3316,556,CAFERIGHT
3298,556,CAFERIGHT
3281,556,CAFELEF
3263,556,CAFELEF
3247,556,CAFELEF
3230,556,CAFELEF
3212,556,CAFELEF
3195,556,CAFELEF
3178,556,CAFELEF
3161,556,CAFELEF
3142,556,CAFELEF
3124,556,CAFELEF
3111,569,CAFELEF
3111,586,CAFELEF
3111,603,CAFELEF
3111,620,CAFELEF
3111,637,CAFELEF
3111,654,CAFELEF
3099,666,CAFELEF
3087,678,CAFELEF
3070,678,CAFELEF
3052,678,CAFELEF
3034,678,CAFELEF
3016,678,CAFELEF
2998,678,CAFELEF
2980,678,CAFELEF
2963,678,CAFELEF
2946,678,CAFELEF
2928,678,CAFELEF
2911,678,CAFELEF
2894,678,CAFELEF
2875,678,CAFELEF
2858,678,CAFELEF
2840,678,CAFELEF
2822,678,CAFELEF
2804,678,CAFELEF
2787,678,CAFELEF
2770,678,CAFELEF
2753,678,CAFELEF
2735,678,CAFELEF
2718,678,CAFELEF
2699,678,CAFELEF
2682,678,CAFELEF
2664,678,CAFELEF
2646,678,CAFELEF
2629,678,CAFELEF
2610,678,CAFELEF
2593,678,CAFELEF
2575,678,CAFELEF
2557,678,CAFELEF
2538,678,CAFELEF
2519,678,CAFELEF
2502,678,CAFELEF
2484,678,CAFELEF
2466,678,CAFELEF
2448,678,CAFELEF
2430,678,CAFELEF
2412,678,CAFELEF
2395,678,CAFELEF
2378,678,CAFELEF
2360,678,CAFELEF
2340,678,CAFELEF
2322,678,CAFELEF
2305,678,CAFELEF
2288,678,CAFELEF
2270,678,CAFELEF
2253,678,CAFELEF
2235,678,CAFELEF
2218,678,CAFELEF
2199,678,CAFELEF
2180,678,CAFELEF
2163,678,CAFELEF
2145,678,CAFELEF
2128,678,CAFELEF
2111,678,CAFELEF
2094,678,MED
2076,678,MED
2058,678,MED
2039,678,MED
2022,678,MED
2004,678,MED
1986,678,MED
1969,678,MED
1951,678,MED
1933,678,MED
1914,678,MED
1897,678,MED
1878,678,MED
1854,678,REACUP
1831,678,REACUP
1813,678,REACUP
1793,678,REACUP
1775,678,REACUP
1758,678,REACUP
1738,678,REACUP
1720,678,REACUP
1702,678,REACUP
1683,678,REACUP
1665,678,REACUP
1646,678,REACUP
1634,665,REACUP
1634,647,REACUP
1634,630,REACUP
1634,612,REACUP
1634,594,REACUP
1634,576,REACUP
1634,558,REACUP
1634,540,REACUP
1634,522,REACUP
1634,504,REACUP
1634,487,REACUP
1616,487,REACUP
1598,487,REACUP
1578,487,REACUP
1559,487,REACUP
1542,487,REACUP
1523,487,REACUP
1505,487,REACUP
1488,487,REACUP
1471,487,REACUP
1454,487,REACUP
1436,487,REACUP
1418,487,REACUP
1399,487,REACUP
1380,487,REACUP
1362,487,REACUP
1343,487,REACUP
1326,487,REACUP
1306,487,REACUP
1287,487,REACUP
