X,Y,Nearest Task
3854,366,CAFERIGHT
3854,384,CAFERIGHT
3854,402,CAFERIGHT
3854,420,CAFERIGHT
3854,438,CAFERIGHT
3854,455,CAFERIGHT
3854,473,CAFERIGHT
3854,490,CAFERIGHT
3854,508,CAFERIGHT
3854,526,CAFERIGHT
3854,544,CAFERIGHT
3854,562,CAFERIGHT
3854,579,CAFERIGHT
3854,597,CAFERIGHT
3854,615,CAFERIGHT
3854,634,CAFERIGHT
3854,652,CAFERIGHT
3854,670,CAFERIGHT
3854,688,CAFERIGHT
3854,706,CAFERIGHT
3866,718,O2
3885,718,O2
3905,718,O2
3923,718,O2
3940,718,O2
3957,718,O2
3973,718,O2
3990,718,O2
4008,718,O2
4025,718,O2
4043,718,O2
4060,718,O2
4077,718,O2
4096,718,O2
4114,718,O2
4131,718,O2
4148,718,O2
4169,718,O2
4187,718,O2
4205,718,O2
4223,718,O2
4240,718,O2
4259,718,O2
4278,718,O2
4296,718,O2
4314,718,O2
4332,718,O2
4350,718,O2
4369,718,O2
4388,718,O2
4401,705,O2
4414,692,O2
4414,674,O2
4414,655,O2
4414,636,O2
4414,619,O2
4414,601,CAFERIGHT
4414,583,CAFERIGHT
4414,565,CAFERIGHT
4414,547,CAFERIGHT
4414,529,CAFERIGHT
4414,521,CAFERIGHT
4431,521,CAFERIGHT
4453,521,CAFERIGHT
4473,521,CAFERIGHT
4491,521,CAFERIGHT
4491,504,CAFERIGHT
4491,485,CAFERIGHT
4491,467,CAFERIGHT
4491,450,CAFERIGHT
4491,433,CAFERIGHT
4491,416,CAFERIGHT
4491,408,CAFERIGHT
