X,Y,Nearest Task
1921,1621,ELEC
1921,1609,ELEC
1921,1597,ELEC
1921,1584,ELEC
1921,1566,ELEC
1921,1554,ELEC
1921,1542,ELEC
1921,1530,ELEC
1921,1518,ELEC
1921,1517,ELEC
1909,1517,ELEC
1886,1517,ELEC
1862,1517,ELEC
1850,1517,ELEC
1838,1517,ELEC
1826,1517,ELEC
1814,1517,ELEC
1802,1517,ELEC
1790,1517,ELEC
1777,1517,ELEC
1757,1517,ELEC
1745,1517,ELEC
1733,1517,ELEC
1721,1517,ELEC
1708,1517,ELEC
1695,1517,ELEC
1683,1517,ELEC
1651,1517,ELEC
1638,1517,REACDOWN
1626,1517,REACDOWN
1610,1517,REACDOWN
1597,1517,REACDOWN
1584,1517,REACDOWN
1572,1517,REACDOWN
1560,1517,REACDOWN
1548,1517,REACDOWN
1536,1517,REACDOWN
1523,1517,REACDOWN
1511,1517,REACDOWN
1494,1517,REACDOWN
1482,1517,REACDOWN
1470,1517,REACDOWN
1458,1517,REACDOWN
1446,1517,REACDOWN
1434,1517,REACDOWN
1422,1517,REACDOWN
1413,1508,REACDOWN
1413,1496,REACDOWN
1413,1484,REACDOWN
1413,1472,REACDOWN
1413,1459,REACUP
1413,1446,REACUP
1413,1433,REACUP
1413,1421,REACUP
1413,1408,REACUP
1413,1396,REACUP
1413,1384,REACUP
1413,1372,REACUP
1413,1360,REACUP
1413,1347,REACUP
1413,1335,REACUP
1413,1323,REACUP
1413,1311,REACUP
1413,1299,REACUP
1413,1287,REACUP
1413,1274,REACUP
1413,1261,REACUP
1413,1249,REACUP
1413,1237,REACUP
1413,1224,REACUP
1413,1211,REACUP
1413,1199,REACUP
1413,1186,REACUP
1413,1174,REACUP
1413,1162,REACUP
1413,1149,REACUP
1413,1137,REACUP
1413,1125,REACUP
1413,1112,REACUP
1413,1100,REACUP
1413,1088,REACUP
1413,1069,REACUP
1413,1051,REACUP
1413,1039,REACUP
1413,1027,REACUP
1413,1014,REACUP
1413,1002,REACUP
1413,990,REACUP
1413,978,REACUP
1413,960,REACUP
1413,942,REACUP
1422,933,REACUP
