X,Y,Nearest Task
1921,1621,ELEC
1921,1609,ELEC
1921,1597,ELEC
1921,1585,ELEC
1921,1573,ELEC
1921,1560,ELEC
1921,1547,ELEC
1921,1534,ELEC
1921,1522,ELEC
1921,1517,ELEC
1909,1517,ELEC
1897,1517,ELEC
1885,1517,ELEC
1873,1517,ELEC
1861,1517,ELEC
1849,1517,ELEC
1837,1517,ELEC
1825,1517,ELEC
1812,1517,ELEC
1800,1517,ELEC
1788,1517,ELEC
1776,1517,ELEC
1764,1517,ELEC
1752,1517,ELEC
1740,1517,ELEC
1719,1517,ELEC
1699,1517,ELEC
1678,1517,ELEC
1664,1517,ELEC
1651,1517,ELEC
1638,1517,REACDOWN
1619,1517,REACDOWN
1601,1517,REACDOWN
1588,1517,REACDOWN
1576,1517,REACDOWN
1564,1517,REACDOWN
1552,1517,REACDOWN
1519,1517,REACDOWN
1507,1517,REACDOWN
1494,1517,REACDOWN
1481,1517,REACDOWN
1468,1517,REACDOWN
1456,1517,REACDOWN
1447,1508,REACDOWN
1438,1499,REACDOWN
1429,1490,REACDOWN
1420,1481,REACDOWN
1420,1468,REACDOWN
1420,1456,REACUP
1420,1443,REACUP
1420,1431,REACUP
1420,1419,REACUP
1420,1407,REACUP
1420,1395,REACUP
1420,1383,REACUP
1420,1371,REACUP
1420,1358,REACUP
1420,1345,REACUP
1420,1333,REACUP
1420,1306,REACUP
1420,1286,REACUP
1420,1271,REACUP
1420,1259,REACUP
1420,1247,REACUP
1420,1235,REACUP
1420,1223,REACUP
1420,1211,REACUP
1420,1199,REACUP
1420,1187,REACUP
1420,1175,REACUP
1420,1163,REACUP
1420,1151,REACUP
1420,1139,REACUP
1420,1126,REACUP
1420,1114,REACUP
1420,1102,REACUP
1420,1089,REACUP
1420,1077,REACUP
1420,1065,REACUP
1420,1053,REACUP
1420,1041,REACUP
1420,1029,REACUP
1420,1012,REACUP
1420,1000,REACUP
1420,988,REACUP
1420,976,REACUP
1420,962,REACUP
1431,951,REACUP
1440,942,REACUP
1449,933,REACUP
1462,933,REACUP
1475,933,REACUP
1488,933,REACUP
