X,Y,Nearest Task
1921,1621,ELEC
1921,1609,ELEC
1921,1597,ELEC
1921,1585,ELEC
1921,1567,ELEC
1921,1555,ELEC
1921,1541,ELEC
1921,1517,ELEC
1909,1517,ELEC
1897,1517,ELEC
1883,1517,ELEC
1864,1517,ELEC
1852,1517,ELEC
1840,1517,ELEC
1827,1517,ELEC
1815,1517,ELEC
1800,1517,ELEC
1788,1517,ELEC
1767,1517,ELEC
1754,1517,ELEC
1732,1517,ELEC
1708,1517,ELEC
1696,1517,ELEC
1683,1517,ELEC
1671,1517,ELEC
1657,1517,ELEC
1645,1517,ELEC
1611,1517,REACDOWN
1597,1517,REACDOWN
1585,1517,REACDOWN
1570,1517,REACDOWN
1554,1517,REACDOWN
1537,1517,REACDOWN
1525,1517,REACDOWN
1513,1517,REACDOWN
1501,1517,REACDOWN
1488,1517,REACDOWN
1476,1517,REACDOWN
1464,1517,REACDOWN
1452,1517,REACDOWN
1439,1517,REACDOWN
1427,1517,REACDOWN
1418,1526,REACDOWN
1418,1539,REACDOWN
1418,1552,REACDOWN
1418,1569,REACDOWN
1418,1582,REACDOWN
1418,1595,REACDOWN
1418,1608,REACDOWN
1418,1621,REACDOWN
1418,1634,REACDOWN
1418,1647,REACDOWN
1418,1661,REACDOWN
1418,1681,REACDOWN
1418,1694,REACDOWN
1418,1707,REACDOWN
1418,1720,REACDOWN
1418,1733,REACDOWN
1418,1746,REACDOWN
1418,1759,REACDOWN
1418,1772,REACDOWN
1418,1785,REACDOWN
1418,1798,REACDOWN
1418,1811,REACDOWN
1418,1824,REACDOWN
1418,1837,REACDOWN
1418,1850,REACDOWN
1418,1863,REACDOWN
1418,1876,REACDOWN
1418,1889,REACDOWN
1418,1902,REACDOWN
1418,1915,REACDOWN
1418,1928,REACDOWN
1418,1941,REACDOWN
1427,1950,REACDOWN
1436,1959,REACDOWN
1445,1968,REACDOWN
1454,1977,REACDOWN
1463,1986,REACDOWN
1472,1995,REACDOWN
1481,2004,REACDOWN
1490,2013,REACDOWN
1499,2022,REACDOWN
1508,2031,REACDOWN
1508,2040,REACDOWN
