X,Y,Nearest Task
1921,1621,ELEC
1921,1609,ELEC
1921,1597,ELEC
1921,1585,ELEC
1921,1572,ELEC
1921,1559,ELEC
1921,1546,ELEC
1921,1534,ELEC
1921,1522,ELEC
1921,1517,ELEC
1909,1517,ELEC
1897,1517,ELEC
1885,1517,ELEC
1872,1517,ELEC
1860,1517,ELEC
1848,1517,ELEC
1836,1517,ELEC
1824,1517,ELEC
1806,1517,ELEC
1794,1517,ELEC
1782,1517,ELEC
1770,1517,ELEC
1758,1517,ELEC
1746,1517,ELEC
1734,1517,ELEC
1722,1517,ELEC
1709,1517,ELEC
1697,1517,ELEC
1685,1517,ELEC
1667,1517,ELEC
1653,1517,ELEC
1641,1517,REACDOWN
1629,1517,REACDOWN
1614,1517,REACDOWN
1598,1517,REACDOWN
1586,1517,REACDOWN
1573,1517,REACDOWN
1558,1517,REACDOWN
1543,1517,REACDOWN
1531,1517,REACDOWN
1512,1517,REACDOWN
1500,1517,REACDOWN
1488,1517,REACDOWN
1475,1517,REACDOWN
1460,1517,REACDOWN
1448,1517,REACDOWN
1436,1517,REACDOWN
1424,1517,REACDOWN
1424,1530,REACDOWN
1424,1543,REACDOWN
1424,1556,REACDOWN
1424,1569,REACDOWN
1424,1582,REACDOWN
1424,1595,REACDOWN
1424,1608,REACDOWN
1424,1627,REACDOWN
1424,1640,REACDOWN
1424,1653,REACDOWN
1424,1669,REACDOWN
1424,1685,REACDOWN
1424,1698,REACDOWN
1424,1711,REACDOWN
1424,1724,REACDOWN
1424,1737,REACDOWN
1424,1750,REACDOWN
1424,1763,REACDOWN
1424,1776,REACDOWN
1424,1789,REACDOWN
1424,1802,REACDOWN
1424,1815,REACDOWN
1424,1828,REACDOWN
1424,1841,REACDOWN
1424,1854,REACDOWN
1424,1867,REACDOWN
1424,1880,REACDOWN
1424,1893,REACDOWN
1424,1906,REACDOWN
1424,1919,REACDOWN
1424,1932,REACDOWN
1424,1945,REACDOWN
1424,1957,REACDOWN
1424,1970,REACDOWN
1424,1983,REACDOWN
1424,1996,REACDOWN
1424,2009,REACDOWN
