X,Y,Nearest Task
1921,1621,ELEC
1921,1607,ELEC
1921,1590,ELEC
1921,1577,ELEC
1921,1565,ELEC
1921,1552,ELEC
1921,1540,ELEC
1921,1528,ELEC
1921,1517,ELEC
1909,1517,ELEC
1885,1517,ELEC
1873,1517,ELEC
1861,1517,ELEC
1849,1517,ELEC
1833,1517,ELEC
1819,1517,ELEC
1807,1517,ELEC
1795,1517,ELEC
1783,1517,ELEC
1771,1517,ELEC
1759,1517,ELEC
1746,1517,ELEC
1734,1517,ELEC
1721,1517,ELEC
1709,1517,ELEC
1697,1517,ELEC
1679,1517,ELEC
1661,1517,ELEC
1648,1517,ELEC
1635,1517,REACDOWN
1618,1517,REACDOWN
1606,1517,REACDOWN
1593,1517,REACDOWN
1581,1517,REACDOWN
1560,1517,REACDOWN
1546,1517,REACDOWN
1534,1517,REACDOWN
1522,1517,REACDOWN
1506,1517,REACDOWN
1492,1517,REACDOWN
1480,1517,REACDOWN
1468,1517,REACDOWN
1456,1517,REACDOWN
1444,1517,REACDOWN
1444,1538,REACDOWN
1444,1563,REACDOWN
1444,1581,REACDOWN
1444,1594,REACDOWN
1444,1607,REACDOWN
1444,1620,REACDOWN
1444,1633,REACDOWN
1444,1651,REACDOWN
1444,1667,REACDOWN
1444,1680,REACDOWN
1444,1693,REACDOWN
1444,1706,REACDOWN
1444,1719,REACDOWN
1444,1732,REACDOWN
1444,1745,REACDOWN
1444,1758,REACDOWN
1444,1771,REACDOWN
1444,1784,REACDOWN
1444,1797,REACDOWN
1444,1810,REACDOWN
1444,1823,REACDOWN
1444,1836,REACDOWN
1444,1849,REACDOWN
1444,1862,REACDOWN
1444,1881,REACDOWN
1444,1894,REACDOWN
1444,1907,REACDOWN
1444,1920,REACDOWN
1444,1933,REACDOWN
1444,1946,REACDOWN
1444,1959,REACDOWN
1444,1972,REACDOWN
1444,1985,REACDOWN
1444,1998,REACDOWN
1444,2011,REACDOWN
1461,2011,REACDOWN
1474,2011,REACDOWN
1487,2011,REACDOWN
1500,2011,REACDOWN
1513,2011,REACDOWN
1526,2011,REACDOWN
1540,2011,REACDOWN
1557,2011,REACDOWN
1570,2011,REACDOWN
1583,2011,REACDOWN
1596,2011,REACDOWN
1596,2024,REACDOWN
1596,2037,REACDOWN
1596,2050,REACDOWN
1596,2063,REACDOWN
1596,2076,REACDOWN
1596,2089,REACDOWN
1596,2109,REACDOWN
1596,2122,REACDOWN
1596,2135,REACDOWN
1596,2148,REACDOWN
1596,2161,REACDOWN
1596,2174,REACDOWN
1596,2187,REACDOWN
1596,2200,REACDOWN
1596,2214,REACDOWN
1596,2227,REACDOWN
1596,2240,REACDOWN
1596,2253,REACDOWN
1596,2266,REACDOWN
1596,2279,REACDOWN
1596,2292,REACDOWN
1596,2305,REACDOWN
1596,2318,REACDOWN
1596,2331,REACDOWN
1596,2344,REACDOWN
1596,2357,REACDOWN
1596,2370,REACDOWN
1596,2383,REACDOWN
1584,2383,REACDOWN
1572,2383,REACDOWN
1559,2383,REACDOWN
1547,2383,REACDOWN
1532,2383,REACDOWN
1520,2383,REACDOWN
1508,2383,REACDOWN
1496,2383,REACDOWN
1484,2383,REACDOWN
1472,2383,REACDOWN
1460,2383,REACDOWN
1448,2383,REACDOWN
1436,2383,REACDOWN
1424,2383,REACDOWN
1412,2383,REACDOWN
1400,2383,REACDOWN
1388,2383,REACDOWN
1376,2383,REACDOWN
1364,2383,REACDOWN
1351,2383,REACDOWN
1339,2383,REACDOWN
1327,2383,REACDOWN
1315,2383,REACDOWN
1303,2383,REACDOWN
1291,2383,REACDOWN
1279,2383,REACDOWN
1279,2396,REACDOWN
1279,2409,REACDOWN
1279,2422,REACDOWN
1279,2440,REACDOWN
