X,Y,Nearest Task
1921,1621,ELEC
1921,1609,ELEC
1921,1596,ELEC
1921,1584,ELEC
1921,1572,ELEC
1921,1559,ELEC
1921,1547,ELEC
1921,1534,ELEC
1921,1522,ELEC
1921,1517,ELEC
1905,1517,ELEC
1890,1517,ELEC
1875,1517,ELEC
1860,1517,ELEC
1845,1517,ELEC
1831,1517,ELEC
1817,1517,ELEC
1803,1517,ELEC
1789,1517,ELEC
1775,1517,ELEC
1761,1517,ELEC
1747,1517,ELEC
1732,1517,ELEC
1718,1517,ELEC
1704,1517,ELEC
1690,1517,ELEC
1678,1517,ELEC
1660,1517,ELEC
1635,1517,REACDOWN
1615,1517,REACDOWN
1601,1517,REACDOWN
1589,1517,REACDOWN
1577,1517,REACDOWN
1565,1517,REACDOWN
1553,1517,REACDOWN
1541,1517,REACDOWN
1529,1517,REACDOWN
1517,1517,REACDOWN
1505,1517,REACDOWN
1493,1517,REACDOWN
1481,1517,REACDOWN
1469,1517,REACDOWN
1469,1505,REACDOWN
1469,1493,REACDOWN
1469,1481,REACDOWN
1469,1469,REACDOWN
1469,1456,REACUP
1469,1443,REACUP
1469,1431,REACUP
1469,1419,REACUP
1469,1406,REACUP
1469,1394,REACUP
1469,1382,REACUP
1469,1370,REACUP
1469,1358,REACUP
1469,1346,REACUP
1469,1334,REACUP
1469,1322,REACUP
1469,1309,REACUP
1469,1297,REACUP
1469,1285,REACUP
1469,1272,REACUP
1469,1260,REACUP
1469,1248,REACUP
1469,1236,REACUP
1469,1223,REACUP
1469,1211,REACUP
1469,1199,REACUP
1469,1187,REACUP
1469,1174,REACUP
1469,1162,REACUP
1469,1150,REACUP
1469,1138,REACUP
1469,1126,REACUP
1469,1114,REACUP
1469,1102,REACUP
1469,1090,REACUP
1469,1078,REACUP
1469,1066,REACUP
1469,1054,REACUP
1469,1042,REACUP
1469,1030,REACUP
1469,1017,REACUP
1469,1005,REACUP
1469,993,REACUP
1469,980,REACUP
1482,980,REACUP
1486,980,REACUP
1486,968,REACUP
1486,956,REACUP
1486,944,REACUP
1486,932,REACUP
1486,920,REACUP
1486,908,REACUP
1499,908,REACUP
1512,908,REACUP
1525,908,REACUP
1540,908,REACUP
1559,908,REACUP
1576,908,REACUP
1589,908,REACUP
1602,908,REACUP
1615,908,REACUP
1628,908,REACUP
1637,908,REACUP
1637,896,REACUP
1637,884,REACUP
1637,872,REACUP
1637,860,REACUP
1637,848,REACUP
1637,836,REACUP
1637,824,REACUP
1637,812,REACUP
1637,800,REACUP
1637,787,REACUP
1637,772,REACUP
1637,762,REACUP
1637,751,REACUP
1637,739,REACUP
1637,727,REACUP
1637,715,REACUP
1637,703,REACUP
1637,691,REACUP
1637,679,REACUP
1637,667,REACUP
1637,654,REACUP
1637,641,REACUP
1637,629,REACUP
1637,617,REACUP
1637,604,REACUP
1637,617,REACUP
1637,630,REACUP
1637,648,REACUP
1637,664,REACUP
1637,677,REACUP
1637,690,REACUP
1650,690,REACUP
1663,690,REACUP
1676,690,REACUP
1689,690,REACUP
1702,690,REACUP
1715,690,REACUP
1729,690,REACUP
1747,690,REACUP
1760,690,REACUP
1773,690,REACUP
1786,690,REACUP
1799,690,REACUP
1812,690,REACUP
1825,690,REACUP
1838,690,REACUP
1851,690,REACUP
1864,690,MED
1878,690,MED
1897,690,MED
1910,690,MED
1923,690,MED
1937,690,MED
1953,690,MED
1966,690,MED
1979,690,MED
1992,690,MED
2005,690,MED
2022,690,MED
2036,690,MED
2049,690,MED
2062,690,MED
2075,690,MED
2088,690,MED
2101,690,MED
2114,690,MED
2127,690,MED
2146,690,MED
2159,690,MED
2172,690,MED
2185,690,MED
2198,690,MED
2211,690,CAFELEF
2224,690,CAFELEF
2238,690,CAFELEF
2255,690,CAFELEF
2268,690,CAFELEF
2281,690,CAFELEF
2294,690,CAFELEF
2307,690,CAFELEF
2320,690,CAFELEF
2320,703,CAFELEF
2320,716,MED
2320,729,MED
2320,742,MED
2320,755,MED
2320,768,MED
2320,781,MED
2320,794,MED
2320,807,MED
2320,820,MED
2320,833,MED
2320,846,MED
2320,859,MED
2320,872,MED
2320,885,MED
2320,898,MED
2320,911,MED
2320,924,MED
2320,949,MED
2320,968,MED
2320,990,MED
2320,1008,MED
2320,1021,MED
2320,1034,MED
2320,1047,MED
2320,1060,MED
2320,1073,MED
2320,1086,MED
2320,1099,MED
2320,1112,MED
2320,1125,MED
2320,1138,MED
2320,1151,MED
2320,1164,MED
2320,1177,MED
2320,1190,MED
2320,1203,MED
2320,1236,MED
2320,1255,MED
2320,1268,MED
2320,1281,MED
2320,1294,MED
2320,1310,MED
2320,1323,MED
2320,1336,MED
2320,1349,MED
2333,1349,MED
2346,1349,MED
2359,1349,MED
2372,1349,MED
2385,1349,MED
2401,1349,MED
2419,1349,MED
2433,1349,MED
2453,1349,MED
2466,1349,MED
2482,1349,MED
2499,1349,MED
2512,1349,MED
2512,1362,MED
2512,1375,MED
2512,1388,MED
2512,1401,MED
2512,1414,MED
2512,1427,MED
2512,1440,MED
2525,1440,MED
2538,1440,MED
2551,1440,MED
2564,1440,MED
2564,1428,MED
2564,1416,MED
2564,1404,MED
