X,Y,Nearest Task
1921,1621,ELEC
1921,1609,ELEC
1921,1597,ELEC
1921,1584,ELEC
1921,1572,ELEC
1921,1560,ELEC
1921,1548,ELEC
1921,1536,ELEC
1921,1523,ELEC
1921,1517,ELEC
1909,1517,ELEC
1896,1517,ELEC
1884,1517,ELEC
1871,1517,ELEC
1859,1517,ELEC
1847,1517,ELEC
1834,1517,ELEC
1822,1517,ELEC
1810,1517,ELEC
1798,1517,ELEC
1785,1517,ELEC
1773,1517,ELEC
1761,1517,ELEC
1749,1517,ELEC
1737,1517,ELEC
1724,1517,ELEC
1712,1517,ELEC
1700,1517,ELEC
1687,1517,ELEC
1675,1517,ELEC
1663,1517,ELEC
1651,1517,ELEC
1639,1517,REACDOWN
1627,1517,REACDOWN
1615,1517,REACDOWN
1603,1517,REACDOWN
1591,1517,REACDOWN
1579,1517,REACDOWN
1567,1517,REACDOWN
1549,1517,REACDOWN
1537,1517,REACDOWN
1525,1517,REACDOWN
1513,1517,REACDOWN
1501,1517,REACDOWN
1488,1517,REACDOWN
1476,1517,REACDOWN
1464,1517,REACDOWN
1464,1505,REACDOWN
1464,1493,REACDOWN
1464,1473,REACDOWN
1464,1461,REACUP
1464,1448,REACUP
1464,1436,REACUP
1464,1423,REACUP
1464,1411,REACUP
1464,1399,REACUP
1464,1386,REACUP
1464,1366,REACUP
1464,1354,REACUP
1464,1342,REACUP
1464,1329,REACUP
1464,1317,REACUP
1464,1296,REACUP
1464,1284,REACUP
1464,1272,REACUP
1464,1259,REACUP
1464,1247,REACUP
1464,1235,REACUP
1464,1223,REACUP
1464,1211,REACUP
1464,1199,REACUP
1464,1187,REACUP
1464,1175,REACUP
1464,1162,REACUP
1464,1150,REACUP
1464,1138,REACUP
1464,1125,REACUP
1464,1113,REACUP
1464,1089,REACUP
1464,1077,REACUP
1464,1065,REACUP
1464,1053,REACUP
1464,1041,REACUP
1464,1029,REACUP
1464,1017,REACUP
1464,1005,REACUP
1464,993,REACUP
1464,981,REACUP
1464,968,REACUP
1464,956,REACUP
1473,947,REACUP
1486,947,REACUP
1499,947,REACUP
