X,Y,Nearest Task
1921,1621,ELEC
1921,1605,ELEC
1921,1593,ELEC
1921,1581,ELEC
1921,1569,ELEC
1921,1557,ELEC
1921,1544,ELEC
1921,1523,ELEC
1921,1517,ELEC
1909,1517,ELEC
1897,1517,ELEC
1885,1517,ELEC
1873,1517,ELEC
1861,1517,ELEC
1849,1517,ELEC
1837,1517,ELEC
1821,1517,ELEC
1809,1517,ELEC
1797,1517,ELEC
1785,1517,ELEC
1773,1517,ELEC
1761,1517,ELEC
1749,1517,ELEC
1737,1517,ELEC
1725,1517,ELEC
1712,1517,ELEC
1700,1517,ELEC
1688,1517,ELEC
1676,1517,ELEC
1663,1517,ELEC
1651,1517,ELEC
1639,1517,REACDOWN
1627,1517,REACDOWN
1615,1517,REACDOWN
1603,1517,REACDOWN
1591,1517,REACDOWN
1579,1517,REACDOWN
1566,1517,REACDOWN
1554,1517,REACDOWN
1542,1517,REACDOWN
1530,1517,REACDOWN
1518,1517,REACDOWN
1506,1517,REACDOWN
1494,1517,REACDOWN
1482,1517,REACDOWN
1470,1517,REACDOWN
1461,1508,REACDOWN
1461,1496,REACDOWN
1461,1484,REACDOWN
1461,1472,REACDOWN
1461,1460,REACUP
1461,1448,REACUP
1461,1436,REACUP
1461,1424,REACUP
1461,1410,REACUP
1461,1395,REACUP
1461,1383,REACUP
1461,1371,REACUP
1461,1358,REACUP
1461,1344,REACUP
1461,1332,REACUP
1461,1320,REACUP
1461,1333,REACUP
1461,1346,REACUP
1461,1359,REACUP
1461,1372,REACUP
1461,1385,REACUP
1461,1398,REACUP
1461,1414,REACUP
1461,1430,REACUP
1461,1443,REACUP
1461,1456,REACUP
1461,1469,REACDOWN
1461,1482,REACDOWN
1461,1495,REACDOWN
1461,1508,REACDOWN
1461,1521,REACDOWN
1461,1534,REACDOWN
1461,1547,REACDOWN
1461,1567,REACDOWN
1461,1584,REACDOWN
1461,1597,REACDOWN
1461,1610,REACDOWN
1461,1623,REACDOWN
1461,1636,REACDOWN
1461,1649,REACDOWN
1461,1662,REACDOWN
1461,1675,REACDOWN
1461,1688,REACDOWN
1461,1701,REACDOWN
1461,1714,REACDOWN
1461,1727,REACDOWN
1461,1740,REACDOWN
1461,1753,REACDOWN
1461,1766,REACDOWN
1461,1779,REACDOWN
1461,1792,REACDOWN
1461,1805,REACDOWN
1461,1818,REACDOWN
1461,1831,REACDOWN
1461,1844,REACDOWN
1461,1857,REACDOWN
1461,1870,REACDOWN
1461,1883,REACDOWN
1461,1896,REACDOWN
1461,1909,REACDOWN
1461,1927,REACDOWN
1461,1944,REACDOWN
1461,1959,REACDOWN
1461,1972,REACDOWN
1461,1985,REACDOWN
1461,1998,REACDOWN
1461,2011,REACDOWN
1461,2030,REACDOWN
1474,2030,REACDOWN
1487,2030,REACDOWN
1500,2030,REACDOWN
1513,2030,REACDOWN
1526,2030,REACDOWN
1539,2030,REACDOWN
1552,2030,REACDOWN
1565,2030,REACDOWN
1565,2043,REACDOWN
1565,2056,REACDOWN
1565,2072,REACDOWN
1578,2072,REACDOWN
1591,2072,REACDOWN
1604,2072,REACDOWN
1604,2085,REACDOWN
1604,2098,REACDOWN
1604,2111,REACDOWN
1604,2126,REACDOWN
1604,2139,REACDOWN
1604,2152,REACDOWN
1604,2165,REACDOWN
1604,2178,REACDOWN
1604,2191,REACDOWN
1604,2204,REACDOWN
1604,2217,REACDOWN
1604,2230,REACDOWN
1604,2243,REACDOWN
1604,2256,REACDOWN
1604,2285,REACDOWN
1624,2285,REACDOWN
1629,2285,REACDOWN
1629,2276,REACDOWN
1629,2267,REACDOWN
1638,2258,REACDOWN
1647,2249,REACDOWN
1660,2249,REACDOWN
1679,2249,REACDOWN
1692,2249,REACDOWN
1705,2249,REACDOWN
1718,2249,REACDOWN
1731,2249,REACDOWN
1744,2249,ELEC
1757,2249,ELEC
1770,2249,ELEC
1783,2249,ELEC
1796,2249,ELEC
1809,2249,ELEC
1822,2249,ELEC
1835,2249,ELEC
1848,2249,ELEC
1861,2249,ELEC
1874,2249,ELEC
1887,2249,ELEC
1900,2249,ELEC
1913,2249,ELEC
1926,2249,ELEC
1939,2249,ELEC
1952,2249,ELEC
1965,2249,ELEC
1978,2249,ELEC
1991,2249,ELEC
2004,2249,ELEC
2013,2258,ELEC
2022,2267,ELEC
2029,2276,ELEC
2029,2285,ELEC
2029,2294,ELEC
2029,2303,ELEC
2029,2312,ELEC
2029,2321,ELEC
2029,2330,ELEC
2029,2339,ELEC
2029,2348,ELEC
2029,2361,ELEC
2029,2374,ELEC
2029,2387,ELEC
2029,2400,ELEC
2029,2413,ELEC
2029,2426,ELEC
2029,2439,ELEC
2029,2452,ELEC
2029,2465,ELEC
2029,2478,ELEC
2029,2491,ELEC
