X,Y,Nearest Task
1921,1621,ELEC
1921,1609,ELEC
1921,1597,ELEC
1921,1583,ELEC
1921,1568,ELEC
1921,1556,ELEC
1921,1544,ELEC
1921,1532,ELEC
1921,1520,ELEC
1921,1517,ELEC
1909,1517,ELEC
1892,1517,ELEC
1880,1517,ELEC
1868,1517,ELEC
1856,1517,ELEC
1844,1517,ELEC
1831,1517,ELEC
1819,1517,ELEC
1807,1517,ELEC
1795,1517,ELEC
1783,1517,ELEC
1770,1517,ELEC
1758,1517,ELEC
1746,1517,ELEC
1733,1517,ELEC
1715,1517,ELEC
1701,1517,ELEC
1689,1517,ELEC
1677,1517,ELEC
1658,1517,ELEC
1641,1517,REACDOWN
1629,1517,REACDOWN
1617,1517,REACDOWN
1605,1517,REACDOWN
1590,1517,REACDOWN
1578,1517,REACDOWN
1566,1517,REACDOWN
1554,1517,REACDOWN
1542,1517,REACDOWN
1530,1517,REACDOWN
1518,1517,REACDOWN
1506,1517,REACDOWN
1494,1517,REACDOWN
1482,1517,REACDOWN
1470,1517,REACDOWN
1458,1517,REACDOWN
1446,1517,REACDOWN
1434,1517,REACDOWN
1422,1517,REACDOWN
1410,1517,REACDOWN
1398,1517,REACDOWN
1386,1517,REACDOWN
1374,1517,REACDOWN
1362,1517,REACDOWN
1350,1517,REACDOWN
1338,1517,REACDOWN
1326,1517,REACDOWN
1314,1517,REACDOWN
1302,1517,REACDOWN
1288,1517,REACDOWN
1272,1517,REACDOWN
1260,1517,REACDOWN
1246,1517,REACDOWN
1233,1517,REACDOWN
1221,1517,REACDOWN
1208,1517,REACDOWN
1196,1517,REACDOWN
1184,1517,REACDOWN
1172,1517,REACDOWN
1160,1517,REACDOWN
1148,1517,REACDOWN
1136,1517,REACDOWN
1123,1517,REACDOWN
1111,1517,REACDOWN
1099,1517,REACDOWN
1087,1517,REACDOWN
1075,1517,REACDOWN
1063,1517,REACDOWN
1051,1517,REACDOWN
1039,1517,REACDOWN
1021,1517,REACDOWN
1009,1517,REACDOWN
997,1517,REACDOWN
985,1517,REACDOWN
973,1517,REACDOWN
961,1517,REACDOWN
949,1517,REACDOWN
936,1517,REACDOWN
924,1517,REACDOWN
912,1517,REACDOWN
900,1517,REACDOWN
888,1517,REACDOWN
876,1517,REACDOWN
864,1517,REACDOWN
