X,Y,Nearest Task
1921,1621,ELEC
1921,1609,ELEC
1921,1597,ELEC
1921,1584,ELEC
1921,1568,ELEC
1921,1556,ELEC
1921,1539,ELEC
1921,1520,ELEC
1921,1517,ELEC
1909,1517,ELEC
1897,1517,ELEC
1885,1517,ELEC
1873,1517,ELEC
1861,1517,ELEC
1849,1517,ELEC
1835,1517,ELEC
1818,1517,ELEC
1806,1517,ELEC
1794,1517,ELEC
1781,1517,ELEC
1768,1517,ELEC
1756,1517,ELEC
1744,1517,ELEC
1731,1517,ELEC
1718,1517,ELEC
1706,1517,ELEC
1694,1517,ELEC
1682,1517,ELEC
1670,1517,ELEC
1658,1517,ELEC
1641,1517,REACDOWN
1629,1517,REACDOWN
1617,1517,REACDOWN
1605,1517,REACDOWN
1593,1517,REACDOWN
1581,1517,REACDOWN
1569,1517,REACDOWN
1557,1517,REACDOWN
1545,1517,REACDOWN
1532,1517,REACDOWN
1519,1517,REACDOWN
1507,1517,REACDOWN
1494,1517,REACDOWN
1477,1517,REACDOWN
1460,1517,REACDOWN
1443,1534,REACDOWN
1432,1545,REACDOWN
1423,1554,REACDOWN
1423,1569,REACDOWN
1423,1591,REACDOWN
1423,1606,REACDOWN
1423,1619,REACDOWN
1423,1632,REACDOWN
1423,1645,REACDOWN
1423,1658,REACDOWN
1423,1671,REACDOWN
1423,1684,REACDOWN
1423,1697,REACDOWN
1423,1710,REACDOWN
1423,1723,REACDOWN
1423,1736,REACDOWN
1423,1749,REACDOWN
1423,1762,REACDOWN
1423,1775,REACDOWN
1423,1788,REACDOWN
1423,1801,REACDOWN
1423,1814,REACDOWN
1423,1827,REACDOWN
1423,1840,REACDOWN
1423,1853,REACDOWN
1423,1866,REACDOWN
1423,1879,REACDOWN
1423,1892,REACDOWN
1423,1905,REACDOWN
1423,1918,REACDOWN
1423,1931,REACDOWN
1423,1944,REACDOWN
1423,1957,REACDOWN
1423,1970,REACDOWN
1423,1983,REACDOWN
1437,1997,REACDOWN
1454,2014,REACDOWN
1476,2014,REACDOWN
1492,2014,REACDOWN
1505,2014,REACDOWN
