X,Y,Nearest Task
1921,1621,ELEC
1921,1608,ELEC
1921,1596,ELEC
1921,1584,ELEC
1921,1572,ELEC
1921,1560,ELEC
1921,1548,ELEC
1921,1536,ELEC
1921,1520,ELEC
1921,1517,ELEC
1908,1517,ELEC
1896,1517,ELEC
1884,1517,ELEC
1872,1517,ELEC
1860,1517,ELEC
1848,1517,ELEC
1836,1517,ELEC
1824,1517,ELEC
1812,1517,ELEC
1800,1517,ELEC
1788,1517,ELEC
1776,1517,ELEC
1764,1517,ELEC
1749,1517,ELEC
1737,1517,ELEC
1719,1517,ELEC
1707,1517,ELEC
1695,1517,ELEC
1682,1517,ELEC
1670,1517,ELEC
1657,1517,ELEC
1645,1517,ELEC
1632,1517,REACDOWN
1620,1517,REACDOWN
1606,1517,REACDOWN
1589,1517,REACDOWN
1577,1517,REACDOWN
1565,1517,REACDOWN
1553,1517,REACDOWN
1540,1517,REACDOWN
1528,1517,REACDOWN
1516,1517,REACDOWN
1499,1517,REACDOWN
1487,1517,REACDOWN
1475,1517,REACDOWN
1463,1517,REACDOWN
1450,1517,REACDOWN
1450,1504,REACDOWN
1450,1492,REACDOWN
1450,1479,REACDOWN
1450,1467,REACUP
1450,1455,REACUP
1450,1443,REACUP
1450,1431,REACUP
1450,1419,REACUP
1450,1407,REACUP
1450,1394,REACUP
1450,1382,REACUP
1450,1370,REACUP
1450,1357,REACUP
1450,1344,REACUP
1450,1332,REACUP
1450,1319,REACUP
1450,1306,REACUP
1450,1293,REACUP
1450,1281,REACUP
1450,1268,REACUP
1450,1255,REACUP
1450,1242,REACUP
1450,1230,REACUP
1450,1217,REACUP
1450,1204,REACUP
1450,1191,REACUP
1450,1179,REACUP
1450,1167,REACUP
1450,1154,REACUP
1450,1142,REACUP
1450,1129,REACUP
1450,1117,REACUP
1450,1104,REACUP
1450,1092,REACUP
1450,1079,REACUP
1450,1067,REACUP
1450,1055,REACUP
1450,1043,REACUP
1450,1031,REACUP
1450,1019,REACUP
1450,1007,REACUP
1450,995,REACUP
1450,983,REACUP
1450,970,REACUP
1450,958,REACUP
1459,949,REACUP
1468,940,REACUP
1477,931,REACUP
1490,931,REACUP
1499,922,REACUP
1508,913,REACUP
1517,904,REACUP
1526,895,REACUP
1535,886,REACUP
1535,877,REACUP
1544,877,REACUP
1554,867,REACUP
1566,855,REACUP
1575,846,REACUP
1584,837,REACUP
1584,822,REACUP
1584,807,REACUP
1584,794,REACUP
1584,782,REACUP
1584,770,REACUP
1584,758,REACUP
1584,746,REACUP
1584,734,REACUP
1584,716,REACUP
1584,703,REACUP
1584,691,REACUP
1584,679,REACUP
1584,667,REACUP
1584,655,REACUP
1584,643,REACUP
1584,630,REACUP
1584,618,REACUP
1584,605,REACUP
1584,593,REACUP
1584,581,REACUP
1584,569,REACUP
1584,555,REACUP
1572,543,REACUP
1563,534,REACUP
1554,525,REACUP
1545,516,REACUP
1536,507,REACUP
1527,498,REACUP
1518,489,REACUP
1509,480,REACUP
1500,471,REACUP
1491,467,REACUP
1482,467,REACUP
1473,467,REACUP
1464,467,REACUP
1455,467,REACUP
1446,467,REACUP
1437,467,REACUP
1428,467,REACUP
1419,467,REACUP
1410,467,REACUP
1401,467,REACUP
1392,467,REACUP
1383,467,REACUP
1373,467,REACUP
1361,467,REACUP
1352,467,REACUP
1343,467,REACUP
1331,467,REACUP
1319,467,REACUP
1307,467,REACUP
1294,467,REACUP
1285,467,REACUP
1276,467,REACUP
1264,467,REACUP
1264,480,REACUP
1264,493,REACUP
1264,506,REACUP
1264,519,REACUP
1264,532,REACUP
1264,545,REACUP
1277,545,REACUP
1290,545,REACUP
1303,545,REACUP
1303,533,REACUP
1303,521,REACUP
1303,509,REACUP
1303,497,REACUP
