X,Y,Nearest Task
1921,1621,ELEC
1921,1609,ELEC
1921,1597,ELEC
1921,1585,ELEC
1921,1573,ELEC
1921,1561,ELEC
1921,1548,ELEC
1921,1529,ELEC
1921,1517,ELEC
1909,1517,ELEC
1896,1517,ELEC
1884,1517,ELEC
1872,1517,ELEC
1860,1517,ELEC
1848,1517,ELEC
1836,1517,ELEC
1824,1517,ELEC
1812,1517,ELEC
1800,1517,ELEC
1788,1517,ELEC
1776,1517,ELEC
1764,1517,ELEC
1752,1517,ELEC
1740,1517,ELEC
1725,1517,ELEC
1713,1517,ELEC
1701,1517,ELEC
1689,1517,ELEC
1677,1517,ELEC
1664,1517,ELEC
1652,1517,ELEC
1640,1517,REACDOWN
1628,1517,REACDOWN
1616,1517,REACDOWN
1604,1517,REACDOWN
1591,1517,REACDOWN
1578,1517,REACDOWN
1566,1517,REACDOWN
1553,1517,REACDOWN
1540,1517,REACDOWN
1528,1517,REACDOWN
1516,1517,REACDOWN
1503,1517,REACDOWN
1487,1517,REACDOWN
1475,1517,REACDOWN
1463,1517,REACDOWN
1451,1517,REACDOWN
1442,1508,REACDOWN
1433,1499,REACDOWN
1433,1487,REACDOWN
1433,1475,REACDOWN
1433,1463,REACUP
1433,1451,REACUP
1433,1439,REACUP
1433,1427,REACUP
1433,1415,REACUP
1433,1403,REACUP
1433,1391,REACUP
1433,1379,REACUP
1433,1367,REACUP
1433,1355,REACUP
1433,1343,REACUP
1433,1330,REACUP
1433,1303,REACUP
1433,1291,REACUP
1433,1279,REACUP
1433,1267,REACUP
1433,1254,REACUP
1433,1241,REACUP
1433,1229,REACUP
1433,1217,REACUP
1433,1205,REACUP
1433,1193,REACUP
1433,1181,REACUP
1433,1169,REACUP
1433,1156,REACUP
1433,1144,REACUP
1433,1132,REACUP
1433,1120,REACUP
1433,1108,REACUP
1433,1095,REACUP
1433,1082,REACUP
1433,1070,REACUP
1433,1058,REACUP
1433,1046,REACUP
1433,1033,REACUP
1433,1021,REACUP
1433,1008,REACUP
1433,996,REACUP
1433,983,REACUP
1433,971,REACUP
1433,959,REACUP
