X,Y,Nearest Task
2701,1826,ELEC
2688,1826,ELEC
2675,1826,ELEC
2663,1826,ELEC
2650,1826,ELEC
2631,1826,ELEC
2618,1826,ELEC
2605,1826,ELEC
2592,1826,ELEC
2579,1826,ELEC
2567,1826,ELEC
2567,1839,ELEC
2567,1852,ELEC
2567,1865,ELEC
2567,1878,ELEC
2567,1891,ELEC
2567,1903,ELEC
2567,1916,ELEC
2567,1929,ELEC
2567,1941,ELEC
2567,1954,ELEC
2567,1967,ELEC
2567,1980,ELEC
2567,1993,ELEC
2567,2006,ELEC
2567,2019,ELEC
2567,2031,ELEC
2567,2044,ELEC
2567,2057,ELEC
2567,2070,ELEC
2567,2083,ELEC
2567,2096,ELEC
2567,2109,ELEC
2567,2121,ELEC
2567,2134,ELEC
2567,2147,ELEC
2567,2160,ELEC
2567,2172,ELEC
2567,2185,ELEC
2567,2192,ELEC
2554,2192,ELEC
2541,2192,ELEC
2529,2192,ELEC
2516,2192,ELEC
2503,2192,ELEC
2490,2192,ELEC
2477,2192,ELEC
2464,2192,ELEC
2451,2192,ELEC
2438,2192,ELEC
2426,2192,ELEC
2413,2192,ELEC
2400,2192,ELEC
2387,2192,ELEC
2374,2192,ELEC
2361,2192,ELEC
2348,2192,ELEC
2335,2192,ELEC
2323,2192,ELEC
2310,2192,ELEC
2297,2192,ELEC
2284,2192,ELEC
2271,2192,ELEC
2258,2192,ELEC
2258,2205,ELEC
2258,2218,ELEC
2258,2231,ELEC
2258,2244,ELEC
2258,2257,ELEC
2258,2270,ELEC
2258,2282,ELEC
2258,2295,ELEC
2258,2307,ELEC
2258,2321,ELEC
2258,2333,ELEC
2258,2346,ELEC
2258,2359,ELEC
2258,2372,ELEC
2258,2385,ELEC
2258,2398,ELEC
2258,2410,ELEC
2258,2423,ELEC
2258,2436,ELEC
2258,2448,ELEC
2258,2461,ELEC
2258,2474,ELEC
2258,2487,ELEC
2258,2500,ELEC
2258,2513,ELEC
2258,2526,ELEC
2258,2539,ELEC
2258,2552,ELEC
2258,2564,ELEC
2258,2577,ELEC
2271,2577,ELEC
2283,2577,ELEC
2296,2577,ELEC
2309,2577,ELEC
2322,2577,ELEC
2335,2577,ELEC
2347,2577,ELEC
2360,2577,ELEC
2373,2577,ELEC
2386,2577,ELEC
2399,2577,ELEC
2412,2577,ELEC
2425,2577,ELEC
2437,2577,ELEC
2450,2577,ELEC
2463,2577,ELEC
2476,2577,ELEC
2488,2577,ELEC
2501,2577,ELEC
2514,2577,ELEC
2527,2577,ELEC
2540,2577,ELEC
2553,2577,STOR
2566,2577,STOR
2578,2577,STOR
2591,2577,STOR
2605,2577,STOR
2617,2577,STOR
2630,2577,STOR
2643,2577,STOR
2655,2577,STOR
2668,2577,STOR
2680,2577,STOR
2693,2577,STOR
2706,2577,STOR
2718,2577,STOR
2731,2577,STOR
2744,2577,STOR
