X,Y,Nearest Task
2701,1826,ELEC
2688,1826,ELEC
2676,1826,ELEC
2663,1826,ELEC
2650,1826,ELEC
2637,1826,ELEC
2624,1826,ELEC
2611,1826,ELEC
2598,1826,ELEC
2586,1826,ELEC
2573,1826,ELEC
2560,1826,ELEC
2547,1826,ELEC
2547,1839,ELEC
2547,1852,ELEC
2547,1864,ELEC
2547,1877,ELEC
2547,1891,ELEC
2547,1904,ELEC
2547,1916,ELEC
2547,1929,ELEC
2547,1941,ELEC
2547,1954,ELEC
2547,1967,ELEC
2547,1980,ELEC
2547,1993,ELEC
2547,2005,ELEC
2547,2018,ELEC
2547,2031,ELEC
2547,2044,ELEC
2547,2056,ELEC
2547,2069,ELEC
2547,2082,ELEC
2547,2095,ELEC
2547,2107,ELEC
2547,2120,ELEC
2547,2133,ELEC
2547,2146,ELEC
2547,2158,ELEC
2547,2171,ELEC
2547,2184,ELEC
2547,2197,ELEC
2547,2210,ELEC
2547,2223,ELEC
2538,2224,ELEC
2525,2224,ELEC
2513,2224,ELEC
2500,2224,ELEC
2486,2224,ELEC
2473,2224,ELEC
2460,2224,ELEC
2447,2224,ELEC
2434,2224,ELEC
2421,2224,ELEC
2409,2224,ELEC
2396,2224,ELEC
2383,2224,ELEC
2370,2224,ELEC
2357,2224,ELEC
2344,2224,ELEC
2331,2224,ELEC
2318,2224,ELEC
2305,2224,ELEC
2292,2224,ELEC
2280,2224,ELEC
2267,2224,ELEC
2254,2224,ELEC
2241,2224,ELEC
2228,2224,ELEC
2228,2237,ELEC
2228,2250,ELEC
2228,2263,ELEC
2228,2276,ELEC
2228,2288,ELEC
2228,2301,ELEC
2228,2313,ELEC
2228,2326,ELEC
2228,2338,ELEC
2228,2351,ELEC
2228,2364,ELEC
2228,2376,ELEC
2228,2389,ELEC
2228,2401,ELEC
2228,2414,ELEC
2228,2427,ELEC
2228,2439,ELEC
2228,2452,ELEC
2228,2465,ELEC
2228,2477,ELEC
2228,2490,ELEC
2228,2503,ELEC
2228,2516,ELEC
2228,2528,ELEC
2228,2541,ELEC
2228,2554,ELEC
2238,2563,ELEC
2247,2572,ELEC
2260,2572,ELEC
2273,2572,ELEC
2286,2572,ELEC
2298,2572,ELEC
2311,2572,ELEC
2324,2572,ELEC
2337,2572,ELEC
2350,2572,ELEC
2363,2572,ELEC
2376,2572,ELEC
2388,2572,ELEC
2401,2572,ELEC
2414,2572,ELEC
2427,2572,ELEC
2439,2572,ELEC
2452,2572,ELEC
2465,2572,ELEC
2478,2572,ELEC
2491,2572,ELEC
2504,2572,ELEC
2517,2572,ELEC
2529,2572,ELEC
2542,2572,ELEC
2554,2572,STOR
2567,2572,STOR
2580,2572,STOR
2593,2572,STOR
2606,2572,STOR
2619,2572,STOR
2631,2572,STOR
2644,2572,STOR
2657,2572,STOR
2670,2572,STOR
2683,2572,STOR
2696,2572,STOR
