X,Y,Nearest Task
2701,1826,ELEC
2688,1826,ELEC
2675,1826,ELEC
2662,1826,ELEC
2649,1826,ELEC
2637,1826,ELEC
2624,1826,ELEC
2611,1826,ELEC
2598,1826,ELEC
2577,1826,ELEC
2563,1826,ELEC
2550,1826,ELEC
2537,1826,ELEC
2525,1826,ELEC
2512,1826,ELEC
2499,1826,ELEC
2486,1826,ELEC
2486,1839,ELEC
2486,1852,ELEC
2486,1864,ELEC
2499,1864,ELEC
2512,1864,ELEC
2524,1864,ELEC
2537,1864,ELEC
2550,1864,ELEC
2563,1864,ELEC
2576,1864,ELEC
2590,1864,ELEC
2590,1877,ELEC
2590,1890,ELEC
2590,1902,ELEC
2590,1915,ELEC
2590,1928,ELEC
2590,1940,ELEC
2590,1953,ELEC
2590,1975,ELEC
2590,1988,ELEC
2590,2001,ELEC
2590,2014,ELEC
2590,2027,ELEC
2590,2040,ELEC
2590,2053,ELEC
2590,2066,ELEC
2590,2079,ELEC
2590,2092,ELEC
2590,2106,ELEC
2590,2119,ELEC
2590,2132,ELEC
2590,2145,ELEC
2590,2157,ELEC
2590,2170,ELEC
2577,2170,ELEC
2565,2170,ELEC
2552,2170,ELEC
2539,2170,ELEC
2527,2170,ELEC
2514,2170,ELEC
2501,2170,ELEC
2489,2170,ELEC
2476,2170,ELEC
2463,2170,ELEC
2450,2170,ELEC
2437,2170,ELEC
2424,2170,ELEC
2412,2170,ELEC
2399,2170,ELEC
2387,2170,ELEC
2374,2170,ELEC
2361,2170,ELEC
2361,2183,ELEC
2361,2195,ELEC
2361,2208,ELEC
2361,2221,ELEC
2361,2233,ELEC
2361,2246,ELEC
2361,2259,ELEC
2361,2265,ELEC
2348,2265,ELEC
2335,2265,ELEC
2322,2265,ELEC
2309,2265,ELEC
2296,2265,ELEC
2284,2265,ELEC
2271,2265,ELEC
2258,2265,ELEC
2245,2265,ELEC
2232,2265,ELEC
2225,2265,ELEC
2225,2274,ELEC
2225,2287,ELEC
2225,2299,ELEC
2225,2312,ELEC
2225,2325,ELEC
2225,2338,ELEC
2225,2351,ELEC
2225,2363,ELEC
2225,2376,ELEC
2225,2389,ELEC
2225,2402,ELEC
2225,2414,ELEC
2225,2427,ELEC
2225,2440,ELEC
2225,2453,ELEC
2225,2465,ELEC
2225,2478,ELEC
2225,2491,ELEC
2225,2504,ELEC
2225,2517,ELEC
2225,2529,ELEC
2225,2542,ELEC
2225,2555,ELEC
2225,2568,ELEC
2225,2581,ELEC
2225,2593,ELEC
2202,2593,ELEC
2190,2593,ELEC
2177,2593,ELEC
2164,2593,ELEC
2151,2593,ELEC
2139,2593,ELEC
2126,2593,ELEC
2113,2593,ELEC
2100,2593,ELEC
2087,2593,ELEC
2075,2593,ELEC
2061,2593,ELEC
2049,2593,ELEC
2036,2593,ELEC
2023,2593,ELEC
2010,2593,ELEC
1997,2593,ELEC
