X,Y,Nearest Task
2701,1826,ELEC
2688,1826,ELEC
2675,1826,ELEC
2662,1826,ELEC
2649,1826,ELEC
2637,1826,ELEC
2624,1826,ELEC
2611,1826,ELEC
2598,1826,ELEC
2585,1826,ELEC
2572,1826,ELEC
2572,1839,ELEC
2572,1852,ELEC
2572,1865,ELEC
2572,1877,ELEC
2572,1890,ELEC
2572,1903,ELEC
2572,1916,ELEC
2572,1928,ELEC
2572,1941,ELEC
2572,1954,ELEC
2572,1967,ELEC
2572,1980,ELEC
2572,1992,ELEC
2572,2005,ELEC
2572,2018,ELEC
2572,2031,ELEC
2572,2044,ELEC
2572,2057,ELEC
2572,2070,ELEC
2572,2083,ELEC
2572,2095,ELEC
2572,2108,ELEC
2559,2108,ELEC
2546,2108,ELEC
2533,2108,ELEC
2520,2108,ELEC
2508,2108,ELEC
2495,2108,ELEC
2482,2108,ELEC
2469,2108,ELEC
2456,2108,ELEC
2444,2108,ELEC
2431,2108,ELEC
2419,2108,ELEC
2406,2108,ELEC
2394,2108,ELEC
2381,2108,ELEC
2368,2108,ELEC
2355,2108,ELEC
2346,2117,ELEC
2346,2130,ELEC
2346,2143,ELEC
2346,2155,ELEC
2346,2168,ELEC
2346,2181,ELEC
2346,2193,ELEC
2346,2206,ELEC
2346,2218,ELEC
2346,2231,ELEC
2346,2244,ELEC
2346,2257,ELEC
2346,2265,ELEC
2333,2265,ELEC
2320,2265,ELEC
2307,2265,ELEC
2294,2265,ELEC
2282,2265,ELEC
2269,2265,ELEC
2256,2265,ELEC
2244,2265,ELEC
2231,2265,ELEC
2225,2265,ELEC
2225,2278,ELEC
2225,2292,ELEC
2225,2305,ELEC
2225,2318,ELEC
2225,2331,ELEC
2225,2344,ELEC
2225,2356,ELEC
2225,2369,ELEC
2225,2381,ELEC
2225,2394,ELEC
2225,2407,ELEC
2225,2420,ELEC
2225,2433,ELEC
2225,2445,ELEC
2225,2458,ELEC
2225,2471,ELEC
2225,2483,ELEC
2225,2496,ELEC
2225,2508,ELEC
2225,2522,ELEC
2225,2535,ELEC
2225,2548,ELEC
2225,2561,ELEC
2234,2569,ELEC
2243,2578,ELEC
2252,2587,ELEC
2264,2587,ELEC
2277,2587,ELEC
2290,2587,ELEC
2303,2587,ELEC
2316,2587,ELEC
2329,2587,ELEC
2342,2587,ELEC
2355,2587,ELEC
2367,2587,ELEC
2380,2587,ELEC
2393,2587,ELEC
2406,2587,ELEC
2419,2587,ELEC
2431,2587,ELEC
2444,2587,ELEC
2456,2587,ELEC
2469,2587,ELEC
2484,2587,ELEC
2497,2587,ELEC
2511,2587,ELEC
2523,2587,ELEC
2536,2587,STOR
2549,2587,STOR
2562,2587,STOR
2575,2587,STOR
2588,2587,STOR
2600,2587,STOR
2613,2587,STOR
2626,2587,STOR
2639,2587,STOR
2653,2587,STOR
2666,2587,STOR
2679,2587,STOR
2692,2587,STOR
2705,2587,STOR
2718,2587,STOR
2731,2587,STOR
2744,2587,STOR
2756,2587,STOR
2769,2587,STOR
2781,2587,STOR
2794,2587,STOR
2806,2587,STOR
2819,2587,STOR
2832,2587,STOR
2844,2587,STOR
2857,2587,STOR
2869,2587,STOR
2882,2587,STOR
2895,2587,STOR
2907,2587,STOR
2920,2587,STOR
2933,2587,STOR
2946,2587,STOR
2958,2587,STOR
2971,2587,STOR
2984,2587,STOR
2996,2587,STOR
3009,2587,STOR
3022,2587,STOR
3035,2587,STOR
3048,2587,STOR
3061,2587,STOR
3070,2596,STOR
3079,2605,STOR
3079,2618,STOR
3079,2631,STOR
3079,2644,STOR
3079,2657,STOR
3079,2670,STOR
3079,2682,STOR
3079,2695,STOR
3079,2708,STOR
3079,2721,STOR
3079,2733,STOR
3079,2746,STOR
3079,2759,STOR
3079,2771,STOR
3079,2784,STOR
3079,2797,STOR
3079,2810,STOR
3079,2822,STOR
3079,2835,STOR
3087,2843,STOR
3100,2843,STOR
3112,2843,STOR
3125,2843,STOR
3138,2843,STOR
3151,2843,STOR
3164,2843,STOR
3177,2843,STOR
3190,2843,STOR
3203,2843,STOR
3216,2843,STOR
3229,2843,STOR
3242,2843,STOR
3254,2843,STOR
3267,2843,STOR
3280,2843,STOR
3293,2843,STOR
3305,2843,STOR
3318,2843,STOR
3331,2843,STOR
3344,2843,STOR
3356,2843,STOR
3369,2843,STOR
3381,2843,STOR
3394,2843,STOR
3407,2843,STOR
3419,2843,STOR
3419,2831,STOR
3419,2817,STOR
3419,2804,STOR
3419,2791,STOR
3419,2778,STOR
3419,2791,STOR
3419,2804,STOR
3419,2816,STOR
3419,2829,STOR
3419,2842,STOR
3419,2855,STOR
3419,2868,STOR
3419,2870,STOR
