X,Y,Nearest Task
2701,1826,ELEC
2688,1826,ELEC
2676,1826,ELEC
2663,1826,ELEC
2650,1826,ELEC
2638,1826,ELEC
2625,1826,ELEC
2612,1826,ELEC
2600,1826,ELEC
2587,1826,ELEC
2575,1826,ELEC
2562,1826,ELEC
2549,1826,ELEC
2549,1839,ELEC
2549,1851,ELEC
2549,1864,ELEC
2549,1877,ELEC
2549,1890,ELEC
2549,1903,ELEC
2549,1915,ELEC
2549,1928,ELEC
2549,1941,ELEC
2549,1953,ELEC
2549,1966,ELEC
2549,1978,ELEC
2549,1991,ELEC
2549,2003,ELEC
2549,2016,ELEC
2549,2029,ELEC
2549,2041,ELEC
2549,2054,ELEC
2549,2067,ELEC
2549,2079,ELEC
2549,2092,ELEC
2549,2105,ELEC
2549,2117,ELEC
2549,2130,ELEC
2549,2142,ELEC
2549,2155,ELEC
2549,2167,ELEC
2536,2167,ELEC
2523,2167,ELEC
2510,2167,ELEC
2498,2167,ELEC
2485,2167,ELEC
2473,2167,ELEC
2460,2167,ELEC
2447,2167,ELEC
2435,2167,ELEC
2422,2167,ELEC
2409,2167,ELEC
2396,2167,ELEC
2384,2167,ELEC
2371,2167,ELEC
2358,2167,ELEC
2345,2167,ELEC
2333,2167,ELEC
2320,2167,ELEC
2308,2167,ELEC
2298,2177,ELEC
2298,2190,ELEC
2298,2203,ELEC
2298,2216,ELEC
2298,2229,ELEC
2298,2241,ELEC
2298,2254,ELEC
2298,2267,ELEC
2298,2279,ELEC
2298,2293,ELEC
2298,2306,ELEC
2298,2319,ELEC
2298,2331,ELEC
2298,2344,ELEC
2298,2356,ELEC
2298,2369,ELEC
2298,2381,ELEC
2298,2394,ELEC
2298,2407,ELEC
2298,2420,ELEC
2298,2432,ELEC
2298,2445,ELEC
2298,2458,ELEC
2298,2471,ELEC
2298,2483,ELEC
2298,2496,ELEC
2298,2509,ELEC
2285,2509,ELEC
2272,2509,ELEC
2260,2509,ELEC
2247,2509,ELEC
2234,2509,ELEC
2221,2509,ELEC
2209,2509,ELEC
2196,2509,ELEC
2183,2509,ELEC
2170,2509,ELEC
2157,2509,ELEC
2144,2509,ELEC
2131,2509,ELEC
2118,2509,ELEC
2106,2509,ELEC
2093,2509,ELEC
2081,2509,ELEC
2068,2509,ELEC
2056,2509,ELEC
2043,2509,ELEC
2030,2509,ELEC
2017,2509,ELEC
2004,2509,ELEC
1991,2509,ELEC
1979,2509,ELEC
1966,2509,ELEC
1953,2509,ELEC
1941,2509,ELEC
1928,2509,ELEC
1912,2494,ELEC
1911,2485,ELEC
1911,2476,ELEC
1911,2466,ELEC
1911,2458,ELEC
1911,2449,ELEC
1911,2440,ELEC
1911,2431,ELEC
1911,2422,ELEC
1911,2413,ELEC
1911,2403,ELEC
1911,2395,ELEC
1911,2386,ELEC
1911,2377,ELEC
1911,2368,ELEC
1911,2359,ELEC
1911,2350,ELEC
1911,2341,ELEC
1911,2332,ELEC
1911,2323,ELEC
1911,2314,ELEC
1911,2305,ELEC
1911,2296,ELEC
1911,2287,ELEC
1911,2278,ELEC
1911,2269,ELEC
1898,2269,ELEC
1885,2269,ELEC
1872,2269,ELEC
1860,2269,ELEC
1847,2269,ELEC
1835,2269,ELEC
1822,2269,ELEC
1809,2269,ELEC
1796,2269,ELEC
1784,2269,ELEC
1771,2269,ELEC
1758,2269,ELEC
1745,2269,ELEC
1732,2269,REACDOWN
1719,2269,REACDOWN
1707,2269,REACDOWN
1694,2269,REACDOWN
1681,2269,REACDOWN
1668,2269,REACDOWN
1655,2269,REACDOWN
1642,2269,REACDOWN
1630,2269,REACDOWN
1617,2269,REACDOWN
1604,2269,REACDOWN
1591,2269,REACDOWN
1578,2269,REACDOWN
1572,2269,REACDOWN
1572,2278,REACDOWN
1572,2288,REACDOWN
1572,2301,REACDOWN
1572,2313,REACDOWN
1572,2326,REACDOWN
1572,2339,REACDOWN
1572,2351,REACDOWN
1572,2364,REACDOWN
1572,2376,REACDOWN
1572,2389,REACDOWN
1572,2402,REACDOWN
1572,2414,REACDOWN
1572,2427,REACDOWN
1572,2440,REACDOWN
1572,2452,REACDOWN
1563,2461,REACDOWN
1551,2461,REACDOWN
1538,2461,REACDOWN
1525,2461,REACDOWN
1512,2461,REACDOWN
1499,2461,REACDOWN
1486,2461,REACDOWN
1473,2461,REACDOWN
1460,2461,REACDOWN
1448,2461,REACDOWN
1435,2461,REACDOWN
1422,2461,REACDOWN
1409,2461,REACDOWN
1396,2461,REACDOWN
1384,2461,REACDOWN
1371,2461,REACDOWN
1359,2461,REACDOWN
1346,2461,REACDOWN
1333,2461,REACDOWN
1321,2461,REACDOWN
1308,2461,REACDOWN
1296,2461,REACDOWN
