X,Y,Nearest Task
2701,1826,ELEC
2688,1826,ELEC
2675,1826,ELEC
2662,1826,ELEC
2649,1826,ELEC
2636,1826,ELEC
2624,1826,ELEC
2611,1826,ELEC
2598,1826,ELEC
2585,1826,ELEC
2572,1826,ELEC
2572,1839,ELEC
2572,1852,ELEC
2572,1864,ELEC
2572,1877,ELEC
2572,1890,ELEC
2572,1903,ELEC
2572,1916,ELEC
2572,1939,ELEC
2572,1955,ELEC
2572,1968,ELEC
2572,1980,ELEC
2572,1993,ELEC
2572,2005,ELEC
2572,2018,ELEC
2572,2031,ELEC
2572,2044,ELEC
2572,2057,ELEC
2572,2070,ELEC
2572,2082,ELEC
2572,2095,ELEC
2572,2108,ELEC
2572,2121,ELEC
2572,2134,ELEC
2572,2146,ELEC
2572,2159,ELEC
2572,2171,ELEC
2572,2184,ELEC
2560,2184,ELEC
2547,2184,ELEC
2535,2184,ELEC
2522,2184,ELEC
2509,2184,ELEC
2497,2184,ELEC
2483,2184,ELEC
2470,2184,ELEC
2458,2184,ELEC
2445,2184,ELEC
2432,2184,ELEC
2419,2184,ELEC
2406,2184,ELEC
2393,2184,ELEC
2380,2184,ELEC
2367,2184,ELEC
2354,2184,ELEC
2341,2184,ELEC
2328,2184,ELEC
2315,2184,ELEC
2302,2184,ELEC
2289,2184,ELEC
2289,2196,ELEC
2289,2209,ELEC
2289,2222,ELEC
2289,2235,ELEC
2289,2248,ELEC
2289,2260,ELEC
2289,2273,ELEC
2289,2286,ELEC
2289,2299,ELEC
2289,2312,ELEC
2289,2325,ELEC
2289,2338,ELEC
2289,2351,ELEC
2289,2365,ELEC
2289,2378,ELEC
2289,2391,ELEC
2289,2404,ELEC
2289,2416,ELEC
2289,2429,ELEC
2289,2442,ELEC
2289,2454,ELEC
2289,2467,ELEC
2289,2479,ELEC
2289,2492,ELEC
2276,2492,ELEC
2263,2492,ELEC
2250,2492,ELEC
2238,2492,ELEC
2225,2492,ELEC
2212,2492,ELEC
2199,2492,ELEC
2186,2492,ELEC
2174,2492,ELEC
2161,2492,ELEC
2149,2492,ELEC
2136,2492,ELEC
2123,2492,ELEC
2110,2492,ELEC
2086,2492,ELEC
2073,2492,ELEC
2060,2492,ELEC
2048,2492,ELEC
2035,2492,ELEC
2022,2492,ELEC
2010,2492,ELEC
1997,2492,ELEC
1984,2492,ELEC
1972,2492,ELEC
1959,2492,ELEC
1945,2492,ELEC
1932,2492,ELEC
1932,2479,ELEC
1932,2467,ELEC
1932,2454,ELEC
1932,2441,ELEC
1932,2428,ELEC
1932,2415,ELEC
1932,2402,ELEC
1932,2389,ELEC
1932,2377,ELEC
1932,2364,ELEC
1932,2351,ELEC
1932,2338,ELEC
1932,2325,ELEC
1932,2313,ELEC
1932,2300,ELEC
1932,2287,ELEC
1932,2275,ELEC
1932,2262,ELEC
1932,2249,ELEC
1932,2236,ELEC
