X,Y,Nearest Task
2701,1826,ELEC
2688,1826,ELEC
2675,1826,ELEC
2663,1826,ELEC
2650,1826,ELEC
2637,1826,ELEC
2624,1826,ELEC
2612,1826,ELEC
2599,1826,ELEC
2587,1826,ELEC
2574,1826,ELEC
2562,1826,ELEC
2562,1839,ELEC
2562,1851,ELEC
2562,1864,ELEC
2562,1876,ELEC
2562,1889,ELEC
2562,1902,ELEC
2562,1914,ELEC
2562,1927,ELEC
2562,1940,ELEC
2562,1953,ELEC
2562,1966,ELEC
2562,1979,ELEC
2562,1992,ELEC
2562,2005,ELEC
2562,2017,ELEC
2562,2030,ELEC
2562,2042,ELEC
2562,2055,ELEC
2562,2068,ELEC
2562,2081,ELEC
2562,2093,ELEC
2562,2114,ELEC
2562,2127,ELEC
2562,2139,ELEC
2562,2152,ELEC
2562,2165,ELEC
2562,2178,ELEC
2562,2191,ELEC
2549,2191,ELEC
2536,2191,ELEC
2523,2191,ELEC
2511,2191,ELEC
2498,2191,ELEC
2485,2191,ELEC
2472,2191,ELEC
2460,2191,ELEC
2447,2191,ELEC
2434,2191,ELEC
2421,2191,ELEC
2412,2199,ELEC
2403,2209,ELEC
2394,2218,ELEC
2385,2227,ELEC
2376,2236,ELEC
2367,2245,ELEC
2357,2254,ELEC
2349,2263,ELEC
2339,2265,ELEC
2331,2274,ELEC
2321,2283,ELEC
2309,2283,ELEC
2296,2283,ELEC
2284,2283,ELEC
2271,2283,ELEC
2259,2283,ELEC
2246,2283,ELEC
2234,2283,ELEC
2225,2283,ELEC
2225,2292,ELEC
2225,2305,ELEC
2225,2318,ELEC
2225,2331,ELEC
2225,2344,ELEC
2225,2357,ELEC
2225,2369,ELEC
2225,2382,ELEC
2225,2395,ELEC
2225,2408,ELEC
2225,2421,ELEC
2225,2433,ELEC
2225,2446,ELEC
2225,2459,ELEC
2225,2471,ELEC
2225,2485,ELEC
2225,2497,ELEC
2225,2510,ELEC
2225,2523,ELEC
2234,2532,ELEC
2247,2532,ELEC
2259,2532,ELEC
2272,2532,ELEC
2284,2532,ELEC
2297,2532,ELEC
2310,2532,ELEC
2323,2532,ELEC
2336,2532,ELEC
2348,2532,ELEC
2361,2532,ELEC
2374,2532,ELEC
2386,2532,ELEC
2399,2532,ELEC
2412,2532,ELEC
2425,2532,ELEC
2437,2532,ELEC
2450,2532,ELEC
2463,2532,ELEC
2476,2532,ELEC
2489,2532,ELEC
2501,2532,ELEC
2514,2532,ELEC
2527,2532,ELEC
2539,2532,ELEC
2552,2532,ELEC
2565,2532,ELEC
2577,2532,ELEC
2590,2532,ELEC
2602,2532,ELEC
2615,2532,STOR
2627,2532,STOR
2640,2532,STOR
2653,2532,STOR
2665,2532,STOR
2678,2532,STOR
2691,2532,STOR
2703,2532,STOR
2716,2532,STOR
2729,2532,STOR
2742,2532,STOR
2755,2532,STOR
2767,2532,STOR
