X,Y,Nearest Task
2701,1826,ELEC
2688,1826,ELEC
2675,1826,ELEC
2662,1826,ELEC
2649,1826,ELEC
2636,1826,ELEC
2624,1826,ELEC
2611,1826,ELEC
2599,1826,ELEC
2586,1826,ELEC
2572,1826,ELEC
2559,1826,ELEC
2546,1826,ELEC
2533,1826,ELEC
2533,1839,ELEC
2533,1852,ELEC
2533,1865,ELEC
2533,1878,ELEC
2533,1891,ELEC
2533,1903,ELEC
2533,1916,ELEC
2533,1929,ELEC
2533,1942,ELEC
2533,1955,ELEC
2533,1967,ELEC
2533,1981,ELEC
2533,1993,ELEC
2533,2006,ELEC
2533,2018,ELEC
2533,2031,ELEC
2533,2043,ELEC
2533,2056,ELEC
2533,2069,ELEC
2533,2082,ELEC
2533,2095,ELEC
2533,2107,ELEC
2533,2120,ELEC
2533,2133,ELEC
2533,2146,ELEC
2533,2158,ELEC
2533,2171,ELEC
2533,2184,ELEC
2533,2197,ELEC
2533,2210,ELEC
2521,2210,ELEC
2508,2210,ELEC
2495,2210,ELEC
2482,2210,ELEC
2470,2210,ELEC
2456,2210,ELEC
2443,2210,ELEC
2430,2210,ELEC
2417,2210,ELEC
2404,2210,ELEC
2391,2210,ELEC
2378,2210,ELEC
2366,2210,ELEC
2353,2210,ELEC
2340,2210,ELEC
2328,2210,ELEC
2315,2210,ELEC
2302,2210,ELEC
2289,2210,ELEC
2277,2210,ELEC
2268,2218,ELEC
2268,2231,ELEC
2268,2244,ELEC
2268,2257,ELEC
2268,2270,ELEC
2268,2290,ELEC
2268,2303,ELEC
2268,2316,ELEC
2268,2329,ELEC
2268,2341,ELEC
2268,2354,ELEC
2268,2367,ELEC
2268,2380,ELEC
2268,2393,ELEC
2268,2406,ELEC
2268,2418,ELEC
2268,2431,ELEC
2268,2443,ELEC
2268,2456,ELEC
2268,2469,ELEC
2268,2482,ELEC
2268,2495,ELEC
2268,2508,ELEC
2268,2521,ELEC
2268,2533,ELEC
2268,2546,ELEC
2268,2559,ELEC
2268,2572,ELEC
2268,2584,ELEC
2281,2584,ELEC
2293,2584,ELEC
2306,2584,ELEC
2319,2584,ELEC
2332,2584,ELEC
2345,2584,ELEC
2358,2584,ELEC
2371,2584,ELEC
2384,2584,ELEC
2397,2584,ELEC
2410,2584,ELEC
2423,2584,ELEC
2435,2584,ELEC
2449,2584,ELEC
2461,2584,ELEC
2474,2584,ELEC
2487,2584,ELEC
2499,2584,ELEC
2512,2584,ELEC
2524,2584,ELEC
2537,2584,ELEC
2550,2584,STOR
2563,2584,STOR
2575,2584,STOR
2588,2584,STOR
2601,2584,STOR
2613,2584,STOR
2626,2584,STOR
2639,2584,STOR
2651,2584,STOR
2664,2584,STOR
2677,2584,STOR
2689,2584,STOR
2708,2584,STOR
2721,2584,STOR
2734,2584,STOR
2747,2584,STOR
2759,2584,STOR
2772,2584,STOR
