X,Y,Nearest Task
2701,1826,ELEC
2688,1826,ELEC
2675,1826,ELEC
2662,1826,ELEC
2649,1826,ELEC
2637,1826,ELEC
2624,1826,ELEC
2611,1826,ELEC
2598,1826,ELEC
2585,1826,ELEC
2573,1826,ELEC
2560,1826,ELEC
2547,1826,ELEC
2547,1839,ELEC
2547,1852,ELEC
2547,1864,ELEC
2547,1877,ELEC
2547,1889,ELEC
2547,1902,ELEC
2547,1915,ELEC
2547,1928,ELEC
2547,1940,ELEC
2547,1953,ELEC
2547,1966,ELEC
2547,1979,ELEC
2547,1991,ELEC
2547,2004,ELEC
2547,2017,ELEC
2547,2030,ELEC
2547,2042,ELEC
2547,2055,ELEC
2547,2068,ELEC
2547,2081,ELEC
2547,2093,ELEC
2547,2106,ELEC
2547,2119,ELEC
2515,2119,ELEC
2501,2119,ELEC
2487,2119,ELEC
2474,2119,ELEC
2462,2119,ELEC
2449,2119,ELEC
2436,2119,ELEC
2423,2119,ELEC
2410,2119,ELEC
2398,2119,ELEC
2385,2119,ELEC
2373,2119,ELEC
2360,2119,ELEC
2348,2119,ELEC
2335,2119,ELEC
2322,2119,ELEC
2310,2119,ELEC
2300,2128,ELEC
2292,2137,ELEC
2292,2150,ELEC
2292,2162,ELEC
2292,2175,ELEC
2292,2187,ELEC
2292,2200,ELEC
2292,2213,ELEC
2292,2226,ELEC
2292,2239,ELEC
2292,2252,ELEC
2292,2265,ELEC
2292,2278,ELEC
2292,2291,ELEC
2292,2304,ELEC
2292,2316,ELEC
2292,2329,ELEC
2292,2342,ELEC
2292,2355,ELEC
2292,2367,ELEC
2292,2380,ELEC
2292,2393,ELEC
2292,2405,ELEC
2292,2418,ELEC
2292,2431,ELEC
2292,2444,ELEC
2292,2456,ELEC
2292,2469,ELEC
2292,2482,ELEC
2292,2495,ELEC
2292,2508,ELEC
2292,2521,ELEC
2292,2534,ELEC
2292,2547,ELEC
2279,2547,ELEC
2267,2547,ELEC
2254,2547,ELEC
2242,2547,ELEC
2229,2547,ELEC
2216,2547,ELEC
2204,2547,ELEC
2191,2547,ELEC
2178,2547,ELEC
2166,2547,ELEC
2153,2547,ELEC
2141,2547,ELEC
2128,2547,ELEC
2115,2547,ELEC
2102,2547,ELEC
2090,2547,ELEC
2077,2547,ELEC
2065,2547,ELEC
2052,2547,ELEC
2039,2547,ELEC
2026,2547,ELEC
2013,2547,ELEC
2000,2547,ELEC
1987,2547,ELEC
1978,2538,ELEC
1969,2529,ELEC
1960,2519,ELEC
1951,2511,ELEC
1942,2502,ELEC
1933,2493,ELEC
1924,2484,ELEC
1915,2475,ELEC
1911,2466,ELEC
1911,2453,ELEC
1911,2440,ELEC
1911,2427,ELEC
1911,2414,ELEC
1911,2401,ELEC
1911,2388,ELEC
1911,2376,ELEC
1911,2363,ELEC
1911,2350,ELEC
1911,2338,ELEC
1911,2325,ELEC
1911,2312,ELEC
1911,2299,ELEC
1911,2286,ELEC
1911,2273,ELEC
1911,2260,ELEC
1911,2246,ELEC
1911,2233,ELEC
1898,2233,ELEC
1885,2233,ELEC
1872,2233,ELEC
1860,2233,ELEC
1840,2233,ELEC
1827,2233,ELEC
1814,2233,ELEC
1801,2233,ELEC
1789,2233,ELEC
1776,2233,ELEC
1763,2233,ELEC
1751,2233,ELEC
1738,2233,ELEC
1726,2233,REACDOWN
1713,2233,REACDOWN
1701,2233,REACDOWN
1688,2233,REACDOWN
1676,2233,REACDOWN
1644,2233,REACDOWN
1631,2233,REACDOWN
1602,2233,REACDOWN
1602,2183,REACDOWN
1602,2118,REACDOWN
1602,2070,REACDOWN
1602,2058,REACDOWN
1602,2012,REACDOWN
1544,2012,REACDOWN
1530,2012,REACDOWN
1483,2012,REACDOWN
1470,2012,REACDOWN
1430,2012,REACDOWN
1430,1963,REACDOWN
1430,1950,REACDOWN
1430,1903,REACDOWN
1430,1890,REACDOWN
1430,1844,REACDOWN
1430,1831,REACDOWN
1430,1784,REACDOWN
1430,1771,REACDOWN
1430,1729,REACDOWN
1430,1669,REACDOWN
1430,1656,REACDOWN
1430,1609,REACDOWN
1430,1596,REACDOWN
1430,1559,REACDOWN
1430,1547,REACDOWN
1430,1500,REACDOWN
1383,1500,REACDOWN
1371,1500,REACDOWN
1329,1500,REACDOWN
1281,1500,REACDOWN
1268,1500,REACDOWN
1221,1500,REACDOWN
1128,1500,REACDOWN
1115,1500,REACDOWN
1103,1500,REACDOWN
1090,1500,REACDOWN
1077,1500,REACDOWN
1064,1500,REACDOWN
1019,1500,REACDOWN
1006,1500,REACDOWN
980,1500,REACDOWN
944,1500,REACDOWN
907,1500,REACDOWN
