X,Y,Nearest Task
2701,1826,ELEC
2688,1826,ELEC
2675,1826,ELEC
2662,1826,ELEC
2650,1826,ELEC
2637,1826,ELEC
2624,1826,ELEC
2611,1826,ELEC
2599,1826,ELEC
2586,1826,ELEC
2574,1826,ELEC
2561,1826,ELEC
2561,1839,ELEC
2561,1852,ELEC
2561,1864,ELEC
2561,1877,ELEC
2561,1891,ELEC
2561,1903,ELEC
2561,1916,ELEC
2561,1929,ELEC
2561,1942,ELEC
2561,1955,ELEC
2561,1968,ELEC
2561,1980,ELEC
2561,1993,ELEC
2561,2005,ELEC
2561,2018,ELEC
2561,2031,ELEC
2561,2044,ELEC
2561,2056,ELEC
2561,2069,ELEC
2561,2082,ELEC
2561,2094,ELEC
2561,2107,ELEC
2561,2120,ELEC
2561,2132,ELEC
2561,2145,ELEC
2561,2158,ELEC
2561,2170,ELEC
2561,2183,ELEC
2549,2183,ELEC
2536,2183,ELEC
2523,2183,ELEC
2510,2183,ELEC
2497,2183,ELEC
2484,2183,ELEC
2472,2183,ELEC
2459,2183,ELEC
2447,2183,ELEC
2434,2183,ELEC
2421,2183,ELEC
2409,2183,ELEC
2396,2183,ELEC
2382,2183,ELEC
2369,2183,ELEC
2356,2183,ELEC
2343,2183,ELEC
2330,2183,ELEC
2303,2183,ELEC
2290,2183,ELEC
2277,2183,ELEC
2267,2192,ELEC
2267,2205,ELEC
2267,2218,ELEC
2267,2230,ELEC
2267,2243,ELEC
2267,2255,ELEC
2267,2268,ELEC
2267,2280,ELEC
2267,2293,ELEC
2267,2306,ELEC
2267,2318,ELEC
2267,2331,ELEC
2267,2343,ELEC
2267,2356,ELEC
2267,2369,ELEC
2267,2382,ELEC
2267,2395,ELEC
2267,2408,ELEC
2267,2420,ELEC
2267,2433,ELEC
2267,2445,ELEC
2267,2459,ELEC
2267,2472,ELEC
2267,2484,ELEC
2267,2497,ELEC
2267,2510,ELEC
2267,2523,ELEC
2267,2536,ELEC
2267,2549,ELEC
2267,2562,ELEC
2277,2571,ELEC
2285,2580,ELEC
2298,2580,ELEC
2311,2580,ELEC
2324,2580,ELEC
2336,2580,ELEC
2349,2580,ELEC
2362,2580,ELEC
2375,2580,ELEC
2388,2580,ELEC
2400,2580,ELEC
2413,2580,ELEC
2426,2580,ELEC
2439,2580,ELEC
2452,2580,ELEC
2464,2580,ELEC
2477,2580,ELEC
2490,2580,ELEC
2503,2580,ELEC
2516,2580,ELEC
2528,2580,ELEC
2541,2580,ELEC
2553,2580,STOR
2566,2580,STOR
2579,2580,STOR
2592,2580,STOR
2605,2580,STOR
2618,2580,STOR
2630,2580,STOR
2643,2580,STOR
2655,2580,STOR
2668,2580,STOR
2680,2580,STOR
2693,2580,STOR
2706,2580,STOR
2718,2580,STOR
2731,2580,STOR
2744,2580,STOR
2757,2580,STOR
2769,2580,STOR
2782,2580,STOR
2795,2580,STOR
