X,Y,Nearest Task
2701,1826,ELEC
2688,1826,ELEC
2675,1826,ELEC
2662,1826,ELEC
2650,1826,ELEC
2637,1826,ELEC
2625,1826,ELEC
2612,1826,ELEC
2599,1826,ELEC
2586,1826,ELEC
2574,1826,ELEC
2561,1826,ELEC
2548,1826,ELEC
2548,1839,ELEC
2548,1852,ELEC
2548,1864,ELEC
2548,1877,ELEC
2548,1889,ELEC
2548,1902,ELEC
2548,1915,ELEC
2548,1928,ELEC
2548,1941,ELEC
2548,1954,ELEC
2548,1966,ELEC
2548,1979,ELEC
2548,1992,ELEC
2548,2005,ELEC
2548,2017,ELEC
2548,2030,ELEC
2548,2043,ELEC
2548,2056,ELEC
2548,2068,ELEC
2548,2081,ELEC
2548,2094,ELEC
2548,2107,ELEC
2548,2119,ELEC
2548,2135,ELEC
2548,2151,ELEC
2548,2163,ELEC
2548,2176,ELEC
2548,2188,ELEC
2535,2188,ELEC
2522,2188,ELEC
2510,2188,ELEC
2497,2188,ELEC
2484,2188,ELEC
2471,2188,ELEC
2459,2188,ELEC
2446,2188,ELEC
2433,2188,ELEC
2420,2188,ELEC
2407,2188,ELEC
2395,2188,ELEC
2382,2188,ELEC
2369,2188,ELEC
2357,2188,ELEC
2344,2188,ELEC
2331,2188,ELEC
2318,2188,ELEC
2305,2188,ELEC
2293,2188,ELEC
2280,2188,ELEC
2267,2188,ELEC
2267,2201,ELEC
2267,2214,ELEC
2267,2226,ELEC
2267,2239,ELEC
2267,2252,ELEC
2267,2265,ELEC
2267,2278,ELEC
2267,2291,ELEC
2267,2304,ELEC
2267,2316,ELEC
2267,2329,ELEC
2267,2342,ELEC
2267,2355,ELEC
2267,2367,ELEC
2267,2380,ELEC
2267,2392,ELEC
2267,2405,ELEC
2267,2418,ELEC
2267,2430,ELEC
2267,2443,ELEC
2267,2456,ELEC
2267,2468,ELEC
2267,2481,ELEC
2267,2493,ELEC
2267,2506,ELEC
2258,2515,ELEC
2245,2515,ELEC
2232,2515,ELEC
2219,2515,ELEC
2207,2515,ELEC
2194,2515,ELEC
2182,2515,ELEC
2169,2515,ELEC
2156,2515,ELEC
2143,2515,ELEC
2130,2515,ELEC
2117,2515,ELEC
2104,2515,ELEC
2091,2515,ELEC
2078,2515,ELEC
2065,2515,ELEC
2052,2515,ELEC
2039,2515,ELEC
2027,2515,ELEC
2014,2515,ELEC
2001,2515,ELEC
2001,2502,ELEC
2001,2490,ELEC
2001,2477,ELEC
2001,2465,ELEC
2001,2452,ELEC
2001,2439,ELEC
2001,2426,ELEC
2001,2413,ELEC
2001,2401,ELEC
2001,2388,ELEC
2001,2375,ELEC
2001,2362,ELEC
2001,2349,ELEC
2001,2336,ELEC
2001,2324,ELEC
2001,2311,ELEC
2001,2299,ELEC
2001,2286,ELEC
1992,2277,ELEC
1983,2268,ELEC
1974,2259,ELEC
1974,2246,ELEC
