X,Y,Nearest Task
2701,1826,ELEC
2688,1826,ELEC
2675,1826,ELEC
2662,1826,ELEC
2649,1826,ELEC
2636,1826,ELEC
2623,1826,ELEC
2611,1826,ELEC
2593,1826,ELEC
2577,1826,ELEC
2577,1839,ELEC
2577,1851,ELEC
2577,1864,ELEC
2577,1877,ELEC
2577,1890,ELEC
2577,1903,ELEC
2577,1915,ELEC
2577,1928,ELEC
2577,1941,ELEC
2577,1954,ELEC
2577,1967,ELEC
2577,1980,ELEC
2577,1993,ELEC
2577,2006,ELEC
2577,2019,ELEC
2577,2031,ELEC
2577,2044,ELEC
2577,2057,ELEC
2577,2070,ELEC
2577,2082,ELEC
2577,2095,ELEC
2577,2108,ELEC
2577,2121,ELEC
2577,2134,ELEC
2577,2146,ELEC
2577,2159,ELEC
2577,2172,ELEC
2564,2172,ELEC
2551,2172,ELEC
2538,2172,ELEC
2525,2172,ELEC
2513,2172,ELEC
2500,2172,ELEC
2487,2172,ELEC
2474,2172,ELEC
2461,2172,ELEC
2448,2172,ELEC
2435,2172,ELEC
2422,2172,ELEC
2409,2172,ELEC
2396,2172,ELEC
2384,2172,ELEC
2371,2172,ELEC
2358,2172,ELEC
2345,2172,ELEC
2332,2172,ELEC
2319,2172,ELEC
2307,2172,ELEC
2294,2172,ELEC
2294,2185,ELEC
2294,2198,ELEC
2294,2211,ELEC
2294,2223,ELEC
2294,2236,ELEC
2294,2249,ELEC
2294,2262,ELEC
2294,2275,ELEC
2294,2288,ELEC
2294,2300,ELEC
2294,2313,ELEC
2294,2325,ELEC
2294,2338,ELEC
2294,2351,ELEC
2294,2364,ELEC
2294,2377,ELEC
2294,2390,ELEC
2294,2403,ELEC
2294,2415,ELEC
2294,2428,ELEC
2294,2441,ELEC
2294,2454,ELEC
2294,2467,ELEC
2294,2479,ELEC
2294,2492,ELEC
2294,2505,ELEC
2294,2517,ELEC
2294,2532,ELEC
2294,2544,ELEC
2307,2544,ELEC
2320,2544,ELEC
2333,2544,ELEC
2345,2544,ELEC
2358,2544,ELEC
2370,2544,ELEC
2383,2544,ELEC
2396,2544,ELEC
2409,2544,ELEC
2422,2544,ELEC
2435,2544,ELEC
2448,2544,ELEC
2461,2544,ELEC
2474,2544,ELEC
2487,2544,ELEC
2500,2544,ELEC
2512,2544,ELEC
2525,2544,ELEC
2538,2544,ELEC
2551,2544,ELEC
2564,2544,ELEC
2576,2544,ELEC
2589,2544,STOR
2602,2544,STOR
2615,2544,STOR
2627,2544,STOR
2648,2544,STOR
2661,2544,STOR
2674,2544,STOR
2686,2544,STOR
2699,2544,STOR
2711,2544,STOR
2724,2544,STOR
2737,2544,STOR
2749,2544,STOR
2762,2544,STOR
2774,2544,STOR
2787,2544,STOR
2799,2544,STOR
2812,2544,STOR
2825,2544,STOR
2838,2544,STOR
2851,2544,STOR
2863,2544,STOR
2876,2544,STOR
