X,Y,Nearest Task
3458,2850,STOR
3458,2838,STOR
3458,2825,STOR
3458,2813,STOR
3458,2800,STOR
3458,2784,STOR
3458,2768,STOR
3458,2753,STOR
3458,2740,STOR
3458,2727,STOR
3458,2714,STOR
3458,2702,STOR
3458,2689,STOR
3458,2676,STOR
3458,2664,STOR
3458,2651,STOR
3458,2638,STOR
3458,2625,STOR
3458,2612,STOR
3458,2599,STOR
3458,2586,STOR
3458,2573,STOR
3458,2560,STOR
3458,2547,STOR
3458,2534,STOR
3458,2519,STOR
3458,2503,STOR
3458,2488,STOR
3458,2472,STOR
3458,2459,STOR
3458,2446,STOR
3458,2432,STOR
3458,2418,STOR
3458,2406,STOR
3458,2393,STOR
3458,2379,STOR
3458,2366,STOR
3458,2353,STOR
3458,2338,STOR
3458,2325,STOR
3458,2310,STOR
3458,2293,STOR
3458,2281,STOR
3458,2268,STOR
3458,2255,STOR
3458,2241,STOR
3458,2228,STOR
3458,2212,STOR
3458,2199,STOR
3458,2187,STOR
3458,2174,STOR
3458,2161,STOR
3458,2148,STOR
3458,2135,STOR
3458,2122,STOR
3458,2109,STOR
3458,2095,STOR
3458,2082,STOR
3458,2069,STOR
3458,2057,STOR
3458,2040,STOR
3458,2027,STOR
3458,2015,STOR
3458,2002,STOR
3458,1988,STOR
3458,1975,STOR
3458,1962,STOR
3446,1962,STOR
3433,1962,STOR
3420,1962,STOR
3402,1962,STOR
3390,1962,STOR
3375,1962,STOR
3363,1962,STOR
3363,1949,STOR
3363,1936,STOR
3363,1923,ELEC
3363,1911,ELEC
3363,1898,ELEC
3363,1883,ELEC
3363,1869,ELEC
3363,1855,MED
3363,1843,MED
3363,1830,MED
3363,1817,MED
3363,1804,MED
3363,1792,MED
3363,1777,MED
3363,1763,MED
3363,1750,MED
3363,1737,MED
3363,1724,MED
3363,1711,O2
3363,1698,O2
3363,1685,O2
3363,1672,O2
3363,1659,O2
3363,1646,O2
3363,1633,O2
3363,1620,O2
3363,1606,O2
3363,1593,O2
3363,1580,O2
3363,1567,O2
3363,1554,O2
3363,1542,O2
3363,1527,O2
3363,1514,O2
3363,1502,O2
3363,1487,O2
3363,1474,O2
3363,1461,O2
3363,1448,O2
3363,1435,O2
3363,1422,O2
3363,1409,O2
3363,1396,O2
3363,1383,O2
3363,1371,O2
3363,1358,O2
3363,1345,O2
3363,1332,O2
3363,1319,O2
3363,1306,O2
3363,1293,O2
3363,1281,O2
3363,1268,O2
3363,1255,O2
3363,1242,O2
3363,1229,O2
3363,1217,O2
3363,1204,O2
3363,1191,O2
3363,1179,O2
3363,1166,O2
3363,1153,O2
3363,1140,O2
3363,1128,O2
3363,1115,O2
3363,1102,O2
3363,1089,O2
3363,1076,O2
3350,1076,O2
3337,1076,O2
3325,1076,O2
3312,1076,O2
3299,1076,O2
3286,1076,MED
3274,1076,MED
3261,1076,MED
3248,1076,MED
3235,1076,MED
3222,1076,MED
3210,1076,MED
3197,1076,MED
3184,1076,MED
3184,1063,MED
3184,1050,MED
3184,1038,MED
3184,1025,MED
3184,1012,MED
3184,999,MED
3184,986,MED
3184,974,MED
3184,961,MED
3184,948,MED
3184,935,MED
3184,922,MED
3184,910,MED
3184,897,MED
3184,884,MED
3184,872,MED
3184,859,MED
3184,846,MED
3184,845,MED
3174,845,MED
3161,845,MED
3148,845,MED
3135,845,MED
3122,845,MED
3109,845,MED
3096,845,MED
3083,845,MED
3071,845,MED
3058,845,MED
3045,845,MED
3032,845,MED
3019,845,MED
3007,845,MED
2994,845,MED
2994,832,MED
2994,820,MED
2994,807,MED
2994,794,MED
2994,781,CAFELEF
2994,768,CAFELEF
2994,755,CAFELEF
2994,742,CAFELEF
2994,730,CAFELEF
2994,717,CAFELEF
2994,704,CAFELEF
2994,691,CAFELEF
2994,678,CAFELEF
2994,665,CAFELEF
2994,652,CAFELEF
2981,652,CAFELEF
2969,652,CAFELEF
2956,652,CAFELEF
2944,652,CAFELEF
2931,652,CAFELEF
2918,652,CAFELEF
2905,652,CAFELEF
2892,652,CAFELEF
2879,652,CAFELEF
2867,652,CAFELEF
2854,652,CAFELEF
2841,652,CAFELEF
2828,652,CAFELEF
2815,652,CAFELEF
2815,639,CAFELEF
2815,626,CAFELEF
2815,604,CAFELEF
2815,591,CAFELEF
2815,579,CAFELEF
2815,566,CAFELEF
2815,553,CAFELEF
2815,540,CAFELEF
2815,527,CAFELEF
2815,515,CAFELEF
2815,502,CAFELEF
2815,489,CAFELEF
2815,477,CAFELEF
2815,464,CAFELEF
2815,452,CAFELEF
2815,439,CAFELEF
2815,426,CAFELEF
2815,413,CAFELEF
2815,400,CAFELEF
2815,387,CAFELEF
2815,374,CAFELEF
2815,361,CAFELEF
2815,348,CAFELEF
2815,335,CAFELEF
2815,322,CAFELEF
2815,309,CAFELEF
2815,296,CAFELEF
2815,283,CAFELEF
2815,271,CAFELEF
2815,258,CAFELEF
2815,245,CAFELEF
2815,232,CAFELEF
2815,219,CAFELEF
2813,219,CAFELEF
