X,Y,Nearest Task
3458,2850,STOR
3458,2838,STOR
3458,2825,STOR
3458,2812,STOR
3458,2799,STOR
3458,2786,STOR
3458,2774,STOR
3458,2761,STOR
3458,2748,STOR
3458,2735,STOR
3458,2722,STOR
3458,2710,STOR
3458,2697,STOR
3458,2685,STOR
3458,2672,STOR
3458,2659,STOR
3458,2646,STOR
3458,2633,STOR
3458,2621,STOR
3458,2608,STOR
3458,2596,STOR
3458,2583,STOR
3458,2571,STOR
3458,2558,STOR
3458,2546,STOR
3458,2533,STOR
3458,2520,STOR
3458,2507,STOR
3458,2495,STOR
3458,2482,STOR
3458,2469,STOR
3458,2456,STOR
3458,2444,STOR
3458,2431,STOR
3458,2419,STOR
3458,2406,STOR
3458,2393,STOR
3458,2380,STOR
3458,2367,STOR
3458,2354,STOR
3458,2341,STOR
3458,2328,STOR
3458,2315,STOR
3458,2303,STOR
3458,2290,STOR
3458,2277,STOR
3458,2265,STOR
3458,2252,STOR
3458,2239,STOR
3458,2227,STOR
3458,2214,STOR
3458,2201,STOR
3458,2188,STOR
3458,2175,STOR
3458,2163,STOR
3458,2150,STOR
3458,2138,STOR
3458,2125,STOR
3458,2112,STOR
3458,2100,STOR
3458,2087,STOR
3458,2075,STOR
3458,2062,STOR
3458,2049,STOR
3458,2037,STOR
3458,2024,STOR
3458,2011,STOR
3458,1998,STOR
3458,1986,STOR
3458,1973,STOR
3458,1960,STOR
3458,1947,STOR
3458,1934,STOR
3446,1934,STOR
3433,1934,STOR
3420,1934,STOR
3407,1934,STOR
3394,1934,STOR
3382,1934,STOR
3369,1934,STOR
3356,1934,STOR
3344,1934,ELEC
3331,1934,ELEC
3318,1934,ELEC
3305,1934,ELEC
3292,1934,ELEC
3292,1921,ELEC
3292,1908,ELEC
3292,1896,ELEC
3292,1883,ELEC
3292,1870,ELEC
3292,1857,ELEC
3292,1845,ELEC
3292,1832,MED
3292,1819,MED
3292,1806,MED
3292,1793,MED
3292,1780,MED
3292,1767,MED
3292,1754,MED
3292,1741,MED
3292,1729,MED
3292,1716,MED
3292,1703,MED
3292,1690,MED
3292,1678,MED
3292,1665,MED
3292,1652,MED
3292,1640,MED
3292,1627,MED
3292,1614,MED
3292,1602,MED
3292,1589,MED
3292,1576,MED
3292,1563,MED
3292,1551,MED
3292,1538,MED
3292,1525,MED
3292,1512,MED
3292,1500,MED
3292,1487,MED
3292,1474,MED
3292,1462,MED
3292,1449,MED
3292,1436,MED
3292,1424,MED
3292,1411,MED
3292,1398,MED
3292,1385,MED
3292,1373,MED
3292,1360,MED
3292,1347,MED
3292,1335,MED
3292,1322,MED
3305,1322,MED
3318,1322,MED
3330,1322,O2
3343,1322,O2
3356,1322,O2
3369,1322,O2
3373,1322,O2
3373,1309,O2
3373,1296,O2
3373,1283,O2
3373,1263,O2
3373,1250,O2
3373,1237,O2
3373,1224,O2
3386,1224,O2
3398,1224,O2
3411,1224,O2
3423,1224,O2
3436,1224,O2
3449,1224,O2
3462,1224,O2
3474,1224,O2
3487,1224,O2
3499,1224,O2
3512,1224,O2
3525,1224,O2
3538,1224,O2
3551,1224,O2
3564,1224,O2
3576,1224,O2
3589,1224,O2
3602,1224,O2
3614,1224,O2
3627,1224,O2
3640,1224,O2
3652,1224,O2
3665,1224,O2
3677,1224,O2
3690,1224,O2
3703,1224,O2
3716,1224,O2
3728,1224,O2
3741,1224,O2
3754,1224,O2
3765,1224,O2
3765,1211,O2
3765,1198,O2
3765,1186,O2
3765,1173,O2
3765,1160,O2
3765,1159,O2
3779,1159,O2
3792,1159,O2
3805,1159,O2
3818,1159,O2
3830,1159,O2
3843,1159,O2
3845,1159,O2
3845,1146,O2
3845,1133,O2
3845,1121,O2
3845,1108,O2
3845,1095,O2
3845,1083,O2
3845,1070,O2
3845,1057,O2
3845,1044,O2
3845,1032,O2
3845,1019,O2
3845,1007,O2
3845,994,O2
3845,981,O2
3845,968,O2
3845,955,O2
3845,942,O2
3845,929,O2
3845,917,O2
3845,904,O2
3845,891,O2
3845,878,O2
3845,865,O2
3845,852,O2
3845,839,O2
3845,826,O2
3845,814,O2
3845,801,O2
3845,788,O2
3845,775,O2
3845,763,O2
3845,750,O2
3845,738,O2
3845,725,O2
3858,725,O2
3871,725,O2
3883,725,O2
3896,725,O2
3909,725,O2
3921,725,O2
3934,725,O2
3947,725,O2
3947,712,O2
3947,700,O2
3947,687,CAFERIGHT
3947,674,CAFERIGHT
3947,662,CAFERIGHT
3947,649,CAFERIGHT
3947,637,CAFERIGHT
3947,624,CAFERIGHT
3947,611,CAFERIGHT
3947,599,CAFERIGHT
3947,586,CAFERIGHT
3947,573,CAFERIGHT
3947,561,CAFERIGHT
3947,548,CAFERIGHT
3947,535,CAFERIGHT
3947,523,CAFERIGHT
3947,510,CAFERIGHT
3947,498,CAFERIGHT
3947,485,CAFERIGHT
3947,472,CAFERIGHT
3947,460,CAFERIGHT
3947,447,CAFERIGHT
3947,434,CAFERIGHT
3947,421,CAFERIGHT
3947,409,CAFERIGHT
3947,396,CAFERIGHT
3947,384,CAFERIGHT
3947,371,CAFERIGHT
3947,358,CAFERIGHT
3947,357,CAFERIGHT
3934,357,CAFERIGHT
3921,357,CAFERIGHT
3908,357,CAFERIGHT
3895,357,CAFERIGHT
3883,357,CAFERIGHT
3883,344,CAFERIGHT
3883,332,CAFERIGHT
3883,319,CAFERIGHT
3883,306,CAFERIGHT
3883,293,CAFERIGHT
