X,Y,Nearest Task
3458,2850,STOR
3458,2838,STOR
3458,2825,STOR
3458,2812,STOR
3458,2799,STOR
3458,2787,STOR
3458,2774,STOR
3458,2761,STOR
3458,2749,STOR
3458,2736,STOR
3458,2723,STOR
3458,2711,STOR
3446,2711,STOR
3433,2711,STOR
3419,2711,STOR
3406,2711,STOR
3393,2711,STOR
3380,2711,STOR
3368,2711,STOR
3355,2711,STOR
3343,2711,STOR
3330,2711,STOR
3318,2711,STOR
3305,2711,STOR
3293,2711,STOR
3280,2711,STOR
3267,2711,STOR
3255,2711,STOR
3242,2711,STOR
3229,2711,STOR
3216,2711,STOR
3204,2711,STOR
3191,2711,STOR
3178,2711,STOR
3165,2711,STOR
3153,2711,STOR
3140,2711,STOR
3127,2711,STOR
3114,2711,STOR
3101,2711,STOR
3088,2711,STOR
3076,2711,STOR
3066,2701,STOR
3057,2692,STOR
3057,2680,STOR
3057,2667,STOR
3057,2654,STOR
3057,2641,STOR
3057,2628,STOR
3057,2615,STOR
3057,2603,STOR
3057,2590,STOR
3057,2577,STOR
3057,2565,STOR
3057,2552,STOR
3045,2552,STOR
3032,2552,STOR
3019,2552,STOR
3006,2552,STOR
2994,2552,STOR
2981,2552,STOR
2968,2552,STOR
2955,2552,STOR
2942,2552,STOR
2929,2552,STOR
2917,2552,STOR
2904,2552,STOR
2891,2552,STOR
2879,2552,STOR
2866,2552,STOR
2853,2552,STOR
2841,2552,STOR
2828,2552,STOR
2815,2552,STOR
2802,2552,STOR
2789,2552,STOR
2776,2552,STOR
2764,2552,STOR
2751,2552,STOR
2737,2552,STOR
2725,2552,STOR
2711,2552,STOR
2698,2552,STOR
2685,2552,STOR
2672,2552,STOR
2660,2552,STOR
2647,2552,STOR
2634,2552,STOR
2611,2552,STOR
2599,2552,STOR
2586,2552,STOR
2574,2552,ELEC
2561,2552,ELEC
2548,2552,ELEC
2535,2552,ELEC
2522,2552,ELEC
2510,2552,ELEC
2496,2552,ELEC
2484,2552,ELEC
2471,2552,ELEC
2458,2552,ELEC
2445,2552,ELEC
2432,2552,ELEC
2419,2552,ELEC
2406,2552,ELEC
2393,2552,ELEC
2380,2552,ELEC
2368,2552,ELEC
2368,2535,ELEC
2368,2521,ELEC
2368,2508,ELEC
2355,2508,ELEC
2342,2508,ELEC
2329,2508,ELEC
2315,2508,ELEC
2299,2508,ELEC
2286,2508,ELEC
2274,2508,ELEC
2261,2508,ELEC
2261,2495,ELEC
2261,2482,ELEC
2261,2470,ELEC
2261,2457,ELEC
2261,2444,ELEC
2261,2431,ELEC
2261,2419,ELEC
2261,2406,ELEC
2261,2394,ELEC
2261,2381,ELEC
2261,2368,ELEC
2261,2356,ELEC
2261,2343,ELEC
2261,2330,ELEC
2261,2317,ELEC
2261,2304,ELEC
2261,2291,ELEC
2261,2278,ELEC
2261,2265,ELEC
2261,2252,ELEC
2261,2240,ELEC
2261,2227,ELEC
2261,2214,ELEC
2261,2201,ELEC
2261,2189,ELEC
2261,2176,ELEC
2274,2176,ELEC
2286,2176,ELEC
2299,2176,ELEC
2311,2176,ELEC
2324,2176,ELEC
2337,2176,ELEC
2350,2176,ELEC
2363,2176,ELEC
2376,2176,ELEC
2389,2176,ELEC
2401,2176,ELEC
2414,2176,ELEC
2430,2176,ELEC
2442,2176,ELEC
2455,2176,ELEC
2468,2176,ELEC
2481,2176,ELEC
2494,2176,ELEC
2506,2176,ELEC
2519,2176,ELEC
2532,2176,ELEC
2545,2176,ELEC
2558,2176,ELEC
2571,2176,ELEC
2583,2176,ELEC
2583,2163,ELEC
2583,2151,ELEC
2583,2138,ELEC
2583,2126,ELEC
2583,2113,ELEC
2583,2101,ELEC
2583,2088,ELEC
2583,2075,ELEC
2583,2062,ELEC
2583,2050,ELEC
2583,2037,ELEC
2583,2024,ELEC
2583,2011,ELEC
2583,1998,ELEC
2583,1985,ELEC
2583,1972,ELEC
2583,1959,ELEC
2583,1947,ELEC
2583,1934,ELEC
2583,1921,ELEC
2583,1908,ELEC
2583,1895,ELEC
2596,1895,ELEC
2609,1895,ELEC
2621,1895,ELEC
2634,1895,ELEC
2647,1895,ELEC
2653,1895,ELEC
2653,1882,ELEC
2653,1870,ELEC
2653,1857,ELEC
2653,1844,ELEC
2653,1831,ELEC
2653,1819,ELEC
2653,1806,ELEC
2653,1794,ELEC
2653,1781,ELEC
2653,1769,ELEC
2653,1756,ELEC
2653,1749,ELEC
2666,1749,ELEC
2678,1749,ELEC
2691,1749,ELEC
2703,1749,ELEC
2716,1749,ELEC
