X,Y,Nearest Task
3458,2850,STOR
3458,2837,STOR
3458,2824,STOR
3458,2811,STOR
3458,2799,STOR
3458,2786,STOR
3458,2773,STOR
3458,2760,STOR
3458,2747,STOR
3458,2734,STOR
3458,2721,STOR
3458,2709,STOR
3445,2709,STOR
3432,2709,STOR
3419,2709,STOR
3406,2709,STOR
3393,2709,STOR
3380,2709,STOR
3367,2709,STOR
3354,2709,STOR
3341,2709,STOR
3329,2709,STOR
3316,2709,STOR
3303,2709,STOR
3291,2709,STOR
3278,2709,STOR
3266,2709,STOR
3253,2709,STOR
3241,2709,STOR
3228,2709,STOR
3215,2709,STOR
3202,2709,STOR
3189,2709,STOR
3177,2709,STOR
3164,2709,STOR
3151,2709,STOR
3138,2709,STOR
3125,2709,STOR
3112,2709,STOR
3099,2709,STOR
3087,2709,STOR
3074,2709,STOR
3061,2709,STOR
3048,2709,STOR
3035,2709,STOR
3022,2709,STOR
3009,2709,STOR
3009,2696,STOR
3009,2683,STOR
3009,2670,STOR
3009,2657,STOR
3009,2644,STOR
3009,2631,STOR
3009,2618,STOR
3009,2605,STOR
3009,2593,STOR
3009,2580,STOR
2996,2580,STOR
2983,2580,STOR
2970,2580,STOR
2958,2580,STOR
2945,2580,STOR
2932,2580,STOR
2919,2580,STOR
2907,2580,STOR
2894,2580,STOR
2881,2580,STOR
2868,2580,STOR
2855,2580,STOR
2842,2580,STOR
2829,2580,STOR
2816,2580,STOR
2803,2580,STOR
2790,2580,STOR
2778,2580,STOR
2765,2580,STOR
2752,2580,STOR
2739,2580,STOR
2726,2580,STOR
2713,2580,STOR
2701,2580,STOR
2688,2580,STOR
2675,2580,STOR
2662,2580,STOR
2650,2580,STOR
2637,2580,STOR
2625,2580,STOR
2612,2580,STOR
2600,2580,STOR
2587,2580,STOR
2575,2580,STOR
2562,2580,STOR
2550,2580,STOR
2537,2580,ELEC
2524,2580,ELEC
2510,2580,ELEC
2497,2580,ELEC
2484,2580,ELEC
2471,2580,ELEC
2458,2580,ELEC
2445,2580,ELEC
2432,2580,ELEC
2419,2580,ELEC
2407,2580,ELEC
2394,2580,ELEC
2381,2580,ELEC
2368,2580,ELEC
2355,2580,ELEC
2343,2580,ELEC
2330,2580,ELEC
2317,2580,ELEC
2304,2580,ELEC
2291,2580,ELEC
2279,2580,ELEC
2266,2580,ELEC
2253,2580,ELEC
2240,2580,ELEC
2228,2580,ELEC
2215,2580,ELEC
2202,2580,ELEC
2189,2580,ELEC
2177,2580,ELEC
2164,2580,ELEC
2152,2580,ELEC
2139,2580,ELEC
2126,2580,ELEC
2114,2580,ELEC
2101,2580,ELEC
2089,2580,ELEC
2076,2580,ELEC
2064,2580,ELEC
2051,2580,ELEC
2038,2580,ELEC
2025,2580,ELEC
2012,2580,ELEC
2000,2580,ELEC
2000,2567,ELEC
2000,2554,ELEC
2000,2541,ELEC
2000,2529,ELEC
2000,2516,ELEC
2000,2503,ELEC
2000,2490,ELEC
2000,2477,ELEC
2000,2465,ELEC
2000,2452,ELEC
2000,2440,ELEC
2000,2427,ELEC
2000,2414,ELEC
2000,2402,ELEC
2000,2389,ELEC
2000,2376,ELEC
2000,2363,ELEC
2000,2350,ELEC
2000,2337,ELEC
2000,2324,ELEC
2000,2311,ELEC
2000,2298,ELEC
1987,2298,ELEC
1975,2298,ELEC
1962,2298,ELEC
1949,2298,ELEC
1936,2298,ELEC
1923,2298,ELEC
1911,2298,ELEC
1911,2285,ELEC
1911,2272,ELEC
1911,2259,ELEC
1911,2246,ELEC
1911,2233,ELEC
1911,2220,ELEC
1911,2207,ELEC
1911,2194,ELEC
1898,2194,ELEC
1886,2194,ELEC
1873,2194,ELEC
1860,2194,ELEC
1847,2194,ELEC
1834,2194,ELEC
1822,2194,ELEC
1809,2194,ELEC
1796,2194,ELEC
1783,2194,ELEC
1770,2194,ELEC
1757,2194,ELEC
1744,2194,ELEC
1730,2194,ELEC
1717,2194,REACDOWN
1705,2194,REACDOWN
1691,2194,REACDOWN
1679,2194,REACDOWN
1666,2194,REACDOWN
1653,2194,REACDOWN
1641,2194,REACDOWN
1628,2194,REACDOWN
1615,2194,REACDOWN
1603,2194,REACDOWN
1603,2182,REACDOWN
1603,2169,REACDOWN
1603,2156,REACDOWN
1603,2142,REACDOWN
1603,2159,REACDOWN
1603,2172,REACDOWN
1603,2184,REACDOWN
1603,2197,REACDOWN
1603,2210,REACDOWN
1603,2223,REACDOWN
1603,2236,REACDOWN
1603,2249,REACDOWN
1603,2261,REACDOWN
1603,2274,REACDOWN
1603,2287,REACDOWN
1603,2300,REACDOWN
1603,2313,REACDOWN
1603,2326,REACDOWN
1603,2339,REACDOWN
1603,2351,REACDOWN
1603,2364,REACDOWN
1603,2377,REACDOWN
1603,2389,REACDOWN
1590,2389,REACDOWN
1577,2389,REACDOWN
1565,2389,REACDOWN
1552,2389,REACDOWN
1539,2389,REACDOWN
1527,2389,REACDOWN
1514,2389,REACDOWN
1501,2389,REACDOWN
1489,2389,REACDOWN
1476,2389,REACDOWN
1464,2389,REACDOWN
1451,2389,REACDOWN
1438,2389,REACDOWN
1425,2389,REACDOWN
1412,2389,REACDOWN
1400,2389,REACDOWN
1387,2389,REACDOWN
1374,2389,REACDOWN
1361,2389,REACDOWN
1361,2402,REACDOWN
1361,2415,REACDOWN
1361,2428,REACDOWN
1361,2441,REACDOWN
1361,2453,REACDOWN
1361,2466,REACDOWN
1361,2474,REACDOWN
