X,Y,Nearest Task
3458,2850,STOR
3458,2838,STOR
3458,2825,STOR
3458,2813,STOR
3458,2800,STOR
3458,2787,STOR
3458,2774,STOR
3458,2761,STOR
3458,2744,STOR
3458,2731,STOR
3458,2719,STOR
3458,2706,STOR
3458,2694,STOR
3458,2681,STOR
3458,2668,STOR
3458,2655,STOR
3458,2642,STOR
3458,2629,STOR
3458,2616,STOR
3458,2604,STOR
3458,2591,STOR
3458,2578,STOR
3458,2565,STOR
3458,2552,STOR
3458,2540,STOR
3458,2527,STOR
3458,2514,STOR
3458,2501,STOR
3458,2488,STOR
3458,2475,STOR
3458,2463,STOR
3458,2450,STOR
3458,2437,STOR
3458,2424,STOR
3458,2411,STOR
3458,2399,STOR
3458,2386,STOR
3458,2373,STOR
3458,2361,STOR
3458,2348,STOR
3458,2336,STOR
3458,2323,STOR
3458,2311,STOR
3458,2298,STOR
3458,2285,STOR
3467,2276,STOR
3479,2276,STOR
3492,2276,STOR
3505,2276,STOR
3517,2276,STOR
3530,2276,STOR
3543,2276,STOR
3556,2276,STOR
3569,2276,COMM
3581,2276,COMM
3594,2276,COMM
3607,2276,COMM
3620,2276,COMM
3633,2276,COMM
3645,2276,COMM
3658,2276,COMM
3671,2276,COMM
3684,2276,COMM
3696,2276,COMM
3709,2276,COMM
3721,2276,COMM
3734,2276,COMM
3746,2276,COMM
3759,2276,COMM
3772,2276,COMM
3785,2276,COMM
3798,2276,COMM
3811,2276,COMM
3824,2276,COMM
3836,2276,COMM
3849,2276,COMM
3862,2276,COMM
3874,2276,COMM
3887,2276,RIGHTCOM
3899,2276,RIGHTCOM
3912,2276,RIGHTCOM
3925,2276,RIGHTCOM
3937,2276,RIGHTCOM
3951,2276,RIGHTCOM
3963,2276,RIGHTCOM
3976,2276,RIGHTCOM
3989,2276,RIGHTCOM
4002,2276,RIGHTCOM
4014,2276,RIGHTCOM
4027,2276,RIGHTCOM
4039,2276,RIGHTCOM
4052,2276,RIGHTCOM
