X,Y,Nearest Task
3458,2850,STOR
3458,2837,STOR
3458,2825,STOR
3458,2812,STOR
3458,2799,STOR
3458,2787,STOR
3458,2774,STOR
3458,2761,STOR
3458,2749,STOR
3458,2736,STOR
3458,2714,STOR
3458,2701,STOR
3458,2688,STOR
3458,2675,STOR
3458,2663,STOR
3458,2650,STOR
3458,2637,STOR
3458,2624,STOR
3458,2611,STOR
3458,2598,STOR
3458,2586,STOR
3458,2573,STOR
3458,2560,STOR
3458,2547,STOR
3458,2535,STOR
3458,2522,STOR
3458,2509,STOR
3458,2497,STOR
3458,2484,STOR
3458,2471,STOR
3458,2458,STOR
3458,2445,STOR
3458,2433,STOR
3458,2420,STOR
3458,2407,STOR
3458,2394,STOR
3458,2382,STOR
3458,2368,STOR
3458,2356,STOR
3458,2343,STOR
3458,2330,STOR
3458,2318,STOR
3471,2318,STOR
3483,2318,STOR
3497,2318,STOR
3509,2318,STOR
3522,2318,STOR
3534,2318,STOR
3547,2318,STOR
3559,2318,STOR
3572,2318,COMM
3585,2318,COMM
3597,2318,COMM
3610,2318,COMM
3623,2318,COMM
3636,2318,COMM
3649,2318,COMM
3662,2318,COMM
3675,2318,COMM
3688,2318,COMM
3701,2318,COMM
3714,2318,COMM
3727,2318,COMM
3739,2318,COMM
3752,2318,COMM
3764,2318,COMM
3777,2318,COMM
3790,2318,COMM
3802,2318,COMM
3815,2318,COMM
3827,2318,COMM
3840,2318,COMM
3853,2318,COMM
3866,2318,COMM
3878,2318,COMM
3891,2318,COMM
3903,2318,COMM
3916,2318,RIGHTCOM
3929,2318,RIGHTCOM
3941,2318,RIGHTCOM
3954,2318,RIGHTCOM
3966,2318,RIGHTCOM
3979,2318,RIGHTCOM
3992,2318,RIGHTCOM
4005,2318,RIGHTCOM
4018,2318,RIGHTCOM
4027,2327,RIGHTCOM
4036,2336,RIGHTCOM
4045,2345,RIGHTCOM
4045,2358,RIGHTCOM
4045,2371,RIGHTCOM
4045,2383,RIGHTCOM
4045,2396,RIGHTCOM
4045,2408,RIGHTCOM
4045,2421,RIGHTCOM
4045,2434,RIGHTCOM
4045,2446,RIGHTCOM
4045,2459,RIGHTCOM
4045,2471,RIGHTCOM
4045,2484,RIGHTCOM
4045,2497,RIGHTCOM
4045,2510,RIGHTCOM
4045,2528,RIGHTCOM
4045,2541,RIGHTCOM
4045,2554,COMM
4045,2567,COMM
4045,2580,COMM
4045,2593,COMM
4045,2606,COMM
4045,2618,COMM
4045,2631,COMM
4045,2644,COMM
4045,2657,COMM
4045,2670,COMM
4045,2683,COMM
4045,2696,COMM
4045,2708,COMM
4045,2721,COMM
4045,2734,COMM
4058,2734,COMM
4070,2734,COMM
4083,2734,COMM
4096,2734,COMM
4101,2734,COMM
