X,Y,Nearest Task
3458,2850,STOR
3458,2838,STOR
3458,2825,STOR
3458,2812,STOR
3458,2799,STOR
3458,2786,STOR
3458,2773,STOR
3458,2754,STOR
3458,2741,STOR
3458,2728,STOR
3458,2716,STOR
3458,2703,STOR
3458,2690,STOR
3458,2678,STOR
3458,2665,STOR
3458,2653,STOR
3458,2640,STOR
3458,2628,STOR
3458,2615,STOR
3458,2602,STOR
3458,2590,STOR
3458,2577,STOR
3458,2565,STOR
3458,2552,STOR
3458,2539,STOR
3458,2526,STOR
3458,2513,STOR
3458,2500,STOR
3458,2488,STOR
3458,2475,STOR
3458,2463,STOR
3458,2450,STOR
3458,2437,STOR
3458,2424,STOR
3458,2412,STOR
3458,2399,STOR
3458,2387,STOR
3458,2374,STOR
3458,2361,STOR
3458,2348,STOR
3458,2335,STOR
3458,2323,STOR
3458,2310,STOR
3458,2297,STOR
3458,2285,STOR
3458,2272,STOR
3458,2260,STOR
3458,2247,STOR
3458,2235,STOR
3458,2222,STOR
3458,2210,STOR
3458,2197,STOR
3458,2184,STOR
3458,2171,STOR
3458,2158,STOR
3458,2146,STOR
3458,2133,STOR
3458,2120,STOR
3458,2107,STOR
3458,2093,STOR
3458,2080,STOR
3458,2068,STOR
3458,2055,STOR
3458,2042,STOR
3458,2029,STOR
3458,2016,STOR
3458,2003,STOR
3458,1990,STOR
3458,1978,STOR
3458,1965,STOR
3445,1965,STOR
3433,1965,STOR
3420,1965,STOR
3407,1965,STOR
3394,1965,STOR
3382,1965,STOR
3369,1965,STOR
3356,1965,STOR
3347,1956,STOR
3347,1943,STOR
3347,1930,ELEC
3347,1917,ELEC
3347,1904,ELEC
3347,1891,ELEC
3347,1878,ELEC
3347,1866,ELEC
3347,1853,MED
3347,1840,MED
3347,1828,MED
3347,1815,MED
3347,1802,MED
3347,1789,MED
3347,1776,MED
3347,1764,MED
3347,1751,MED
3347,1738,MED
3347,1725,MED
3347,1712,MED
3347,1699,MED
3347,1686,MED
