X,Y,Nearest Task
1322,2436,REACDOWN
1335,2436,REACDOWN
1348,2436,REACDOWN
1361,2436,REACDOWN
1374,2436,REACDOWN
1386,2436,REACDOWN
1399,2436,REACDOWN
1412,2436,REACDOWN
1425,2436,REACDOWN
1437,2436,REACDOWN
1450,2436,REACDOWN
1463,2436,REACDOWN
1476,2436,REACDOWN
1489,2436,REACDOWN
1501,2436,REACDOWN
1514,2436,REACDOWN
1527,2436,REACDOWN
1540,2436,REACDOWN
1540,2423,REACDOWN
1540,2410,REACDOWN
1540,2397,REACDOWN
1540,2385,REACDOWN
1540,2372,REACDOWN
1540,2359,REACDOWN
1540,2349,REACDOWN
1552,2349,REACDOWN
1565,2349,REACDOWN
1578,2349,REACDOWN
1590,2349,REACDOWN
1603,2349,REACDOWN
1616,2349,REACDOWN
1628,2349,REACDOWN
1629,2349,REACDOWN
1629,2340,REACDOWN
1629,2326,REACDOWN
1629,2313,REACDOWN
1629,2300,REACDOWN
1629,2287,REACDOWN
1629,2274,REACDOWN
1629,2262,REACDOWN
1629,2249,REACDOWN
1629,2236,REACDOWN
1629,2224,REACDOWN
1638,2214,REACDOWN
1647,2205,REACDOWN
1660,2205,REACDOWN
1673,2205,REACDOWN
1686,2205,REACDOWN
1699,2205,REACDOWN
1712,2205,REACDOWN
1725,2205,REACDOWN
1738,2205,ELEC
1750,2205,ELEC
1763,2205,ELEC
1775,2205,ELEC
1788,2205,ELEC
1800,2205,ELEC
1813,2205,ELEC
1826,2205,ELEC
1839,2205,ELEC
1852,2205,ELEC
1864,2205,ELEC
1877,2205,ELEC
1890,2205,ELEC
1903,2205,ELEC
1916,2205,ELEC
1928,2205,ELEC
1941,2205,ELEC
1954,2205,ELEC
1967,2205,ELEC
1979,2205,ELEC
1992,2205,ELEC
2005,2205,ELEC
2018,2205,ELEC
2027,2214,ELEC
2029,2223,ELEC
2029,2233,ELEC
2029,2242,ELEC
2029,2251,ELEC
2029,2259,ELEC
2029,2269,ELEC
2029,2277,ELEC
2029,2290,ELEC
2029,2303,ELEC
2029,2316,ELEC
2029,2329,ELEC
2029,2342,ELEC
2029,2354,ELEC
2029,2367,ELEC
2029,2380,ELEC
2029,2393,ELEC
2029,2406,ELEC
2029,2419,ELEC
2029,2432,ELEC
2029,2445,ELEC
2029,2458,ELEC
2029,2471,ELEC
2029,2484,ELEC
2029,2497,ELEC
2029,2510,ELEC
2029,2523,ELEC
2029,2536,ELEC
2029,2548,ELEC
2029,2561,ELEC
2029,2574,ELEC
2042,2574,ELEC
2055,2574,ELEC
2068,2574,ELEC
2081,2574,ELEC
2093,2574,ELEC
2106,2574,ELEC
2119,2574,ELEC
2132,2574,ELEC
2145,2574,ELEC
2158,2574,ELEC
2172,2574,ELEC
2190,2574,ELEC
2203,2574,ELEC
2216,2574,ELEC
2229,2574,ELEC
2242,2574,ELEC
2255,2574,ELEC
2268,2574,ELEC
2282,2574,ELEC
2295,2574,ELEC
2307,2574,ELEC
2320,2574,ELEC
2333,2574,ELEC
2346,2574,ELEC
2359,2574,ELEC
2372,2574,ELEC
2385,2574,ELEC
2398,2574,ELEC
2410,2574,ELEC
2423,2574,ELEC
2436,2574,ELEC
2449,2574,ELEC
2462,2574,ELEC
2475,2574,ELEC
2488,2574,ELEC
2501,2574,ELEC
2514,2574,ELEC
2527,2574,ELEC
2540,2574,ELEC
2552,2574,STOR
2565,2574,STOR
2578,2574,STOR
2591,2574,STOR
2603,2574,STOR
2617,2574,STOR
2630,2574,STOR
2642,2574,STOR
2655,2574,STOR
2668,2574,STOR
2681,2574,STOR
2694,2574,STOR
2707,2574,STOR
2720,2574,STOR
2732,2574,STOR
2745,2574,STOR
2758,2574,STOR
2771,2574,STOR
2784,2574,STOR
2797,2574,STOR
2810,2574,STOR
2823,2574,STOR
2836,2574,STOR
2849,2574,STOR
2862,2574,STOR
2875,2574,STOR
2887,2574,STOR
2900,2574,STOR
2913,2574,STOR
2926,2574,STOR
2939,2574,STOR
2951,2574,STOR
2964,2574,STOR
2977,2574,STOR
2989,2574,STOR
3002,2574,STOR
3011,2583,STOR
