X,Y,Nearest Task
1322,2436,REACDOWN
1335,2436,REACDOWN
1348,2436,REACDOWN
1361,2436,REACDOWN
1374,2436,REACDOWN
1387,2436,REACDOWN
1400,2436,REACDOWN
1413,2436,REACDOWN
1426,2436,REACDOWN
1438,2436,REACDOWN
1451,2436,REACDOWN
1464,2436,REACDOWN
1477,2436,REACDOWN
1489,2436,REACDOWN
1502,2436,REACDOWN
1515,2436,REACDOWN
1527,2436,REACDOWN
1540,2436,REACDOWN
1553,2436,REACDOWN
1566,2436,REACDOWN
1579,2436,REACDOWN
1592,2436,REACDOWN
1605,2436,REACDOWN
1617,2436,REACDOWN
1629,2436,REACDOWN
1629,2424,REACDOWN
1629,2411,REACDOWN
1629,2398,REACDOWN
1629,2385,REACDOWN
1629,2373,REACDOWN
1629,2360,REACDOWN
1629,2347,REACDOWN
1629,2335,REACDOWN
1629,2322,REACDOWN
1629,2309,REACDOWN
1629,2296,REACDOWN
1629,2284,REACDOWN
1629,2271,REACDOWN
1629,2258,REACDOWN
1629,2245,REACDOWN
1629,2232,REACDOWN
1629,2219,REACDOWN
1629,2206,REACDOWN
1629,2193,REACDOWN
1642,2193,REACDOWN
1655,2193,REACDOWN
1667,2193,REACDOWN
1680,2193,REACDOWN
1693,2193,REACDOWN
1706,2193,REACDOWN
1718,2193,REACDOWN
1731,2193,ELEC
1744,2193,ELEC
1757,2193,ELEC
1770,2193,ELEC
1783,2193,ELEC
1795,2193,ELEC
1808,2193,ELEC
1820,2193,ELEC
1833,2193,ELEC
1845,2193,ELEC
1858,2193,ELEC
1871,2193,ELEC
1895,2193,ELEC
1908,2193,ELEC
1920,2193,ELEC
1933,2193,ELEC
1945,2193,ELEC
1959,2193,ELEC
1972,2193,ELEC
1985,2193,ELEC
1998,2193,ELEC
2007,2202,ELEC
2016,2212,ELEC
2025,2221,ELEC
2025,2233,ELEC
2025,2246,ELEC
2025,2259,ELEC
2025,2271,ELEC
2025,2284,ELEC
2025,2297,ELEC
2025,2310,ELEC
2025,2323,ELEC
2025,2336,ELEC
2025,2349,ELEC
2025,2361,ELEC
2025,2374,ELEC
2025,2386,ELEC
2025,2399,ELEC
2025,2412,ELEC
2025,2425,ELEC
2025,2437,ELEC
2025,2450,ELEC
2025,2462,ELEC
2025,2476,ELEC
2025,2489,ELEC
2025,2501,ELEC
2025,2514,ELEC
2025,2527,ELEC
2025,2539,ELEC
2025,2552,ELEC
2025,2565,ELEC
2034,2574,ELEC
2043,2584,ELEC
2056,2584,ELEC
2069,2584,ELEC
2081,2584,ELEC
2094,2584,ELEC
2107,2584,ELEC
2120,2584,ELEC
2132,2584,ELEC
2145,2584,ELEC
2158,2584,ELEC
2172,2584,ELEC
2185,2584,ELEC
2198,2584,ELEC
2211,2584,ELEC
2223,2584,ELEC
2236,2584,ELEC
2249,2584,ELEC
2261,2584,ELEC
2274,2584,ELEC
2288,2584,ELEC
2301,2584,ELEC
2314,2584,ELEC
2314,2571,ELEC
2314,2557,ELEC
2314,2544,ELEC
2314,2531,ELEC
2314,2519,ELEC
2314,2506,ELEC
2314,2494,ELEC
2314,2481,ELEC
2314,2468,ELEC
2314,2455,ELEC
2314,2442,ELEC
2314,2430,ELEC
2314,2417,ELEC
2314,2405,ELEC
2314,2392,ELEC
2314,2380,ELEC
2314,2367,ELEC
2314,2354,ELEC
2314,2341,ELEC
2314,2354,ELEC
2314,2367,ELEC
2314,2380,ELEC
2314,2392,ELEC
2314,2405,ELEC
2314,2432,ELEC
2314,2444,ELEC
2314,2457,ELEC
2314,2470,ELEC
2314,2482,ELEC
2314,2495,ELEC
2314,2508,ELEC
2314,2521,ELEC
2314,2533,ELEC
2314,2546,ELEC
2314,2558,ELEC
2314,2571,ELEC
2326,2571,ELEC
2339,2571,ELEC
2356,2571,ELEC
2369,2571,ELEC
2382,2571,ELEC
2395,2571,ELEC
2408,2571,ELEC
2421,2571,ELEC
2434,2571,ELEC
2447,2571,ELEC
2460,2571,ELEC
2472,2571,ELEC
2485,2571,ELEC
2498,2571,ELEC
2511,2571,ELEC
2524,2571,ELEC
2536,2571,ELEC
