X,Y,Nearest Task
1322,2436,REACDOWN
1335,2436,REACDOWN
1347,2436,REACDOWN
1360,2436,REACDOWN
1373,2436,REACDOWN
1386,2436,REACDOWN
1398,2436,REACDOWN
1411,2436,REACDOWN
1424,2436,REACDOWN
1436,2436,REACDOWN
1449,2436,REACDOWN
1463,2436,REACDOWN
1476,2436,REACDOWN
1489,2436,REACDOWN
1501,2436,REACDOWN
1514,2436,REACDOWN
1527,2436,REACDOWN
1540,2436,REACDOWN
1553,2436,REACDOWN
1565,2436,REACDOWN
1578,2436,REACDOWN
1590,2436,REACDOWN
1603,2436,REACDOWN
1616,2436,REACDOWN
1629,2436,REACDOWN
1629,2423,REACDOWN
1629,2410,REACDOWN
1629,2398,REACDOWN
1629,2385,REACDOWN
1629,2372,REACDOWN
1629,2359,REACDOWN
1629,2346,REACDOWN
1629,2334,REACDOWN
1629,2321,REACDOWN
1629,2308,REACDOWN
1629,2296,REACDOWN
1629,2283,REACDOWN
1629,2270,REACDOWN
1629,2258,REACDOWN
1629,2245,REACDOWN
1629,2232,REACDOWN
1629,2219,REACDOWN
1629,2206,REACDOWN
1629,2193,REACDOWN
1629,2181,REACDOWN
1629,2168,REACDOWN
1629,2155,REACDOWN
1629,2142,REACDOWN
1629,2129,REACDOWN
1629,2116,REACDOWN
1629,2103,REACDOWN
1629,2090,REACDOWN
1629,2078,REACDOWN
1616,2078,REACDOWN
1603,2078,REACDOWN
1591,2078,REACDOWN
1578,2078,REACDOWN
1572,2078,REACDOWN
1572,2065,REACDOWN
1572,2052,REACDOWN
1572,2039,REACDOWN
1572,2026,REACDOWN
1572,2013,REACDOWN
1572,2000,REACDOWN
1572,1987,REACDOWN
1559,1987,REACDOWN
1547,1987,REACDOWN
1534,1987,REACDOWN
1522,1987,REACDOWN
1509,1987,REACDOWN
1497,1987,REACDOWN
1484,1987,REACDOWN
1472,1987,REACDOWN
1459,1987,REACDOWN
1446,1987,REACDOWN
1433,1987,REACDOWN
1421,1987,REACDOWN
1408,1987,REACDOWN
1395,1987,REACDOWN
1382,1987,REACDOWN
1370,1987,REACDOWN
1357,1987,REACDOWN
1357,1975,REACDOWN
1370,1975,REACDOWN
1383,1975,REACDOWN
1396,1975,REACDOWN
1408,1975,REACDOWN
1421,1975,REACDOWN
1421,1962,REACDOWN
1421,1949,REACDOWN
1421,1936,REACDOWN
1421,1924,REACDOWN
1421,1911,REACDOWN
1421,1898,REACDOWN
1421,1885,REACDOWN
1421,1873,REACDOWN
1421,1860,REACDOWN
1421,1847,REACDOWN
1421,1834,REACDOWN
1421,1821,REACDOWN
1421,1809,REACDOWN
1421,1796,REACDOWN
1421,1783,REACDOWN
1421,1770,REACDOWN
1421,1757,REACDOWN
1421,1744,REACDOWN
1421,1732,REACDOWN
1421,1718,REACDOWN
1421,1706,REACDOWN
1421,1693,REACDOWN
1421,1680,REACDOWN
1421,1667,REACDOWN
1421,1654,REACDOWN
1421,1641,REACDOWN
1421,1629,REACDOWN
1421,1616,REACDOWN
1421,1603,REACDOWN
1421,1590,REACDOWN
1421,1577,REACDOWN
1421,1565,REACDOWN
1421,1552,REACDOWN
1421,1539,REACDOWN
1421,1526,REACDOWN
1434,1526,REACDOWN
1446,1526,REACDOWN
1459,1526,REACDOWN
1472,1526,REACDOWN
1484,1526,REACDOWN
1497,1526,REACDOWN
1510,1526,REACDOWN
1523,1526,REACDOWN
1535,1526,REACDOWN
1562,1526,REACDOWN
1575,1526,REACDOWN
1587,1526,REACDOWN
1600,1526,REACDOWN
1613,1526,REACDOWN
1626,1526,REACDOWN
1639,1526,REACDOWN
1652,1526,ELEC
1665,1526,ELEC
1678,1526,ELEC
1691,1526,ELEC
1705,1526,ELEC
1717,1526,ELEC
1730,1526,ELEC
1742,1526,ELEC
1755,1526,ELEC
1768,1526,ELEC
1780,1526,ELEC
1793,1526,ELEC
1806,1526,ELEC
1806,1539,ELEC
1806,1552,ELEC
1806,1564,ELEC
1806,1577,ELEC
1806,1590,ELEC
1806,1603,ELEC
1806,1615,ELEC
1806,1628,ELEC
1806,1641,ELEC
1806,1654,ELEC
1806,1655,ELEC
1818,1655,ELEC
1831,1655,ELEC
1844,1655,ELEC
1857,1655,ELEC
1870,1655,ELEC
1883,1655,ELEC
1896,1655,ELEC
1909,1655,ELEC
1922,1655,ELEC
1934,1655,ELEC
1947,1655,ELEC
1960,1655,ELEC
1966,1655,ELEC
