X,Y,Nearest Task
1322,2436,REACDOWN
1335,2436,REACDOWN
1348,2436,REACDOWN
1361,2436,REACDOWN
1374,2436,REACDOWN
1387,2436,REACDOWN
1400,2436,REACDOWN
1413,2436,REACDOWN
1427,2436,REACDOWN
1442,2436,REACDOWN
1455,2436,REACDOWN
1467,2436,REACDOWN
1480,2436,REACDOWN
1492,2436,REACDOWN
1505,2436,REACDOWN
1517,2436,REACDOWN
1530,2436,REACDOWN
1543,2436,REACDOWN
1556,2436,REACDOWN
1568,2436,REACDOWN
1581,2436,REACDOWN
1594,2436,REACDOWN
1607,2436,REACDOWN
1620,2436,REACDOWN
1629,2436,REACDOWN
1629,2423,REACDOWN
1629,2411,REACDOWN
1629,2398,REACDOWN
1629,2385,REACDOWN
1629,2373,REACDOWN
1629,2360,REACDOWN
1629,2347,REACDOWN
1629,2334,REACDOWN
1629,2322,REACDOWN
1629,2309,REACDOWN
1629,2297,REACDOWN
1629,2284,REACDOWN
1629,2272,REACDOWN
1629,2259,REACDOWN
1629,2247,REACDOWN
1629,2234,REACDOWN
1629,2221,REACDOWN
1642,2221,REACDOWN
1655,2221,REACDOWN
1667,2221,REACDOWN
1680,2221,REACDOWN
1693,2221,REACDOWN
1706,2221,REACDOWN
1718,2221,REACDOWN
1731,2221,ELEC
1744,2221,ELEC
1757,2221,ELEC
1769,2221,ELEC
1782,2221,ELEC
1795,2221,ELEC
1807,2221,ELEC
1820,2221,ELEC
1832,2221,ELEC
1845,2221,ELEC
1857,2221,ELEC
1870,2221,ELEC
1883,2221,ELEC
1896,2221,ELEC
1910,2221,ELEC
1922,2221,ELEC
1935,2221,ELEC
1947,2221,ELEC
1960,2221,ELEC
1960,2240,ELEC
1960,2253,ELEC
1960,2266,ELEC
1960,2279,ELEC
1960,2292,ELEC
1960,2305,ELEC
1960,2317,ELEC
1960,2330,ELEC
1960,2343,ELEC
1960,2356,ELEC
1960,2369,ELEC
1960,2382,ELEC
1960,2395,ELEC
1960,2408,ELEC
1960,2421,ELEC
1960,2434,ELEC
1960,2446,ELEC
1960,2459,ELEC
1960,2472,ELEC
1960,2485,ELEC
1960,2497,ELEC
1960,2510,ELEC
1973,2510,ELEC
1986,2510,ELEC
1999,2510,ELEC
2011,2510,ELEC
2024,2510,ELEC
2036,2510,ELEC
2049,2510,ELEC
2061,2510,ELEC
2074,2510,ELEC
2087,2510,ELEC
2100,2510,ELEC
2113,2510,ELEC
2125,2510,ELEC
2138,2510,ELEC
2151,2510,ELEC
2164,2510,ELEC
2177,2510,ELEC
2190,2510,ELEC
2203,2510,ELEC
2215,2510,ELEC
2228,2510,ELEC
2243,2510,ELEC
2256,2510,ELEC
2269,2510,ELEC
2269,2497,ELEC
2269,2484,ELEC
2269,2471,ELEC
2269,2458,ELEC
2269,2446,ELEC
2269,2433,ELEC
2269,2420,ELEC
2269,2408,ELEC
2269,2395,ELEC
2269,2382,ELEC
2269,2370,ELEC
2269,2357,ELEC
2269,2344,ELEC
2269,2331,ELEC
2269,2318,ELEC
2269,2305,ELEC
2281,2305,ELEC
2294,2305,ELEC
2307,2305,ELEC
2319,2305,ELEC
2332,2305,ELEC
2339,2305,ELEC
2339,2292,ELEC
2339,2279,ELEC
2339,2266,ELEC
2339,2253,ELEC
2339,2241,ELEC
2339,2228,ELEC
2339,2215,ELEC
2339,2203,ELEC
2339,2190,ELEC
2351,2190,ELEC
2364,2190,ELEC
2377,2190,ELEC
2390,2190,ELEC
2402,2190,ELEC
2415,2190,ELEC
2427,2190,ELEC
2440,2190,ELEC
2452,2190,ELEC
2465,2190,ELEC
2477,2190,ELEC
2490,2190,ELEC
2502,2190,ELEC
2515,2190,ELEC
2528,2190,ELEC
2541,2190,ELEC
2553,2190,ELEC
2566,2190,ELEC
2579,2190,ELEC
2591,2190,ELEC
2597,2190,ELEC
2597,2182,ELEC
2597,2169,ELEC
2597,2156,ELEC
2597,2143,ELEC
2597,2131,ELEC
2597,2118,ELEC
2597,2105,ELEC
2597,2092,ELEC
2597,2080,ELEC
2597,2067,ELEC
2597,2054,ELEC
2597,2042,ELEC
2597,2029,ELEC
2597,2016,ELEC
2597,2003,ELEC
2597,1990,ELEC
2597,1976,ELEC
2597,1963,ELEC
2597,1950,ELEC
2597,1937,ELEC
2597,1924,ELEC
2597,1912,ELEC
2597,1899,ELEC
2597,1886,ELEC
2597,1873,ELEC
2597,1860,ELEC
2597,1848,ELEC
2597,1835,ELEC
2610,1835,ELEC
2623,1835,ELEC
2636,1835,ELEC
2649,1835,ELEC
2662,1835,ELEC
