X,Y,Nearest Task
1322,2436,REACDOWN
1335,2436,REACDOWN
1348,2436,REACDOWN
1361,2436,REACDOWN
1374,2436,REACDOWN
1386,2436,REACDOWN
1399,2436,REACDOWN
1411,2436,REACDOWN
1424,2436,REACDOWN
1437,2436,REACDOWN
1450,2436,REACDOWN
1462,2436,REACDOWN
1475,2436,REACDOWN
1488,2436,REACDOWN
1501,2436,REACDOWN
1514,2436,REACDOWN
1527,2436,REACDOWN
1540,2436,REACDOWN
1553,2436,REACDOWN
1565,2436,REACDOWN
1578,2436,REACDOWN
1578,2424,REACDOWN
1578,2411,REACDOWN
1578,2398,REACDOWN
1578,2386,REACDOWN
1578,2373,REACDOWN
1578,2360,REACDOWN
1578,2348,REACDOWN
1578,2335,REACDOWN
1578,2322,REACDOWN
1578,2309,REACDOWN
1578,2296,REACDOWN
1578,2283,REACDOWN
1578,2270,REACDOWN
1578,2258,REACDOWN
1578,2245,REACDOWN
1578,2232,REACDOWN
1590,2232,REACDOWN
1604,2232,REACDOWN
1617,2232,REACDOWN
1630,2232,REACDOWN
1642,2232,REACDOWN
1655,2232,REACDOWN
1668,2232,REACDOWN
1681,2232,REACDOWN
1694,2232,REACDOWN
1706,2232,REACDOWN
1719,2232,REACDOWN
1732,2232,ELEC
1745,2232,ELEC
1757,2232,ELEC
1770,2232,ELEC
1783,2232,ELEC
1796,2232,ELEC
1808,2232,ELEC
1821,2232,ELEC
1833,2232,ELEC
1846,2232,ELEC
1859,2232,ELEC
1872,2232,ELEC
1885,2232,ELEC
1897,2232,ELEC
1910,2232,ELEC
1923,2232,ELEC
1936,2232,ELEC
1949,2232,ELEC
1962,2232,ELEC
1962,2245,ELEC
1962,2258,ELEC
1962,2271,ELEC
1962,2284,ELEC
1962,2297,ELEC
1962,2309,ELEC
1962,2322,ELEC
1962,2335,ELEC
1962,2348,ELEC
1962,2363,ELEC
1962,2376,ELEC
1962,2389,ELEC
1962,2401,ELEC
1962,2414,ELEC
1962,2427,ELEC
1962,2440,ELEC
1962,2453,ELEC
1962,2466,ELEC
1962,2479,ELEC
1962,2491,ELEC
1962,2504,ELEC
1962,2517,ELEC
1962,2530,ELEC
1962,2543,ELEC
1962,2555,ELEC
1962,2568,ELEC
1962,2581,ELEC
1971,2591,ELEC
1984,2591,ELEC
1997,2591,ELEC
2009,2591,ELEC
2022,2591,ELEC
2034,2591,ELEC
2047,2591,ELEC
2060,2591,ELEC
2073,2591,ELEC
2086,2591,ELEC
2099,2591,ELEC
2111,2591,ELEC
2124,2591,ELEC
2137,2591,ELEC
2150,2591,ELEC
2162,2591,ELEC
2175,2591,ELEC
2188,2591,ELEC
2200,2591,ELEC
2213,2591,ELEC
2226,2591,ELEC
2239,2591,ELEC
2252,2591,ELEC
2265,2591,ELEC
2278,2591,ELEC
2291,2591,ELEC
2304,2591,ELEC
2316,2591,ELEC
2329,2591,ELEC
2341,2591,ELEC
2354,2591,ELEC
2367,2591,ELEC
2379,2591,ELEC
2392,2591,ELEC
2405,2591,ELEC
2418,2591,ELEC
2431,2591,ELEC
2444,2591,ELEC
2456,2591,ELEC
2469,2591,ELEC
2482,2591,ELEC
2497,2591,ELEC
2510,2591,ELEC
2523,2591,ELEC
2536,2591,STOR
2549,2591,STOR
2562,2591,STOR
2575,2591,STOR
2588,2591,STOR
2601,2591,STOR
2614,2591,STOR
2626,2591,STOR
2639,2591,STOR
2652,2591,STOR
2664,2591,STOR
2677,2591,STOR
2690,2591,STOR
2703,2591,STOR
2715,2591,STOR
2728,2591,STOR
2741,2591,STOR
2754,2591,STOR
2766,2591,STOR
2787,2591,STOR
2800,2591,STOR
2812,2591,STOR
2825,2591,STOR
2838,2591,STOR
2851,2591,STOR
2864,2591,STOR
2877,2591,STOR
2877,2604,STOR
2877,2616,STOR
2877,2629,STOR
2877,2641,STOR
2877,2654,STOR
2877,2667,STOR
2877,2680,STOR
2889,2680,STOR
2902,2680,STOR
2914,2680,STOR
2927,2680,STOR
2941,2680,STOR
2953,2680,STOR
2966,2680,STOR
2979,2680,STOR
2992,2680,STOR
3005,2680,STOR
3017,2680,STOR
3030,2680,STOR
3043,2680,STOR
3056,2680,STOR
3069,2680,STOR
3082,2680,STOR
3094,2680,STOR
3107,2680,STOR
3120,2680,STOR
3133,2680,STOR
3146,2680,STOR
3159,2680,STOR
3172,2680,STOR
3185,2680,STOR
3197,2680,STOR
3210,2680,STOR
3223,2680,STOR
3236,2680,STOR
3249,2680,STOR
3261,2680,STOR
3274,2680,STOR
3287,2680,STOR
3299,2680,STOR
3312,2680,STOR
3324,2680,STOR
3337,2680,STOR
3350,2680,STOR
3363,2680,STOR
3376,2680,STOR
3388,2680,STOR
3401,2680,STOR
3414,2680,STOR
3414,2693,STOR
3414,2705,STOR
3414,2718,STOR
3414,2730,STOR
3414,2744,STOR
3414,2756,STOR
3414,2769,STOR
3414,2782,STOR
3414,2795,STOR
3414,2809,STOR
3414,2822,STOR
3414,2834,STOR
3414,2847,STOR
3414,2860,STOR
3414,2870,STOR
3426,2870,STOR
3439,2870,STOR
3452,2870,STOR
3465,2870,STOR
3478,2870,STOR
3491,2870,STOR
3502,2870,STOR
3502,2857,STOR
3502,2845,STOR
3502,2832,STOR
3502,2819,STOR
3489,2819,STOR
3477,2819,STOR
3464,2819,STOR
3464,2832,STOR
3464,2845,STOR
3464,2858,STOR
3464,2870,STOR
