X,Y,Nearest Task
1322,2436,REACDOWN
1335,2436,REACDOWN
1348,2436,REACDOWN
1362,2436,REACDOWN
1375,2436,REACDOWN
1387,2436,REACDOWN
1400,2436,REACDOWN
1413,2436,REACDOWN
1425,2436,REACDOWN
1438,2436,REACDOWN
1451,2436,REACDOWN
1464,2436,REACDOWN
1477,2436,REACDOWN
1490,2436,REACDOWN
1502,2436,REACDOWN
1515,2436,REACDOWN
1527,2436,REACDOWN
1540,2436,REACDOWN
1553,2436,REACDOWN
1565,2436,REACDOWN
1578,2436,REACDOWN
1591,2436,REACDOWN
1604,2436,REACDOWN
1604,2423,REACDOWN
1604,2411,REACDOWN
1604,2398,REACDOWN
1604,2385,REACDOWN
1604,2372,REACDOWN
1604,2359,REACDOWN
1604,2347,REACDOWN
1604,2334,REACDOWN
1604,2322,REACDOWN
1604,2308,REACDOWN
1604,2295,REACDOWN
1604,2282,REACDOWN
1604,2270,REACDOWN
1604,2257,REACDOWN
1604,2244,REACDOWN
1604,2232,REACDOWN
1604,2219,REACDOWN
1604,2206,REACDOWN
1604,2193,REACDOWN
1604,2180,REACDOWN
1604,2167,REACDOWN
1604,2154,REACDOWN
1604,2141,REACDOWN
1604,2129,REACDOWN
1604,2116,REACDOWN
1604,2103,REACDOWN
1604,2090,REACDOWN
1604,2077,REACDOWN
1604,2064,REACDOWN
1604,2052,REACDOWN
1604,2039,REACDOWN
1591,2039,REACDOWN
1578,2039,REACDOWN
1565,2039,REACDOWN
1552,2039,REACDOWN
1539,2039,REACDOWN
1526,2039,REACDOWN
1513,2039,REACDOWN
1500,2039,REACDOWN
1488,2039,REACDOWN
1475,2039,REACDOWN
1462,2039,REACDOWN
1449,2039,REACDOWN
1436,2039,REACDOWN
1423,2039,REACDOWN
1410,2039,REACDOWN
1410,2026,REACDOWN
1410,2014,REACDOWN
1410,2001,REACDOWN
1410,1988,REACDOWN
1410,1975,REACDOWN
1410,1962,REACDOWN
1410,1949,REACDOWN
1410,1936,REACDOWN
1410,1923,REACDOWN
1410,1910,REACDOWN
1410,1897,REACDOWN
1410,1884,REACDOWN
1410,1871,REACDOWN
1410,1858,REACDOWN
1410,1845,REACDOWN
1410,1832,REACDOWN
1410,1820,REACDOWN
1410,1807,REACDOWN
1410,1794,REACDOWN
1410,1780,REACDOWN
1410,1767,REACDOWN
1410,1754,REACDOWN
1410,1742,REACDOWN
1410,1729,REACDOWN
1410,1717,REACDOWN
1410,1704,REACDOWN
1410,1691,REACDOWN
1410,1679,REACDOWN
1410,1666,REACDOWN
1410,1653,REACDOWN
1410,1641,REACDOWN
1410,1628,REACDOWN
1410,1616,REACDOWN
1410,1603,REACDOWN
1410,1591,REACDOWN
1410,1578,REACDOWN
1410,1565,REACDOWN
1410,1553,REACDOWN
1410,1539,REACDOWN
1410,1526,REACDOWN
1410,1514,REACDOWN
1410,1501,REACDOWN
1410,1489,REACDOWN
1410,1476,REACDOWN
1410,1464,REACUP
1410,1451,REACUP
1410,1439,REACUP
1410,1425,REACUP
1410,1412,REACUP
1410,1399,REACUP
1410,1387,REACUP
1410,1374,REACUP
1410,1361,REACUP
1410,1348,REACUP
1410,1336,REACUP
1410,1323,REACUP
1410,1310,REACUP
1410,1298,REACUP
1410,1285,REACUP
1410,1272,REACUP
1410,1259,REACUP
1410,1246,REACUP
1410,1233,REACUP
1410,1221,REACUP
1410,1208,REACUP
1410,1195,REACUP
1410,1182,REACUP
1410,1169,REACUP
1410,1156,REACUP
1410,1144,REACUP
1410,1131,REACUP
1410,1103,REACUP
1410,1090,REACUP
1410,1078,REACUP
1410,1065,REACUP
1410,1052,REACUP
1410,1039,REACUP
1410,1026,REACUP
1410,1013,REACUP
1410,1000,REACUP
1410,987,REACUP
1410,975,REACUP
1410,962,REACUP
1410,949,REACUP
1423,949,REACUP
1436,949,REACUP
1448,949,REACUP
1461,949,REACUP
1474,949,REACUP
1487,949,REACUP
1500,949,REACUP
1512,949,REACUP
1525,949,REACUP
1538,949,REACUP
1551,949,REACUP
1563,949,REACUP
1576,949,REACUP
1588,949,REACUP
1601,949,REACUP
