X,Y,Nearest Task
1322,2436,REACDOWN
1335,2436,REACDOWN
1348,2436,REACDOWN
1361,2436,REACDOWN
1374,2436,REACDOWN
1386,2436,REACDOWN
1399,2436,REACDOWN
1412,2436,REACDOWN
1425,2436,REACDOWN
1438,2436,REACDOWN
1451,2436,REACDOWN
1463,2436,REACDOWN
1476,2436,REACDOWN
1488,2436,REACDOWN
1501,2436,REACDOWN
1514,2436,REACDOWN
1527,2436,REACDOWN
1540,2436,REACDOWN
1553,2436,REACDOWN
1565,2436,REACDOWN
1578,2436,REACDOWN
1591,2436,REACDOWN
1604,2436,REACDOWN
1617,2436,REACDOWN
1629,2436,REACDOWN
1629,2428,REACDOWN
1629,2419,REACDOWN
1629,2406,REACDOWN
1629,2393,REACDOWN
1629,2381,REACDOWN
1629,2368,REACDOWN
1629,2356,REACDOWN
1629,2343,REACDOWN
1629,2330,REACDOWN
1629,2317,REACDOWN
1629,2305,REACDOWN
1629,2292,REACDOWN
1629,2279,REACDOWN
1629,2266,REACDOWN
1629,2253,REACDOWN
1629,2241,REACDOWN
1629,2228,REACDOWN
1629,2216,REACDOWN
1629,2203,REACDOWN
1629,2190,REACDOWN
1642,2190,REACDOWN
1655,2190,REACDOWN
1668,2190,REACDOWN
1681,2190,REACDOWN
1693,2190,REACDOWN
1706,2190,REACDOWN
1719,2190,REACDOWN
1731,2190,ELEC
1744,2190,ELEC
1756,2190,ELEC
1769,2190,ELEC
1782,2190,ELEC
1795,2190,ELEC
1807,2190,ELEC
1820,2190,ELEC
1833,2190,ELEC
1846,2190,ELEC
1858,2190,ELEC
1871,2190,ELEC
1883,2190,ELEC
1896,2190,ELEC
1908,2190,ELEC
1921,2190,ELEC
1934,2190,ELEC
1947,2190,ELEC
1947,2203,ELEC
1947,2216,ELEC
1947,2228,ELEC
1947,2241,ELEC
1947,2254,ELEC
1947,2266,ELEC
1947,2279,ELEC
1947,2292,ELEC
1947,2304,ELEC
1947,2326,ELEC
1947,2339,ELEC
1947,2352,ELEC
1947,2365,ELEC
1947,2377,ELEC
1947,2390,ELEC
1947,2403,ELEC
1947,2416,ELEC
1947,2429,ELEC
1947,2441,ELEC
1947,2454,ELEC
1947,2467,ELEC
1947,2480,ELEC
1959,2480,ELEC
1972,2480,ELEC
1985,2480,ELEC
1997,2480,ELEC
2010,2480,ELEC
2023,2480,ELEC
2035,2480,ELEC
2048,2480,ELEC
2061,2480,ELEC
2075,2480,ELEC
2088,2480,ELEC
2097,2489,ELEC
2097,2502,ELEC
2097,2514,ELEC
2097,2527,ELEC
2097,2539,ELEC
2097,2552,ELEC
2097,2565,ELEC
2097,2577,ELEC
2097,2590,ELEC
2097,2593,ELEC
2110,2593,ELEC
2123,2593,ELEC
2135,2593,ELEC
2148,2593,ELEC
2160,2593,ELEC
2173,2593,ELEC
2186,2593,ELEC
2198,2593,ELEC
2211,2593,ELEC
2224,2593,ELEC
2236,2593,ELEC
2249,2593,ELEC
2262,2593,ELEC
2275,2593,ELEC
2287,2593,ELEC
2300,2593,ELEC
2313,2593,ELEC
2326,2593,ELEC
2339,2593,ELEC
2352,2593,ELEC
2365,2593,ELEC
2378,2593,ELEC
2391,2593,ELEC
2404,2593,ELEC
2416,2593,ELEC
2429,2593,ELEC
2442,2593,ELEC
2455,2593,ELEC
2468,2593,ELEC
2480,2593,ELEC
2493,2593,ELEC
2506,2593,ELEC
2519,2593,ELEC
2532,2593,STOR
2545,2593,STOR
2558,2593,STOR
2571,2593,STOR
2584,2593,STOR
2597,2593,STOR
2609,2593,STOR
2622,2593,STOR
2635,2593,STOR
2647,2593,STOR
2660,2593,STOR
2672,2593,STOR
2685,2593,STOR
2698,2593,STOR
2711,2593,STOR
2724,2593,STOR
2737,2593,STOR
2749,2593,STOR
2762,2593,STOR
2775,2593,STOR
2787,2593,STOR
2800,2593,STOR
2812,2593,STOR
2825,2593,STOR
2839,2593,STOR
2852,2593,STOR
2864,2593,STOR
2877,2593,STOR
2890,2593,STOR
2902,2593,STOR
2915,2593,STOR
2927,2593,STOR
2940,2593,STOR
2952,2593,STOR
2965,2593,STOR
