X,Y,Nearest Task
1322,2436,REACDOWN
1335,2436,REACDOWN
1347,2436,REACDOWN
1360,2436,REACDOWN
1373,2436,REACDOWN
1385,2436,REACDOWN
1398,2436,REACDOWN
1411,2436,REACDOWN
1424,2436,REACDOWN
1437,2436,REACDOWN
1450,2436,REACDOWN
1463,2436,REACDOWN
1475,2436,REACDOWN
1488,2436,REACDOWN
1500,2436,REACDOWN
1513,2436,REACDOWN
1526,2436,REACDOWN
1535,2427,REACDOWN
1544,2418,REACDOWN
1553,2409,REACDOWN
1563,2400,REACDOWN
1571,2391,REACDOWN
1581,2382,REACDOWN
1590,2373,REACDOWN
1603,2373,REACDOWN
1615,2373,REACDOWN
1628,2373,REACDOWN
1629,2373,REACDOWN
1629,2360,REACDOWN
1629,2347,REACDOWN
1629,2335,REACDOWN
1629,2322,REACDOWN
1629,2309,REACDOWN
1629,2296,REACDOWN
1629,2283,REACDOWN
1629,2270,REACDOWN
1629,2258,REACDOWN
1629,2245,REACDOWN
1629,2233,REACDOWN
1641,2233,REACDOWN
1654,2233,REACDOWN
1667,2233,REACDOWN
1679,2233,REACDOWN
1692,2233,REACDOWN
1704,2233,REACDOWN
1717,2233,REACDOWN
1729,2233,REACDOWN
1742,2233,ELEC
1755,2233,ELEC
1768,2233,ELEC
1781,2233,ELEC
1794,2233,ELEC
1807,2233,ELEC
1819,2233,ELEC
1832,2233,ELEC
1845,2233,ELEC
1858,2233,ELEC
1871,2233,ELEC
1883,2233,ELEC
1896,2233,ELEC
1908,2233,ELEC
1921,2233,ELEC
1934,2233,ELEC
1947,2233,ELEC
1960,2233,ELEC
1973,2233,ELEC
1982,2242,ELEC
1990,2251,ELEC
2000,2260,ELEC
2009,2269,ELEC
2009,2294,ELEC
2009,2307,ELEC
2009,2319,ELEC
2009,2332,ELEC
2009,2344,ELEC
2009,2357,ELEC
2009,2370,ELEC
2009,2382,ELEC
2009,2395,ELEC
2009,2408,ELEC
2009,2421,ELEC
2009,2433,ELEC
2009,2446,ELEC
2009,2459,ELEC
2009,2471,ELEC
2009,2484,ELEC
2009,2496,ELEC
2009,2509,ELEC
2009,2522,ELEC
2009,2534,ELEC
2009,2547,ELEC
2009,2560,ELEC
2009,2573,ELEC
2009,2586,ELEC
2009,2593,ELEC
2022,2593,ELEC
2035,2593,ELEC
2047,2593,ELEC
2060,2593,ELEC
2073,2593,ELEC
2086,2593,ELEC
2099,2593,ELEC
2112,2593,ELEC
2125,2593,ELEC
2138,2593,ELEC
2151,2593,ELEC
2163,2593,ELEC
2176,2593,ELEC
2189,2593,ELEC
2202,2593,ELEC
2215,2593,ELEC
2227,2593,ELEC
2240,2593,ELEC
2252,2593,ELEC
2265,2593,ELEC
2277,2593,ELEC
2290,2593,ELEC
2303,2593,ELEC
2315,2593,ELEC
2328,2593,ELEC
2341,2593,ELEC
2353,2593,ELEC
2366,2593,ELEC
2379,2593,ELEC
2391,2593,ELEC
2404,2593,ELEC
2417,2593,ELEC
2430,2593,ELEC
2442,2593,ELEC
2455,2593,ELEC
2467,2593,ELEC
2480,2593,ELEC
2492,2593,ELEC
2505,2593,ELEC
2517,2593,ELEC
2530,2593,STOR
2543,2593,STOR
2555,2593,STOR
2568,2593,STOR
2581,2593,STOR
2593,2593,STOR
2606,2593,STOR
2619,2593,STOR
2632,2593,STOR
2644,2593,STOR
2657,2593,STOR
2669,2593,STOR
2682,2593,STOR
2695,2593,STOR
2708,2593,STOR
2720,2593,STOR
2733,2593,STOR
2745,2593,STOR
2758,2593,STOR
2771,2593,STOR
2784,2593,STOR
2797,2593,STOR
2810,2593,STOR
2822,2593,STOR
2835,2593,STOR
2848,2593,STOR
2861,2593,STOR
2873,2593,STOR
2886,2593,STOR
2899,2593,STOR
2911,2593,STOR
2924,2593,STOR
2937,2593,STOR
2950,2593,STOR
2962,2593,STOR
2972,2602,STOR
2980,2611,STOR
2990,2620,STOR
2999,2629,STOR
3008,2638,STOR
3016,2647,STOR
3032,2663,STOR
3045,2663,STOR
3058,2663,STOR
3070,2663,STOR
3083,2663,STOR
3095,2663,STOR
3108,2663,STOR
