X,Y,Nearest Task
1322,2436,REACDOWN
1335,2436,REACDOWN
1348,2436,REACDOWN
1361,2436,REACDOWN
1374,2436,REACDOWN
1387,2436,REACDOWN
1399,2436,REACDOWN
1412,2436,REACDOWN
1425,2436,REACDOWN
1437,2436,REACDOWN
1450,2436,REACDOWN
1463,2436,REACDOWN
1475,2436,REACDOWN
1488,2436,REACDOWN
1501,2436,REACDOWN
1513,2436,REACDOWN
1526,2436,REACDOWN
1539,2436,REACDOWN
1552,2436,REACDOWN
1565,2436,REACDOWN
1579,2436,REACDOWN
1591,2436,REACDOWN
1604,2436,REACDOWN
1616,2436,REACDOWN
1629,2436,REACDOWN
1629,2423,REACDOWN
1629,2411,REACDOWN
1629,2398,REACDOWN
1629,2385,REACDOWN
1629,2372,REACDOWN
1629,2348,REACDOWN
1629,2335,REACDOWN
1629,2323,REACDOWN
1629,2310,REACDOWN
1629,2298,REACDOWN
1629,2285,REACDOWN
1629,2272,REACDOWN
1629,2260,REACDOWN
1629,2246,REACDOWN
1629,2233,REACDOWN
1629,2219,REACDOWN
1629,2206,REACDOWN
1629,2194,REACDOWN
1629,2181,REACDOWN
1629,2168,REACDOWN
1629,2155,REACDOWN
1629,2142,REACDOWN
1629,2129,REACDOWN
1629,2116,REACDOWN
1629,2104,REACDOWN
1629,2091,REACDOWN
1629,2078,REACDOWN
1616,2078,REACDOWN
1603,2078,REACDOWN
1591,2078,REACDOWN
1578,2078,REACDOWN
1572,2078,REACDOWN
1572,2065,REACDOWN
1572,2053,REACDOWN
1572,2040,REACDOWN
1572,2027,REACDOWN
1572,2014,REACDOWN
1572,2001,REACDOWN
1559,2001,REACDOWN
1544,2001,REACDOWN
1532,2001,REACDOWN
1519,2001,REACDOWN
1506,2001,REACDOWN
1493,2001,REACDOWN
1480,2001,REACDOWN
1468,2001,REACDOWN
1455,2001,REACDOWN
1442,2001,REACDOWN
1430,2001,REACDOWN
1417,2001,REACDOWN
1404,2001,REACDOWN
1391,2001,REACDOWN
1379,2001,REACDOWN
1366,2001,REACDOWN
1353,2001,REACDOWN
1340,2001,REACDOWN
1353,2001,REACDOWN
1366,2001,REACDOWN
1378,2001,REACDOWN
1391,2001,REACDOWN
1391,1988,REACDOWN
1391,1975,REACDOWN
1391,1963,REACDOWN
1391,1950,REACDOWN
1391,1937,REACDOWN
1391,1925,REACDOWN
1391,1912,REACDOWN
1391,1899,REACDOWN
1391,1886,REACDOWN
1391,1873,REACDOWN
1391,1860,REACDOWN
1391,1848,REACDOWN
1391,1835,REACDOWN
1391,1823,REACDOWN
1391,1810,REACDOWN
1391,1797,REACDOWN
1391,1784,REACDOWN
1391,1771,REACDOWN
1391,1759,REACDOWN
1391,1746,REACDOWN
1391,1733,REACDOWN
1391,1710,REACDOWN
1391,1697,REACDOWN
1391,1684,REACDOWN
1391,1672,REACDOWN
1391,1659,REACDOWN
1391,1646,REACDOWN
1391,1633,REACDOWN
1391,1620,REACDOWN
1391,1608,REACDOWN
1391,1595,REACDOWN
1391,1583,REACDOWN
1391,1570,REACDOWN
1391,1557,REACDOWN
1391,1544,REACDOWN
1379,1544,REACDOWN
1366,1544,REACDOWN
1360,1544,REACDOWN
1360,1532,REACDOWN
1360,1519,REACDOWN
1360,1506,REACDOWN
1347,1506,REACDOWN
1334,1506,REACDOWN
1321,1506,REACDOWN
1308,1506,REACDOWN
1295,1506,REACDOWN
1282,1506,REACDOWN
1269,1506,REACDOWN
1256,1506,REACDOWN
1244,1506,REACDOWN
1231,1506,REACDOWN
1219,1506,REACDOWN
1206,1506,REACDOWN
1193,1506,REACDOWN
1181,1506,REACDOWN
1168,1506,REACDOWN
1155,1506,REACDOWN
1142,1506,REACDOWN
1129,1506,REACDOWN
1116,1506,REACDOWN
1103,1506,REACDOWN
1090,1506,REACDOWN
1077,1506,REACDOWN
1065,1506,REACDOWN
1052,1506,REACDOWN
1040,1506,REACDOWN
1027,1506,REACDOWN
1014,1506,REACDOWN
1002,1506,REACDOWN
989,1506,REACDOWN
976,1506,REACDOWN
963,1506,REACDOWN
950,1506,REACDOWN
938,1506,REACDOWN
925,1506,REACDOWN
912,1506,REACDOWN
899,1506,REACDOWN
